File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine
fe0300021,20,B,40.21,52.56,12.350000000000001,what do y- that's a that's a nice extreme  you went from like nice beach weather in your bikini to like freezing chicago with and a al- ain't it a bit cold  ,1.0
fe0300153,57,B,195.18,199.16,3.9799999999999898,and i ain't i ain't going to no i ain't going to no gulf war two ,3.0
fe0300215,177,A,579.41,586.32,6.910000000000082,this and that and five kids and hey hey i ain't training coaching no basketball team right now so  ,1.0
fe0300294,213,A,537.41,538.99,1.580000000000041,oh texas  ain't  alabama ,1.0
fe0300395,90,B,236.89,240.99,4.100000000000023,you know he think he's actually moved a lot of their stuff out to syria and we ain't looking in syria ,1.0
fe0300486,52,A,117.17,118.92,1.75,oh that ain't too bad though ,1.0
fe0300505,285,B,594.07,595.42,1.349999999999909,oh man i ain't ,1.0
fe0300515,63,A,142.13,144.08,1.950000000000017, i ain't got nothing to hide   ,1.0
fe0300515,68,A,157.39,159.02,1.6300000000000239, it is kind of odd ain't it  ,1.0
fe0300515,119,A,319.45,321.82,2.3700000000000045,  yeah it is ain't it ,1.0
fe0300546,145,A,443.2,446.83,3.6299999999999955,it ain't no telling what it would be by the time it reaches the end of the line ,1.0
fe0300560,55,A,185.29,185.95,0.6599999999999966,which ain't bad ,1.0
fe0300574,173,A,340.91,342.74,1.829999999999984,that ain't reality really ,1.0
fe0300581,83,B,285.03,294.08,9.050000000000011,  yeah  oh yeah   everybody teases me but it's you know they it ain't nothing but a thing there's another day  ,1.0
fe0300618,146,B,380.43,383.45,3.019999999999982,you know and a man ain't gonna take me away from that ,1.0
fe0300627,209,A,550.02,556.74,6.720000000000027,you know the people that are bad supposedly bad you know they think they're so bad they're ain't nothing okay they are nothing you people you just walk on by ,1.0
fe0300644,112,B,419.77,431.79,12.020000000000039,and i feel sorry for all the little kids over you know in afghanistan and all them places you know that that get killed and and you know they ain't even got to live their life yet ,1.0
fe0300648,37,A,60.53,62.45,1.9200000000000017,well i tell you ain't nothing ,1.0
fe0300655,104,B,324.6,335.16,10.560000000000002,i hope they got the right person in there fixing the plane they ain't got some damn terrorist up in there so you know it was a that was kind of scary but it's like what's going to happen is what's going to happen what you going to do ,1.0
fe0300684,174,B,473.54,475.72,2.180000000000007,'cause burger king ain't gonna pay my rent ,1.0
fe0300717,127,A,415.96,423.33,7.3700000000000045,you know or anything i mean that happened to me with my last one and breaking up with him ain't gonna happen with this one like honey please ,1.0
fe0300720,178,A,421.5,428.27,6.769999999999982,and it's still doing it but they ain't in my web they're not in my browser now they're just emailing me and i'm trying to get that out there so ,1.0
fe0300744,140,A,574.97,584.9,9.92999999999995,but life is what you make it you know i mean  what i make each month on this building i made a week a- a- as an engineer okay it ain't pretty ,1.0
fe0300748,169,A,524.24,526.88,2.6399999999999864,yet that guy that told it ain't even gay 'cause ,1.0
fe0300750,79,B,187.9,191.83,3.930000000000007,but like you know you ain't right in the head ,1.0
fe0300787,140,A,340.41,342.27,1.8599999999999568,thirteen dollars an hour which ain't much ,1.0
fe0300814,50,B,173.52,177.57,4.049999999999983,uh he ain't he don't wear diapers anymore he'll be four next month ,1.0
fe0300860,3,B,66.21,74.09,7.88000000000001,oh the way things are going i don't blame you but you better have a computer around for her to learn things it ain't like it was when we were growing up and we had sesame street i tell you that ,1.0
