File,Line,Content,InstancesCountPerLine
100-121674-0029,0029,and then he stuffed the fur full of sawdust and sewed it up neatly after which he put in some glass eyes that made the toy rabbit look wonderfully life like when it was all done he put it on the table beside me,1.0
1006-135212-0071,0071,realized that murder had been done and sprang out himself in pursuit why he has never been heard of since whether he met his own death in the pursuit or whether as is more likely he was made to realize that it was not a case for his interference,1.0
1006-135212-0104,0104,he outweighed me every time edward had kept himself straight in london for the first few weeks and had done some business with his american watches until this villain came across his path once more i did my best,1.0
1006-135212-0111,0111,drawn up so that only his eyes and nose were showing my brother was dressed like a woman with a black veil half down his face but of course it did not deceive me for an instant nor would it have done,1.0
1006-135212-0118,0118,you understand for all this took some time my temper got the better of me and for the first time in my life i let my brother see the rough side of me perhaps it would have been better had i done so earlier and more often a man,1.0
101-126860-0018,0018,do not speak a word of this to any one and when i have done as you ask you must let me and all my animals out of prison promise by the crown of jolliginki,1.0
101-126860-0019,0019,so the prince promised and went away to get a ship ready at the seashore when he came back and said that it was done the doctor asked dab dab,1.0
101-126861-0002,0002,like this at sea they would steal everything on it and after they had taken the people off they would sink the ship and sail back to barbary singing songs and feeling proud of the mischief they had done,1.0
1018-135221-0032,0032,and to look around to see if there was any way of satisfying my hunger the question arose now what was to be done after my recent terrible experience i naturally shrank from again committing myself to the tender mercies of strange tribes,1.0
102-129232-0021,0021,as we ourselves in that place would have done or applauded we have the same interest in condition and character,1.0
102-129232-0039,0039,our proxy has done all inquiry into antiquity,1.0
102-129232-0044,0044,a gothic cathedral affirms that it was done by us and not done by us surely it was by man but we find it not in our man but we apply ourselves to the history of its production,2.0
1027-125140-0004,0004,wherefore if the reverend frank had had to read the words that troubled some of his brethren and profitably touched innumerable hearts in a worse case than johnny's he would have done so out of the pity and humility of his soul,1.0
1027-125140-0044,0044,however that don't come in question now because we have done with the name laid it up as a remembrance suggested bella musingly much better said my dear laid it up as a remembrance well then i have been thinking,1.0
1027-125140-0064,0064,even as to that mum answered the ecstatic sloppy the turning might be done in the night don't you see i could be here in the day and turn in the night i don't want no sleep i don't,1.0
1028-133393-0044,0044,but for all that they had done from the very first thereupon she went on to tell otto how baron conrad had fulfilled the pledge of revenge that he had made abbot otto how he had watched day after day,1.0
1028-133393-0057,0057,for having done what ursela told thee today that i did otto looked for a while into his father's face i know not said he at last in his quaint quiet voice but methinks that i,1.0
1028-133395-0014,0014,do not harm me i am only a little child i have never done harm to thee do not harm me take him away said the baron harshly the fellow stooped,1.0
103-1240-0004,0004,but missus rachel lynde was one of those capable creatures who can manage their own concerns and those of other folks into the bargain she was a notable housewife her work was always done and well done she ran the sewing circle,2.0
103-1240-0037,0037,what on earth put such a notion into your head she demanded disapprovingly this had been done without her advice being asked and must perforce be disapproved well we've been thinking about it for some time all winter in fact returned marilla,1.0
1031-133220-0025,0025,best wishes or greetings on it this is even done when a card does not accompany a gift but it should be borne in mind that a card message should not take the place of a note of thanks or be used when a more formal letter is necessary,1.0
1031-133220-0059,0059,one at each end to pour tea and chocolate and as this task is an arduous one and much of the success of the entertainment depends on its being well done it is advisable to relieve the ladies in charge during the afternoon this however,1.0
1034-121119-0058,0058,but this annoys you let us change the subject you were saying madame i came to ask you my friend said the baroness what will be done with this impostor impostor,1.0
104-129578-0018,0018,i told him my name edward prendick and how i had taken to natural history as a relief from the dulness of my comfortable independence he seemed interested in this i've done some science myself,1.0
