File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine
en_4156,128,B,567.57,570.7,3.1299999999999955,I you've done this without a personal computer   ,1.0
en_4183,68,B,645.34,647.82,2.480000000000018,yeah sometimes though you get a lot more done that way   ,1.0
en_4616,2,B,104.66,107.92,3.260000000000005,"it'll be the biggest job I've ever done on a car, but I think I'll go ahead and give it a try  ",1.0
en_4852,100,A,450.43,456.22,5.7900000000000205,yeah. I think she does. Her knee was the second time she had it done it was swollen a long long time more than the other one.  ,1.0
en_4852,105,A,463.51,467.47,3.9600000000000364,So it was a lot different from the first time. I think if it had happened this way she wouldn't have had the second one done.  ,1.0
en_4852,189,B,597.27,600.53,3.259999999999991,Bless his heart he's trying to do whatever he can before he has this surgery done   ,1.0
en_6267,134,B,521.27,522.63,1.3600000000000136,done this for a very long time   ,1.0
en_6282,16,B,146.96,150.37,3.4099999999999966,"yeah, actually I am I mean, I've done this before so it's nothing new   ",1.0
en_6282,77,A,276.28,278.72,2.4400000000000546,"yeah because because she was done, and um   ",1.0
en_6282,96,A,314.96,317.1,2.140000000000043,"yeah, how about you and have you done anything exciting?   ",1.0
sw2005B-ms98-a,0009,B,65.94675,71.492875,5.5461250000000035,it had to be done in a hurry i mean we didn't have you know like six months to check all of these places out,1.0
sw2005B-ms98-a,0014,B,88.273375,100.422125,12.148749999999993,you know is there something else we could have done you know in checking out all the places that uh might be available course there's you know there's not one on every corner especially in you know smaller areas smaller towns,1.0
sw2005B-ms98-a,0063,B,250.11325,255.5985,5.485250000000008,and uh fortunately we agreed you know on exactly you know what we thought should be done,1.0
sw2006A-ms98-a,0041,A,266.482375,273.270875,6.788499999999999,well i know from some of the sites that we've had done quite a list of sites that have gone bad and you have to clean up and,1.0
sw2006B-ms98-a,0014,B,113.193625,125.592625,12.399000000000001,and a lot of their rules and regulations aren't real clear so we have our manager of environmental who assist the TACB which is located in Austin in writing and hey look what we've done here at TI,1.0
sw2007A-ms98-a,0067,A,286.358875,290.876375,4.517499999999984,y- you pr- you probably did less harm than what the water would have done though ,1.0
sw2007B-ms98-a,0099,B,483.578125,486.104875,2.5267499999999927,and yet they haven't done a thing to them,1.0
sw2009B-ms98-a,0002,B,0.629375,3.41975,2.790375,have you done a lot of camping recently,1.0
sw2009B-ms98-a,0020,B,77.55775,87.275375,9.717624999999998,oh no no  i've done it but it's not fun  you don't want to do it for like three weeks at a time that's for ,1.0
sw2010B-ms98-a,0044,B,262.680125,268.085375,5.405250000000024,i don't know how long this conversation is supposed to go but we're at about five minutes i should think we've done enough,1.0
sw2015A-ms98-a,0016,A,83.37125,86.945125,3.573875000000001,what i would love to see done to stop all of this,1.0
sw2017B-ms98-a,0021,B,108.03425,117.692,9.657749999999993,but uh we've done uh you know in order to maintain ours we've done some remodeling and stuff you know just to to kind of change do some some little changes occasionally so,2.0
sw2018B-ms98-a,0073,B,288.95275,302.09075,13.138000000000034,um-hum oh yeah i have to plan way in advance because or what i've done is found like doctors' and dentists' office with extended hours that's been real helpful too like my doctor stays open till nine in the evening,1.0
sw2018B-ms98-a,0074,B,302.09075,314.40275,12.312000000000012,so that's real helpful so you don't  you know have to do it during office hours run out on your lunch hour i don't know how many times i've done that to do  post office or the bank or any uh kind of errand ,1.0
sw2020B-ms98-a,0015,B,77.84125,90.70675,12.865499999999997,i i like music that is that that i feel if it's performed correctly or if it's done right or if the version is done  i like it but if it if it's not then i won't  i i really don't,2.0
sw2022A-ms98-a,0004,A,19.043,26.21875,7.175750000000001,and then basically since then what i've done is is keep track of it through the checkbook so that based on,1.0
