File,Line,Content,InstancesCountPerLine,FeatureCountPerLine
1025-92814-0019,19,i must make a prescription that is to be called for soon say said mc gowan looking up suddenly say ikey ain't there a drug of some kind,1,1
1027-125140-0026,26,which mister rokesmith just now read to me out aloud for i ain't good at handwritings offering to find me another little child to name and educate and bring up well this has set me thinking,1,1
1027-125147-0024,24,with a bottomless chair a lantern and a bunch of matches now old un cried fascination in his light raillery what dodgery are you up to next sitting there with your eyes shut you ain't asleep,1,1
103-1241-0027,27,who had been stolen away from her parents in her infancy by a cruel nurse who died before she could confess i used to lie awake at nights and imagine things like that because i didn't have time in the day i guess that's why i'm so thin i am dreadful thin ain't i there isn't a pick on my bones,1,1
1051-133883-0037,37,in one of the talks he had with nat about his chief temptation i know it and i don't mean to but it's so much easier to get along if you ain't very fussy about being exactly true,1,1
1051-133886-0028,28,never mind if she did it is awfully mean to hurt a little girl said demi reproachfully ho i don't mind i ain't a little girl i'm older than you and daisy so now cried nan ungratefully don't preach deacon you bully posy every day of your life,1,1
1061-152224-0014,14,small fear of it the gordons ain't sociable to say the least of it no sir mother pass the biscuits to the master who was the young fellow he had with him asked eric curiously neil neil gordon,1,1
1061-152224-0023,23,they say he ain't to be trusted further'n you can see him if as far it's certain he's awful hot tempered and one time when he was going to school he near about killed a boy he'd took a spite to choked him till he was black in the face and neil had to be dragged off,1,1
1061-152224-0026,26,but you're like old aunt nancy scott you never say anything uncharitable except in the way of business you know the gordons ain't like other people and never were and never will be they're about the only queer folks we have in lindsay master except old peter cook who keeps twenty five cats,1,1
107-22885-0037,37,and he ain't as popular now as he used to was well ain't it strange why aunt polly he was always so good and kind and moony and absent minded and chuckle headed and lovable why he was just an angel,2,2
107-22887-0031,31,and set down on the end of the sky light both of us knowed what that meant without having to explain to one another bud dixon would wake up and miss the swag and would come straight for us for he ain't afeard of anything or anybody that man ain't he would come and we would heave him overboard,2,2
107-22887-0032,32,or get killed trying it made me shiver because i ain't as brave as some people but if i showed the white feather well i knowed better than do that i kind of hoped the boat would land somers and we could skip ashore and not have to run the risk of this row,1,1
107-22887-0034,34,ain't it suspicious land hal says do you reckon he's playing us open the paper i done it and by gracious there warn't anything in it but a couple of little pieces of loaf sugar that's the reason he could set there and snooze all night so comfortable,1,1
1100-135264-0011,11,she ain't responsible for it and you ain't but it's there and neither of you can cross it my childhood wasn't very happy before i came to green gables said anne,2,2
1100-135264-0021,21,there's a vast of onunderstandable things in life ain't there mistress blythe sometimes things seem to work out real proper like same as with you and the doctor and then again they all seem to go catawampus,1,1
1121-176698-0015,15,said adam at this juncture speaking from beneath an inlaid table which he held balanced upon his head it ain't as if this was jest ordinary furnitur sir ye see she kind er feels as it be all part o dapplemere manor as it used to be called,1,1
1121-176698-0016,16,it's all been here so long that them cheers an tables has come to be part o the ouse sir so when she comes an finds as it ain't all been took,1,1
1265-135635-0023,23,lauk mary ann what's the matter said missus cluppins it's put me all over in such a tremble betsy replied missus raddle raddle ain't like a man he leaves everythink to me,1,1
1265-135635-0051,51,it's a gentleman said missus raddle well if it ain't mister jackson the young man from dodson and fogg's cried missus bardell why gracious surely mister pickwick can't have paid the damages or hoffered marriage said missus cluppins,1,1
1265-135635-0060,60,why really there ain't much time to lose replied jackson and i've got a friend here he continued looking towards the man with the ash stick oh ask your friend to come here sir said missus bardell pray ask your friend here sir,1,1
1265-135635-0066,66,sad thing about these costs of our people's ain't it said jackson when missus cluppins and missus sanders had fallen asleep your bill of costs i mean,1,1
1445-139387-0006,6,and when she found it she said to the blond twin who was now doing the biographies in his turn while the brunette one rested if it ain't asking what i ought not to ask mister angelo,1,1
1445-139397-0012,12,en sign some names to it en say you'll sell me cheap ca'se you's hard up you'll find you ain't gwine to have no trouble you take me up de country a piece en sell me on a farm,1,1
1445-139397-0013,13,dem people ain't gwine to ask no questions if i's a bargain tom forged a bill of sale and sold his mother to an arkansas cotton planter for a trifle over six hundred dollars,1,1
1469-163403-0003,3,at last i says this ain't no thirty seven year job this is a thirty eight year job tom sawyer he never said nothing but he sighed and pretty soon he stopped digging,1,1
1469-163403-0004,4,then he says it ain't no use huck it ain't a going to work if we was prisoners it would because then we'd have as many years as we wanted and no hurry and we wouldn't get but a few minutes to dig every day,2,2
1469-163403-0005,5,while they was changing watches and so our hands wouldn't get blistered and we could keep it up right along year in and year out and do it right and the way it ought to be done but we can't fool along we got to rush we ain't got no time to spare,1,1
1469-163403-0006,6,if we was to put in another night this way we'd have to knock off for a week to let our hands get wellcouldn't touch a case knife with them sooner well then what we going to do tom i'll tell you it ain't right and it ain't moral,2,2
1469-163403-0008,8,and as for me i don't care shucks for the morality of it nohow when i start in to steal a nigger or a watermelon or a sunday school book i ain't no ways particular how it's done so it's done,1,1
