File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine
en_4156,48,B,392.9,397.3,4.4,I just don't know why I am attracted to him it could be his Cessna that we were in   ,1,0
en_4170,44,B,454.35,455.85,1.5, He'll be a month old on  ,1,0
en_4170,57,B,470.14,471.95,1.81,I'm still jealous. I want to be at Arts Fest.  ,1,0
en_4170,151,A,602.74,607.72,4.98,And uh so it's like you know I go- i- if I get a car it can be like by like the thirtieth of July  or something.   ,1,0
en_4183,57,A,615.55,621.87,6.32, be sure to drink lots of water   ,1,0
en_4183,131,B,757.84,765.2,7.36,she was having she had said she was doing that contracting business and not not found anything  but I mean it must be hard to find anything really in Hickory anyway  ,1,0
en_4404,34,B,574.87,582.2,7.33,and we have had some problems with Rochelle in the past and I always try to be really gentle in what I say to her about her weight    ,1,0
en_4404,49,B,616.58,621.35,4.77,"that was back a number of years ago. anyway, I try to be real gentle in what I say because    ",1,0
en_4404,59,B,647.23,652.34,5.11,"maybe a little more abrupt than he needed to be, it wasn't our regular doctor    ",1,0
en_4404,75,B,693.3,701.6,8.3,because she feels so humiliated and surely they must of known this would be humiliating well  I'm sure they are completely clueless    ,1,0
en_4404,96,B,762.55,768.17,5.62,"lin- Linda I think got to be five ten, or five ten and a half something like that   ",1,0
en_4404,107,B,797.63,800.01,2.38,when you're going to be sitting in a conference room for a long time  ,1,0
en_4574,32,B,333.95,337.35,3.4,"y- it's really nice having a little, a couple little because it used to be I'd go down and I'd  ",1,0
en_4574,33,B,337.61,338.52,0.91,"be in muck, and then --  ",1,0
en_4574,67,A,431.64,438.05,6.41,"I think you're carrying, probably I'm carrying, boxes of stuff, or I might be carrying suitcases, I don't know  ",1,0
en_4574,68,B,437.56,439.35,1.79,well I mean well what kind of things will be in them?  ,1,0
en_4574,73,A,458.03,463.5,5.47,"but there's a guy there that, to explain it so, supposedly it's got to be legal stuff.    ",1,0
en_4574,86,B,507.93,510.15,2.22,"jesus, it must be about seventeen hundred from here  ",1,0
en_4616,2,B,104.66,107.92,3.26,"it'll be the biggest job I've ever done on a car, but I think I'll go ahead and give it a try  ",1,0
en_4616,8,B,122.94,128.95,6.01,"I began to feel like I needed to ah, be engaged in outrage among some of the Arabic people  ",1,0
en_4616,52,B,253.14,257.56,4.42,"so um, he said that it it could be as much as two more weeks before he gets it   ",1,0
en_4616,65,B,288.4,292.75,4.35,"and um, he seems to be a Muslim, though he was talking more like a Hindu  ",1,0
en_4616,75,B,301.42,304.99,3.57,"it's it's ah turned out to be not just one, but two answers to prayer,    ",1,0
en_4616,80,B,312.46,316.9,4.44,"frankly by the time I get the car, probably the heat wave will break and it won't be so bad working on it  ",1,0
en_4616,84,A,321.86,327.41,5.55,"mhm and ah so preferably that will be all it, all it needs  ",1,0
en_4622,23,B,186.39,188.07,1.68,volume you expect to be using   ,1,0
en_4852,72,A,411.53,416.52,4.99,Julia's here. Isabelle Nicks. She'll be here for another couple of weeks then she's going back to Florida.  ,1,0
en_4852,173,A,569.61,574.79,5.18,I know. I know.  So Corinne and Joe they'll be going back to Florida shortly too.  ,1,0
en_4852,175,A,575.29,580.84,5.55,She says we told her we'd stay and she said no there's no sense in staying it's just this is the way it's going to be and  -- ,1,0
en_4910,8,B,131.42,134.57,3.15, I know Bentsy mommy would be devastated so   ,1,0
en_4910,40,A,185.96,188.07,2.11,he told me he also used to be scared of shots   ,1,0
en_4910,64,B1,228.39,232.35,3.96,are you going to come in November d- from for you'll be able to visit us?   ,1,0
en_4910,88,B,280.06,283.32,3.26," so the policemen took him in and they, he had to be bailed out    ",1,0
en_4910,159,B,391.59,396.06,4.47,it's in near  I mean in in in the  it's going to be very good for him    ,1,0
en_4938,81,B,185.2,187.17,1.97,Because I don't think we'll be flying for a long time Abby.   ,1,0
en_4938,109,A,234.08,236.12,2.04,uh-huh John is going to be working in Washington   ,1,0
en_4938,114,A,240.33,243.56,3.23, r- well Carmella is north of Washington and they'll be south of Washington.  ,1,0
en_4966,9,A,499.65,505.81,6.16,seven points it would be like one two three four five six seven we want more  ,1,0
en_4966,87,A,659.93,667.15,7.22, I'll be like dear Professor Labov  nobody at Notre Dame believes that Philadelphia is on the cutting edge of linguistic change.   ,1,0
en_5011,2,A,149.27,154.03,4.76,I'm afraid to drive but  they said you should be able to drive um,1,0
en_5011,10,A,164.56,166.81,2.25,I I think I'd be dangerous on the road,1,0
en_5011,48,A,237.19,238.32,1.13,now where would that be,1,0
en_5011,55,B,262.23,266.7,4.47, then I I you know I could be hired by them,1,0
en_5011,68,A,295.76,297.67,1.91,  that will be it won't it,1,0
en_5011,69,B,298.03,301.53,3.5,that will be it for that and then I only owe you that thousand that you  loaned me,1,0
en_5011,71,B,301.82,305.32,3.5, but that will be it for the initial loan,1,0
en_5011,92,A,357.14,361.45,4.31,um  I hope the weather wouldn't be  bad by then,1,0
en_5017,15,A,148.21,149.74,1.53,that's the way the program's going to be    ,1,0
en_5017,33,B,184.75,187.84,3.09,"y-, it would be worth it to get an apartment down there you're paying the same   ",1,0
en_5017,34,A,188.13,192.85,4.72,"yeah I d- that would be, that would be much easier, um  ",2,0
en_5017,40,A,215.45,220.62,5.17," yeah, I want to be right in the town uh, right in the city where I'm working.     ",1,0
en_5017,46,A,227.08,231.94,4.86,"because if I am, and I'm in the right place, I'd only be like two or three miles from the job. that's --   ",1,0
en_5017,63,A,282.78,287.92,5.14,"but um, you know I I, that would be a whole lot easier but then     ",1,0
en_5017,65,A,293.6,297.31,3.71,"um, I wouldn't, I'd be a lot closer to you  --",1,0
en_5017,81,A,332.75,337.15,4.4,"Jill comes home, like and she'll be uh coming home at Thanksgiving    ",1,0
en_5017,83,A,337.6,340.59,2.99,and everybody's going to be congregating up here    ,1,0
en_5017,100,A,383.89,386.36,2.47,"and wants the place, and so I wouldn't be pressed to go    ",1,0
en_5017,107,A,407.56,412.79,5.23,so at least what I'll be paying is um a room which which should be a lot cheaper and   ,2,0
en_5017,108,A,413.34,417.87,4.53,"and um I would be, I I would be just adding to the time    ",2,0
en_6183,13,B,199.94,207.95,8.01,yeah if we could live to be ninety you know that's old but my poor mom is only sixty five I thought wow you know I'm going to inherit half of her genetic   ,1,0
