File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine
en_4156,128,B,567.57,570.7,3.13,I you've done this without a personal computer   ,1,0
en_4183,68,B,645.34,647.82,2.48,yeah sometimes though you get a lot more done that way   ,1,0
en_4616,2,B,104.66,107.92,3.26,"it'll be the biggest job I've ever done on a car, but I think I'll go ahead and give it a try  ",1,0
en_4852,100,A,450.43,456.22,5.79,yeah. I think she does. Her knee was the second time she had it done it was swollen a long long time more than the other one.  ,1,0
en_4852,105,A,463.51,467.47,3.96,So it was a lot different from the first time. I think if it had happened this way she wouldn't have had the second one done.  ,1,0
en_4852,189,B,597.27,600.53,3.26,Bless his heart he's trying to do whatever he can before he has this surgery done   ,1,0
en_6267,134,B,521.27,522.63,1.36,done this for a very long time   ,1,0
en_6282,16,B,146.96,150.37,3.41,"yeah, actually I am I mean, I've done this before so it's nothing new   ",1,0
en_6282,77,A,276.28,278.72,2.44,"yeah because because she was done, and um   ",1,0
en_6282,96,A,314.96,317.1,2.14,"yeah, how about you and have you done anything exciting?   ",1,0
sw_4507,43,A,247.27,254.96,7.69, no we've always done this i- i don't know how or why  we- u- when we first got married we wanted lots of things,1,0
sw_4537,46,A,223.62,225.84,2.22,yeah that's what i have done,1,0
sw_4560,41,B,13.19,16.51,3.32, i haven't done an awful lot because i just bought my house here,1,0
sw_4601,34,A,290.96,296.43,5.47, no i haven't gotten that sophisticated on it sounds like you've done some things like that,1,0
sw_4601,55,B,144.47,157.21,12.74,and what we had done is we had sent  some civvies or uh civilian clothes so to speak um on ahead to a hotel in Aspen  and uh we backpacked over the mountains,1,0
sw_4604,80,B,264.98,279.28,14.3,sort of have inertia too they they accept what's given to them too by their experts their administrators and just pass it on  i don't think anyone's really gone into depth to try to uh see just what can be done to make it more efficient ,1,0
sw_4776,31,A,191.53,198.87,7.34, i don't know i've never i've done a little bit of weight-lifting but i never i don't know i ,1,0
sw_4910,34,A,158.8,160.1,1.3,done that ,1,0
sw2005B-ms98-a,9,B,65.94675,71.492875,5.546125,it had to be done in a hurry i mean we didn't have you know like six months to check all of these places out,1,0
sw2005B-ms98-a,14,B,88.273375,100.422125,12.14875,you know is there something else we could have done you know in checking out all the places that uh might be available course there's you know there's not one on every corner especially in you know smaller areas smaller towns,1,0
sw2005B-ms98-a,63,B,250.11325,255.5985,5.48525,and uh fortunately we agreed you know on exactly you know what we thought should be done,1,0
