File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48
ATL_se0_ag1_f_01_1,610,ATL_se0_ag1_f_01,799.4099,804.2731,4.8632,"Yeah. Some of that stuff, you be like what? RD-NAME-3 be showing me some work. They got- they got-",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yeah.,Some,of,that,"stuff,",you,be ,like,what?,RD-NAME-3,be,showing,me,some,work.,They,got-,they,got-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,610,ATL_se0_ag1_f_01,799.4099,804.2731,4.8632,"Yeah. Some of that stuff, you be like what? RD-NAME-3 be showing me some work. They got- they got-",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yeah.,Some,of,that,"stuff,",you,be,like,what?,RD-NAME-3,be ,showing,me,some,work.,They,got-,they,got-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,663,ATL_se0_ag1_f_01,890.1232,893.7581,3.6349,registers and stuff. so you gotta do it all in your head. So I just be like,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,registers,and,stuff.,so,you,gotta,do,it,all,in,your,head.,So,I,just,be ,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,690,ATL_se0_ag1_f_01,924.8392,929.095,4.2558,sometimes I just can't listen to all that. I just be liking the beat to a hip hop song.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sometimes,I,just,can't,listen,to,all,that.,I,just,be ,liking,the,beat,to,a,hip,hop,song.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,693,ATL_se0_ag1_f_01,929.5292,931.3824,1.8532,I be listening to the beats.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,be ,listening,to,the,beats.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,785,ATL_se0_ag1_f_01,1084.8841,1091.8518,6.9677,And then I be seeing these videos. These mama's be letting they little boys dance and stuff. Like this lady had her son dancing in a dress.,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,then,I,be ,seeing,these,videos.,These,mama's,be,letting,they,little,boys,dance,and,stuff.,Like,this,lady,had,her,son,dancing,in,a,dress.,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,785,ATL_se0_ag1_f_01,1084.8841,1091.8518,6.9677,And then I be seeing these videos. These mama's be letting they little boys dance and stuff. Like this lady had her son dancing in a dress.,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And,then,I,be,seeing,these,videos.,These,mama's,be ,letting,they,little,boys,dance,and,stuff.,Like,this,lady,had,her,son,dancing,in,a,dress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,961,ATL_se0_ag1_f_01,1391.5727,1395.8226,4.2499,I be trying to either get too deep into politics and stuff. I be listening to it-,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,be ,trying,to,either,get,too,deep,into,politics,and,stuff.,I,be,listening,to,it-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,961,ATL_se0_ag1_f_01,1391.5727,1395.8226,4.2499,I be trying to either get too deep into politics and stuff. I be listening to it-,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,be,trying,to,either,get,too,deep,into,politics,and,stuff.,I,be ,listening,to,it-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,1031,ATL_se0_ag1_f_01,1522.9767,1524.087,1.1103,I don't be working out.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,don't,be ,working,out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
