File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
fe0300323,159,A,499.76,508.43,8.67,i don't think that's good enough though  like too bad for him because they've tried for three years and she's done bent over backwards for the guy and everything ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,i,don't,think,that's,good,enough,though,like,too,bad,for,him,because,they've,tried,for,three,years,and,she's,done ,bent,over,backwards,for,the,guy,and,everything,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300441,25,A,63.3,65.66,2.36,i done forgot the name of that company but it was a real ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,done ,forgot,the,name,of,that,company,but,it,was,a,real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300505,116,B,227.77,229.4,1.63,i done missed a ten dollar phone call ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,done ,missed,a,ten,dollar,phone,call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300783,15,B,45.89,55.01,9.12,yes any money in pockets to pay somebody to do them for you that comes later after you've done made all the money you could  but yeah really especially in the ozarks ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,any,money,in,pockets,to,pay,somebody,to,do,them,for,you,that,comes,later,after,you've,done ,made,all,the,money,you,could,but,yeah,really,especially,in,the,ozarks,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300972,218,A,595.31,599.9,4.59,and after we had done went through it like three times spent about two hundred bucks on ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,after,we,had,done ,went,through,it,like,three,times,spent,about,two,hundred,bucks,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0301176,63,B,160.63,168.34,7.71,and i had done registered for a lot of them before i ever found um the money and shopping dot com so i know that there are some on there that i have not registered at yet but um ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,i,had,done ,registered,for,a,lot,of,them,before,i,ever,found,um,the,money,and,shopping,dot,com,so,i,know,that,there,are,some,on,there,that,i,have,not,registered,at,yet,but,um,,,,,
fe0302112,157,B,475.24,481.01,5.77,he's gone now she done moved to new york and married another guy so i don't talk to her very often any more  ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,he's,gone,now,she,done ,moved,to,new,york,and,married,another,guy,so,i,don't,talk,to,her,very,often,any,more,,,,,,,,,,,,,,,,,,,,,,
fe0302457,126,B,371.51,374.4,2.89,no he no he's not done trained ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,he,no,he's,not,done ,trained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0302649,28,B,99.59,108.68,9.09,   you'll notice that all other holidays either you spend this   or you spend that and you get now you're trying to make up the money you done spent  ,1,1,,,,,,,,,,,,,,,,,,,,you'll,notice,that,all,other,holidays,either,you,spend,this,or,you,spend,that,and,you,get,now,you're,trying,to,make,up,the,money,you,done ,spent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0303309,89,A,237.15,242.8,5.65,done done taken care of that all done  yeah ,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,done,done,taken,care,of,that,all,done ,yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
