File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32
sw_4577,44,A,282.29,294.01,11.72,they found out i could sing  and so they got me up there and i sang on the stage with them  on the weekends and  just songs like Blue Moon and Ain't Misbehavin' and and songs like that,1,1,constituentboundary,constituentboundary,constituentboundary_ain't_constituentboundary,ConstituentBoundary,ConstituentBoundary,ConstituentBoundary_ain't_ConstituentBoundary,,,,,,,,,,they,found,out,i,could,sing,and,so,they,got,me,up,there,and,i,sang,on,the,stage,with,them,on,the,weekends,and,just,songs,like,Blue,Moon,and,Ain't ,Misbehavin',and,and,songs,like,that,,,,,,,,,,,,,,,,,,,,,,,,,,
sw2044B-ms98-a,59,B,380.1115,392.3915,12.28,i was gonna say there've been several times when i know they had ice storms down in Dallas uh that we would be up here trying to call and it we'd figure out after about the first hour that there ain't nobody at work ,1,1,there,nobody,there_ain't_nobody,PronounNonReferential,PronounIndefinite,PronounNonReferential_ain't_PronounIndefinite,i,was,gonna,say,there've,been,several,times,when,i,know,they,had,ice,storms,down,in,Dallas,uh,that,we,would,be,up,here,trying,to,call,and,it,we'd,figure,out,after,about,the,first,hour,that,there,ain't ,nobody,at,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw2136A-ms98-a,76,A,295.304875,303.5265,8.221625,and th- that's the way i think they should do it that way it is random you know it's random because_1 some people is already gone two three times and some people ain't went at all,1,1,people,went,people_ain't_went,Noun,VerbPastParticiple,Noun_ain't_VerbPastParticiple,,,,,,,,,and,th-,that's,the,way,i,think,they,should,do,it,that,way,it,is,random,you,know,it's,random,because_1,some,people,is,already,gone,two,three,times,and,some,people,ain't ,went,at,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw2277A-ms98-a,80,A,384.49225,387.51075,3.0185,well if it ain't uh well you know uh,1,1,it,constituentboundary,it_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,well,if,it,ain't ,uh,well,you,know,uh,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw2277B-ms98-a,95,B,442.416375,446.97375,4.557375,you know huh-uh  and that ain't right neither,1,1,that,right,that_ain't_right,PronounDemonstrative,Adjective,PronounDemonstrative_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,know,huh-uh,and,that,ain't ,right,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw2280A-ms98-a,58,A,188.285375,195.838,7.552625,there's your tornados that's right and so they're predicting this weekend probably drop something like thirty degrees i say huh-uh see that ain't right,1,1,that,right,that_ain't_right,PronounDemonstrative,Adjective,PronounDemonstrative_ain't_Adjective,,,,,,,,,,,,,,,,,,,there's,your,tornados,that's,right,and,so,they're,predicting,this,weekend,probably,drop,something,like,thirty,degrees,i,say,huh-uh,see,that,ain't ,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw2410B-ms98-a,37,B,182.718375,192.6225,9.904125,you know it's supposed to be all for one and one for all but that ain't how it works baby i mean that's you know they're not going to do something unless they've got incentives and they don't have any incentives to work,1,1,that,how,that_ain't_how,PronounDemonstrative,PronounRelative,PronounDemonstrative_ain't_PronounRelative,,,,,,,,,,,,,,,,,,,,,,,,,,you,know,it's,supposed,to,be,all,for,one,and,one,for,all,but,that,ain't ,how,it,works,baby,i,mean,that's,you,know,they're,not,going,to,do,something,unless,they've,got,incentives,and,they,don't,have,any,incentives,to,work,,,,,
sw2521B-ms98-a,45,B,196.374375,204.782125,8.40775,i mean it's tha- i mean you know that's the way i felt about it but i tell you what if New Orleans ever gets a quarterback ain't nobody going to beat us ,1,1,nobody,beat,nobody_ain't_beat,PronounIndefinite,VerbBase,PronounIndefinite_ain't_VerbBase,,,,,,,,,,,,,,i,mean,it's,tha-,i,mean,you,know,that's,the,way,i,felt,about,it,but,i,tell,you,what,if,New,Orleans,ever,gets,a,quarterback,ain't ,nobody,going,to,beat,us,,,,,,,,,,,,,,,,,,,,,,,,,,,
sw2536A-ms98-a,100,A,348.487125,352.844625,4.3575,yeah i just you know i ain't got time to me- mess around with them,1,1,I,got,I_ain't_got,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yeah,i,just,you,know,i,ain't ,got,time,to,me-,mess,around,with,them,,,,,,,,,,,,,,,,,,,,,,,,
sw2575A-ms98-a,46,A,261.317125,271.739,10.421875,um but i had lived in my own little bubble up until that time and and after traveling around the world a few times i realized that things ain't the way they seem,1,1,things,way,things_ain't_way,Noun,Noun,Noun_ain't_Noun,,,,,,,,,,,,,um,but,i,had,lived,in,my,own,little,bubble,up,until,that,time,and,and,after,traveling,around,the,world,a,few,times,i,realized,that,things,ain't ,the,way,they,seem,,,,,,,,,,,,,,,,,,,,,,,,,,,,
