File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L50,L49,L48,L47,L46,L45,L44,L43,L42,L41,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
ATL_se0_ag1_f_01_1,59,ATL_int_01,67.5942,69.1056,1.5114,1,1,You ain't gonna claim nothing else?,You,claim,You_ain't_claim,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You,ain't ,gonna,claim,nothing,else?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,432,ATL_int_01,526.584,529.2264,2.6424,1,1,"Oh, okay. I- I see. I ain't did economics til",I,did,I_ain't_did,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oh,",okay.,I-,I,see.,I,ain't ,did,economics,til,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,473,ATL_se0_ag1_f_01,577.5818,580.7058,3.124,1,1,I ain't really go for all that cause I got a real weak stomach.,I,go,I_ain't_go,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,really,go,for,all,that,cause,I,got,a,real,weak,stomach.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,542,ATL_se0_ag1_f_01,689.9566,691.4577,1.5011,1,1," Oh, that ain't even yours.",that,yours,that_ain't_yours,PronounDemonstrative,PronounPersonal,PronounDemonstrative_ain't_PronounPersonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oh,",that,ain't ,even,yours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,607,ATL_int_01,794.6876,797.7961,3.1085,1,1,"ain't gonna lie, I was like, oh man I forgot how to say this word.",constituentboundary,lie,constituentboundary_ain't_lie,ConstituentBoundary,VerbBase,ConstituentBoundary_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ain't ,gonna,"lie,",I,was,"like,",oh,man,I,forgot,how,to,say,this,word.,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,616,ATL_se0_ag1_f_01,807.432,810.2791,2.8471,1,1,"I'm like, I ain't never seen that when I was in school RD-NAME-3.",i,seen,i_ain't_seen,PronounPersonal,VerbPastParticiple,PronounPersonal_ain't_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm,"like,",I,ain't ,never,seen,that,when,I,was,in,school,RD-NAME-3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,776,ATL_se0_ag1_f_01,1066.2328,1068.7946,2.5618,1,1,"It's not- I'm not gonna say it ain't good parenting,",it,parenting,it_ain't_parenting,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's,not-,I'm,not,gonna,say,it,ain't ,good,"parenting,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,857,ATL_int_01,1209.3309,1215.7217,6.3908,1,1,I ain't gonna lie. I knew a couple of little notes on the recorder too. I was turnt for a second and then it just started getting advanced.,I,lie,I_ain't_lie,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,ain't ,gonna,lie.,I,knew,a,couple,of,little,notes,on,the,recorder,too.,I,was,turnt,for,a,second,and,then,it,just,started,getting,advanced.,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,891,ATL_int_01,1279.8298,1282.0318,2.202,1,1,"trying, I'm like, maybe he ain't gonna do",he,do,he_ain't_do,PronounPersonal,VerbBase,PronounPersonal_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"trying,",I'm,"like,",maybe,he,ain't ,gonna,do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,984,ATL_int_01,1425.9485,1428.9445,2.996,1,1,"You know they gonna say something about that, but it ain't that big of a deal.",it,big,it_ain't_big,PronounNonReferential,Adjective,PronounNonReferential_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You,know,they,gonna,say,something,about,"that,",but,it,ain't ,that,big,of,a,deal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
