File,Line,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L52,L51,L50,L49,L48,L47,L46,L45,L44,L43,L42,L41,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60
1025-92814-0019,19,1,1,i must make a prescription that is to be called for soon say said mc gowan looking up suddenly say ikey ain't there a drug of some kind,there,drug,there_ain't_drug,PronounNonReferential,Noun,PronounNonReferential_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,must,make,a,prescription,that,is,to,be,called,for,soon,say,said,mc,gowan,looking,up,suddenly,say,ikey,ain't ,there,a,drug,of,some,kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027-125140-0026,26,1,1,which mister rokesmith just now read to me out aloud for i ain't good at handwritings offering to find me another little child to name and educate and bring up well this has set me thinking,I,good,I_ain't_good,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,which,mister,rokesmith,just,now,read,to,me,out,aloud,for,i,ain't ,good,at,handwritings,offering,to,find,me,another,little,child,to,name,and,educate,and,bring,up,well,this,has,set,me,thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027-125147-0024,24,1,1,with a bottomless chair a lantern and a bunch of matches now old un cried fascination in his light raillery what dodgery are you up to next sitting there with your eyes shut you ain't asleep,you,asleep,you_ain't_asleep,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,with,a,bottomless,chair,a,lantern,and,a,bunch,of,matches,now,old,un,cried,fascination,in,his,light,raillery,what,dodgery,are,you,up,to,next,sitting,there,with,your,eyes,shut,you,ain't ,asleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103-1241-0027,27,1,1,who had been stolen away from her parents in her infancy by a cruel nurse who died before she could confess i used to lie awake at nights and imagine things like that because i didn't have time in the day i guess that's why i'm so thin i am dreadful thin ain't i there isn't a pick on my bones,I,constituentboundary,I_ain't_constituentboundary,PronounPersonal,ConstituentBoundary,PronounPersonal_ain't_ConstituentBoundary,who,had,been,stolen,away,from,her,parents,in,her,infancy,by,a,cruel,nurse,who,died,before,she,could,confess,i,used,to,lie,awake,at,nights,and,imagine,things,like,that,because,i,didn't,have,time,in,the,day,i,guess,that's,why,i'm,so,thin,i,am,dreadful,thin,ain't ,i,there,isn't,a,pick,on,my,bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051-133883-0037,37,1,1,in one of the talks he had with nat about his chief temptation i know it and i don't mean to but it's so much easier to get along if you ain't very fussy about being exactly true,you,fussy,you_ain't_fussy,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,in,one,of,the,talks,he,had,with,nat,about,his,chief,temptation,i,know,it,and,i,don't,mean,to,but,it's,so,much,easier,to,get,along,if,you,ain't ,very,fussy,about,being,exactly,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051-133886-0028,28,1,1,never mind if she did it is awfully mean to hurt a little girl said demi reproachfully ho i don't mind i ain't a little girl i'm older than you and daisy so now cried nan ungratefully don't preach deacon you bully posy every day of your life,I,girl,I_ain't_girl,PronounPersonal,Noun,PronounPersonal_ain't_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,never,mind,if,she,did,it,is,awfully,mean,to,hurt,a,little,girl,said,demi,reproachfully,ho,i,don't,mind,i,ain't ,a,little,girl,i'm,older,than,you,and,daisy,so,now,cried,nan,ungratefully,don't,preach,deacon,you,bully,posy,every,day,of,your,life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061-152224-0014,14,1,1,small fear of it the gordons ain't sociable to say the least of it no sir mother pass the biscuits to the master who was the young fellow he had with him asked eric curiously neil neil gordon,Gordons,sociable,Gordons_ain't_sociable,Noun,Adjective,Noun_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,fear,of,it,the,gordons,ain't ,sociable,to,say,the,least,of,it,no,sir,mother,pass,the,biscuits,to,the,master,who,was,the,young,fellow,he,had,with,him,asked,eric,curiously,neil,neil,gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061-152224-0023,23,1,1,they say he ain't to be trusted further'n you can see him if as far it's certain he's awful hot tempered and one time when he was going to school he near about killed a boy he'd took a spite to choked him till he was black in the face and neil had to be dragged off,he,trusted,he_ain't_trusted,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,say,he,ain't ,to,be,trusted,further'n,you,can,see,him,if,as,far,it's,certain,he's,awful,hot,tempered,and,one,time,when,he,was,going,to,school,he,near,about,killed,a,boy,he'd,took,a,spite,to,choked,him,till,he,was,black,in,the,face,and,neil,had,to,be,dragged,off,,,,,,,
1061-152224-0026,26,1,1,but you're like old aunt nancy scott you never say anything uncharitable except in the way of business you know the gordons ain't like other people and never were and never will be they're about the only queer folks we have in lindsay master except old peter cook who keeps twenty five cats,Gordons,like,Gordons_ain't_like,Noun,VerbBase,Noun_ain't_VerbBase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,but,you're,like,old,aunt,nancy,scott,you,never,say,anything,uncharitable,except,in,the,way,of,business,you,know,the,gordons,ain't ,like,other,people,and,never,were,and,never,will,be,they're,about,the,only,queer,folks,we,have,in,lindsay,master,except,old,peter,cook,who,keeps,twenty,five,cats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107-22885-0037,37,2,2,and he ain't as popular now as he used to was well ain't it strange why aunt polly he was always so good and kind and moony and absent minded and chuckle headed and lovable why he was just an angel,he,popular,he_ain't_popular,PronounPersonal,Adjective,PronounPersonal_ain't_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,he,ain't ,as,popular,now,as,he,used,to,was,well,ain't,it,strange,why,aunt,polly,he,was,always,so,good,and,kind,and,moony,and,absent,minded,and,chuckle,headed,and,lovable,why,he,was,just,an,angel,,,,,,,,,,,,,,,,,,,,,,
