File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27
ATL_se0_ag1_m_01_1,214,ATL_se0_ag1_m_01,298.0746,300.0073,1.9327,1,1,N- you done came to find some more shit.,you,came,you_done_came,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,N-,you,done ,came,to,find,some,more,shit.,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,2091,ATL_se0_ag1_m_03,2361.6825,2364.6302,2.9477,1,1,"I'm like, come on, man, not agai- y'all done already jumped- come on, man.",y'all,jumped,y'all_done_jumped,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,I'm,"like,",come,"on,","man,",not,agai-,y'all,done ,already,jumped-,come,"on,",man.,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_1,650,ATL_se0_ag1_m_04,873.7069,877.2424,3.5355,1,1,before they even realize what you got. And a lot of people- I done had people,I,had,I_done_had,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,before,they,even,realize,what,you,got.,And,a,lot,of,people-,I,done ,had,people,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_1,686,ATL_int_01,930.7423,934.9223,4.18,1,1,Hold up now cause I- I done been to a couple your shows. I haven't been to all of 'em,I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,Hold,up,now,cause,I-,I,done ,been,to,a,couple,your,shows.,I,haven't,been,to,all,of,'em,,,,,,,,,,,,,,
ATL_se0_ag1_m_04_2,245,ATL_int_01,335.5831,338.732,3.1489,1,1,"I mean, nobody had done been, um, coming to you tryna push that",nobody,been,nobody_done_been,PronounIndefinite,VerbPastParticiple,PronounIndefinite_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,I,"mean,",nobody,had,done ,"been,","um,",coming,to,you,tryna,push,that,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_05_1,659,ATL_int_01,1028.3039,1029.7061,1.4022,1,1,I done did a few folks,I,did,I_done_did,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,did,a,few,folks,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_05_1,1080,ATL_se0_ag1_m_05,1640.326,1643.3616,3.0356,1,1,"uh, you done went out let's say a night after that as well too,",you,went,you_done_went,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,"uh,",you,done ,went,out,let's,say,a,night,after,that,as,well,"too,",,,,,,,,,,,,,,,,
ATL_se0_ag2_m_01_1,593,ATL_se0_ag2_m_01,766.4818,769.6417,3.1599,1,1,"It gets rogue because you done depressed yourself so much,",you,depressed,you_done_depressed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,It,gets,rogue,because,you,done ,depressed,yourself,so,"much,",,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_02_1,2088,ATL_int_01,2380.5215,2382.638,2.1165,1,1,you more than welcome. We pretty much done hit,we,hit,we_done_hit,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,you,more,than,welcome.,We,pretty,much,done ,hit,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag2_m_03_1,370,ATL_se0_ag2_m_03,447.8173,451.7859,3.9686,1,1,you feel me. It's- it's a lot of people that done got influenced from Atlanta cause Atlanta was like,that,influenced,that_done_influenced,PronounRelative,VerbPastParticiple,PronounRelative_done_VerbPastParticiple,,,,,,,,,,,,,you,feel,me.,It's-,it's,a,lot,of,people,that,done ,got,influenced,from,Atlanta,cause,Atlanta,was,like,,,,,,,,,,,,,,,,,,,
