File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
sw2241B-ms98-a,123,B,486.75175,491.298875,4.547125,1,1,that really is it it would it seem like it be just the opposite when you get,it,opposite,it_be_opposite,PronounNonReferential,Adjective,PronounNonReferential_be_Adjective,,,,,,,,,,,,,,,,,,,,,,that,really,is,it,it,would,it,seem,like,it,be ,just,the,opposite,when,you,get,,,,,
sw2255B-ms98-a,132,B,399.123,402.627,3.504,1,1,that be all right between them and,that,all right,that_be_all right,PronounDemonstrative,Adjective,PronounDemonstrative_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,that,be ,all,right,between,them,and,,,,,,
sw2344A-ms98-a,87,A,428.0895,430.085125,1.995625,1,1,you be this way,you,way,you_be_way,PronounPersonal,Noun,PronounPersonal_be_Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,be ,this,way,,,,,,,,,
sw2563A-ms98-a,70,A,442.87775,446.477375,3.599625,1,1,it just be up up to something i guess that was big enough to,it,to,it_be_to,PronounNonReferential,Preposition,PronounNonReferential_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,just,be ,up,up,to,something,i,guess,that,was,big,enough,to
sw2651A-ms98-a,89,A,447.889375,452.447875,4.5585,2,1,because i figured when i got old and retire i don't want to be working i don't be a slave to the home,i,slave,i_be_slave,PronounPersonal,Noun,PronounPersonal_be_Noun,,,,,,,,,,,,,,,because,i,figured,when,i,got,old,and,retire,i,don't,want,to,be,working,i,don't,be ,a,slave,to,the,home,,,,,,
sw3401A-ms98-a,22,A,87.58125,92.864875,5.283625,1,1, except for then you be worried about who gets what care see what i mean,you,worried,you_be_worried,PronounPersonal,Adjective,PronounPersonal_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,except,for,then,you,be ,worried,about,who,gets,what,care,see,what,i,mean,
sw3406B-ms98-a,28,B,154.5305,156.962,2.4315,1,1,it probably be difficult anyway,it,difficult,it_be_difficult,PronounNonReferential,Adjective,PronounNonReferential_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,it,probably,be ,difficult,anyway,,,,,,,,,
sw3696B-ms98-a,43,B,243.003125,255.04525,12.042125,1,1,uh a very extended family that that kind of involved a lot of people that that cousins and things that you you don't really know that you've never met it it be interesting to meet a lot of those people ,it,interesting,it_be_interesting,PronounNonReferential,Adjective,PronounNonReferential_be_Adjective,uh,a,very,extended,family,that,that,kind,of,involved,a,lot,of,people,that,that,cousins,and,things,that,you,you,don't,really,know,that,you've,never,met,it,it,be ,interesting,to,meet,a,lot,of,those,people,,,
sw3751A-ms98-a,42,A,145.788,150.264,4.476,1,1,i think i think it be amazing how much how many more people use it,it,amazing,it_be_amazing,PronounNonReferential,Adjective,PronounNonReferential_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,i,think,i,think,it,be ,amazing,how,much,how,many,more,people,use,it,,
sw3770A-ms98-a,43,A,199.64675,202.41425,2.7675,1,1,w- you know grandmother be like that,grandmother,like,grandmother_be_like,Noun,Preposition,Noun_be_Preposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,w-,you,know,grandmother,be ,like,that,,,,,,,,,
sw4735B-ms98-a,16,B,97.8715,103.555375,5.683875,1,1,uh people be more  to do it uh-huh yeah,people,more,people_be_more,Noun,Adjective,Noun_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uh,people,be ,more,to,do,it,uh-huh,yeah,,,,,
