File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,1,2
ATL_se0_ag1_f_01_1,610,ATL_se0_ag1_f_01,799.4099,804.2731,4.8632,2,2,"Yeah. Some of that stuff, you be like what? RD-NAME-3 be showing me some work. They got- they got-",you,like,you_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,like what? RD-NAME-3 be showing me some work. They got- they got-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,610,ATL_se0_ag1_f_01,799.4099,804.2731,4.8632,2,2,"Yeah. Some of that stuff, you be like what? RD-NAME-3 be showing me some work. They got- they got-",RD-NAME-3,showing,RD-NAME-3_be_showing,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,showing me some work. They got- they got-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,663,ATL_se0_ag1_f_01,890.1232,893.7581,3.6349,1,1,registers and stuff. so you gotta do it all in your head. So I just be like,I,like,I_be_like,PronounPersonal,QuotativeLike,PronounPersonal_be_QuotativeLike,,,,,,,,,,,,,,,registers,and,stuff.,so,you,gotta,do,it,all,in,your,head.,So,I,just,be ,like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,690,ATL_se0_ag1_f_01,924.8392,929.095,4.2558,1,1,sometimes I just can't listen to all that. I just be liking the beat to a hip hop song.,I,liking,I_be_liking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,sometimes,I,just,can't,listen,to,all,that.,I,just,be ,liking,the,beat,to,a,hip,hop,song.,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,693,ATL_se0_ag1_f_01,929.5292,931.3824,1.8532,1,1,I be listening to the beats.,I,listening,I_be_listening,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,be ,listening,to,the,beats.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,785,ATL_se0_ag1_f_01,1084.8841,1091.8518,6.9677,2,2,And then I be seeing these videos. These mama's be letting they little boys dance and stuff. Like this lady had her son dancing in a dress.,mamas,letting,mamas_be_letting,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,seeing these videos. These mama's be letting they little boys dance and stuff. Like this lady had her son dancing in a dress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,785,ATL_se0_ag1_f_01,1084.8841,1091.8518,6.9677,2,2,And then I be seeing these videos. These mama's be letting they little boys dance and stuff. Like this lady had her son dancing in a dress.,I,seeing,I_be_seeing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,letting they little boys dance and stuff. Like this lady had her son dancing in a dress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,961,ATL_se0_ag1_f_01,1391.5727,1395.8226,4.2499,2,2,I be trying to either get too deep into politics and stuff. I be listening to it-,I,listening,I_be_listening,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,trying to either get too deep into politics and stuff. I be listening to it-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,961,ATL_se0_ag1_f_01,1391.5727,1395.8226,4.2499,2,2,I be trying to either get too deep into politics and stuff. I be listening to it-,I,trying,I_be_trying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,listening to it-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,1031,ATL_se0_ag1_f_01,1522.9767,1524.087,1.1103,1,1,I don't be working out.,I,working,I_be_working,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,don't,be ,working,out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,1042,ATL_int_01,1537.5527,1539.1537,1.601,1,1,I be still trying to workout-,I,trying,I_be_trying,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,be ,still,trying,to,workout-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,1219,ATL_se0_ag1_f_01,1835.4921,1839.0668,3.5747,2,2,I don't really be playing video games. I just be playing games on my phone.,I,playing,I_be_playing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,playing video games. I just be playing games on my phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,1219,ATL_se0_ag1_f_01,1835.4921,1839.0668,3.5747,2,2,I don't really be playing video games. I just be playing games on my phone.,I,playing,I_be_playing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,playing games on my phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_01_1,1228,ATL_se0_ag1_f_01,1852.1151,1855.4913,3.3762,1,1,"And then I be playing the, um, Game Pigeon, games.",I,playing,I_be_playing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,And,then,I,be ,playing,"the,","um,",Game,"Pigeon,",games.,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,710,ATL_se0_ag1_f_02,742.0953,745.7007,3.6054,2,2,"Cause Grandma be trying to watch her stories and get some peace, and he be barking at nobody for no",he,barking,he_be_barking,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,"trying to watch her stories and get some peace, and he be barking at nobody for no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_f_02_1,710,ATL_se0_ag1_f_02,742.0953,745.7007,3.6054,2,2,"Cause Grandma be trying to watch her stories and get some peace, and he be barking at nobody for no",Grandma,trying,Grandma_be_trying,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be,barking at nobody for no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
