File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,Content,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L45,L44,L43,L42,L41,L40,L39,L38,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
fe0300492,172,B,412.17,414.76,2.59,1,1,and i said man i be wondering if i'm a ,i,wondering,i_be_wondering,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,i,said,man,i,be ,wondering,if,i'm,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300505,121,B,243.62,245.55,1.93,1,1,ten dollars a pop be doing good ,dollars,doing,dollars_be_doing,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ten,dollars,a,pop,be ,doing,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300558,42,B,132.25,135.97,3.72,1,1,uh sometimes the subjects be really ,subjects,really,subjects_be_really,Noun,Adverb,Noun_be_Adverb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uh,sometimes,the,subjects,be ,really,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300598,72,A,241.76,246.95,5.19,1,1,native americans or italian or anything like that cause i really don't know anything about my background so therefore it be kind of neat ,it,neat,it_be_neat,PronounNonReferential,Adjective,PronounNonReferential_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,native,americans,or,italian,or,anything,like,that,cause,i,really,don't,know,anything,about,my,background,so,therefore,it,be ,kind,of,neat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300693,156,A,430.65,436.14,5.49,1,1,in the cell phone business sometimes it be kind of scary you wish that you actually knew who you were selling them too ,it,scary,it_be_scary,PronounNonReferential,Adjective,PronounNonReferential_be_Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in,the,cell,phone,business,sometimes,it,be ,kind,of,scary,you,wish,that,you,actually,knew,who,you,were,selling,them,too,,,,,,,,,,,,,,,,,,,,,,,,,
fe0300860,125,B,558.42,567.45,9.03,1,1,you know they something wrong with it i don't know sometime people be doing drugs and they think oh i'm clean then have a kid i don't know it's a long story ,people,doing,people_be_doing,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you,know,they,something,wrong,with,it,i,don't,know,sometime,people,be ,doing,drugs,and,they,think,oh,i'm,clean,then,have,a,kid,i,don't,know,it's,a,long,story,,,,,,,,,,,,,,,,,,,,,
fe0300967,191,B,452.86,457.27,4.41,1,1,running the airline and then you have the people down there that are doing the job they be making ,they,making,they_be_making,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,running,the,airline,and,then,you,have,the,people,down,there,that,are,doing,the,job,they,be ,making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0301323,31,A,136.52,145.32,8.8,1,1,i ye- yes and usually the person who make the lesser amount it seem like they be the one to do the hardest work and also fifteen cents will put you in a different bracket you're paying more tax on it ,they,one,they_be_one,PronounPersonal,PronounRelative,PronounPersonal_be_PronounRelative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,ye-,yes,and,usually,the,person,who,make,the,lesser,amount,it,seem,like,they,be ,the,one,to,do,the,hardest,work,and,also,fifteen,cents,will,put,you,in,a,different,bracket,you're,paying,more,tax,on,it,,,,,,,,,,,,,,,,
fe0301431,146,B,473.65,481.11,7.46,1,1,right i i agree with that because uh uh regardless of how people be thinking ,people,thinking,people_be_thinking,Noun,VerbPresentParticiple,Noun_be_VerbPresentParticiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,i,i,agree,with,that,because,uh,uh,regardless,of,how,people,be ,thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe0301485,67,A,166.03,180.11,14.08,1,1,see jets flying around all the time and we are not too far from a military base either so there's always something going on  with them flying their helicopters and stuff i don't know what they be doing  ,they,doing,they_be_doing,PronounPersonal,VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,,,,,,,,,,see,jets,flying,around,all,the,time,and,we,are,not,too,far,from,a,military,base,either,so,there's,always,something,going,on,with,them,flying,their,helicopters,and,stuff,i,don't,know,what,they,be ,doing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
