,coraal,fisher,librispeech,switchboardhub5,timit
TotalCorpusWordCount,1380054.0,22573523.0,9708777.0,3269582.0,23012
TotalWordInstancesCount,1086.0,1057.0,579.0,30.0,0
NormalizedWordInstancesCount,78.69,4.68,5.96,0.92,0
TotalFileCount,231.0,11699.0,5831.0,4916.0,2463
FeatureCount,1086,1057,579,30,
FeatureCountNormalized,78.693,4.682,5.964,0.918,
FilesWithFeatureCount,124,616,533,27,
PercentTotalFilesWithFeature,53.68,5.27,9.14,0.55,
FilesWithFeatureList,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_f_01_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_01_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_04_1', 'DCA_se1_ag1_m_05_1', 'DCA_se1_ag1_m_06_1', 'DCA_se1_ag1_m_07_1', 'DCA_se1_ag1_m_07_2', 'DCA_se1_ag3_f_01_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_01_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_04_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_m_01_1', 'DCA_se2_ag1_m_05_1', 'DCA_se2_ag2_m_02_1', 'DCA_se2_ag3_m_02_1', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_f_04_1', 'DCA_se3_ag1_m_05_1', 'DCA_se3_ag1_m_06_1', 'DCA_se3_ag3_m_03_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_01_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_02_2', 'DCB_se1_ag2_m_02_3', 'DCB_se1_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_02_1', 'DCB_se1_ag3_f_02_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se1_ag4_m_01_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag1_f_01_1', 'DCB_se2_ag1_m_01_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag2_f_02_1', 'DCB_se2_ag2_m_01_1', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_02_2', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_02_1', 'DCB_se2_ag4_f_03_2', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag1_m_01_2', 'DCB_se3_ag3_f_02_1', 'DCB_se3_ag3_m_01_1', 'DCB_se3_ag3_m_02_1', 'DCB_se3_ag4_m_01_1', 'LES_se0_ag2_f_01_2', 'LES_se0_ag2_f_02_1', 'LES_se0_ag2_f_02_2', 'LES_se0_ag3_m_01_1', 'LES_se0_ag3_m_01_2', 'LES_se0_ag3_m_02_1', 'LES_se0_ag4_f_01_2', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_f_01_2', 'PRV_se0_ag1_f_02_1', 'PRV_se0_ag1_f_02_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_01_1', 'PRV_se0_ag2_f_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag2_m_02_1', 'PRV_se0_ag3_f_02_2', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_f_04_3', 'PRV_se0_ag3_m_01_1', 'PRV_se0_ag3_m_01_2', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_02_3', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag1_m_03_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag2_f_01_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_f_01_2', 'VLD_se0_ag3_m_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1', 'VLD_se0_ag4_f_02_1', 'VLD_se0_ag4_m_02_1']","['fe0300021', 'fe0300153', 'fe0300215', 'fe0300294', 'fe0300395', 'fe0300486', 'fe0300505', 'fe0300515', 'fe0300546', 'fe0300560', 'fe0300574', 'fe0300581', 'fe0300618', 'fe0300627', 'fe0300644', 'fe0300648', 'fe0300655', 'fe0300684', 'fe0300717', 'fe0300720', 'fe0300744', 'fe0300748', 'fe0300750', 'fe0300787', 'fe0300814', 'fe0300860', 'fe0300898', 'fe0300966', 'fe0300972', 'fe0300994', 'fe0301087', 'fe0301088', 'fe0301105', 'fe0301112', 'fe0301179', 'fe0301239', 'fe0301291', 'fe0301307', 'fe0301320', 'fe0301321', 'fe0301328', 'fe0301361', 'fe0301424', 'fe0301457', 'fe0301460', 'fe0301487', 'fe0301529', 'fe0301548', 'fe0301552', 'fe0301559', 'fe0301562', 'fe0301574', 'fe0301588', 'fe0301589', 'fe0301599', 'fe0301640', 'fe0301685', 'fe0301695', 'fe0301699', 'fe0301720', 'fe0301760', 'fe0301850', 'fe0301904', 'fe0301919', 'fe0301960', 'fe0301968', 'fe0301984', 'fe0302003', 'fe0302019', 'fe0302048', 'fe0302055', 'fe0302075', 'fe0302089', 'fe0302134', 'fe0302137', 'fe0302184', 'fe0302185', 'fe0302188', 'fe0302192', 'fe0302231', 'fe0302278', 'fe0302283', 'fe0302342', 'fe0302344', 'fe0302350', 'fe0302360', 'fe0302421', 'fe0302453', 'fe0302458', 'fe0302466', 'fe0302471', 'fe0302483', 'fe0302522', 'fe0302543', 'fe0302562', 'fe0302576', 'fe0302598', 'fe0302655', 'fe0302673', 'fe0302705', 'fe0302712', 'fe0302713', 'fe0302727', 'fe0302740', 'fe0302800', 'fe0302808', 'fe0302812', 'fe0302814', 'fe0302837', 'fe0302932', 'fe0302955', 'fe0302958', 'fe0302959', 'fe0302963', 'fe0302972', 'fe0302977', 'fe0302997', 'fe0303013', 'fe0303020', 'fe0303033', 'fe0303048', 'fe0303095', 'fe0303160', 'fe0303177', 'fe0303183', 'fe0303215', 'fe0303257', 'fe0303278', 'fe0303333', 'fe0303337', 'fe0303359', 'fe0303384', 'fe0303416', 'fe0303436', 'fe0303450', 'fe0303466', 'fe0303480', 'fe0303482', 'fe0303497', 'fe0303514', 'fe0303521', 'fe0303534', 'fe0303535', 'fe0303540', 'fe0303545', 'fe0303552', 'fe0303564', 'fe0303573', 'fe0303575', 'fe0303579', 'fe0303584', 'fe0303601', 'fe0303605', 'fe0303642', 'fe0303648', 'fe0303682', 'fe0303720', 'fe0303745', 'fe0303777', 'fe0303783', 'fe0303852', 'fe0303876', 'fe0303904', 'fe0303934', 'fe0303947', 'fe0304130', 'fe0304159', 'fe0304247', 'fe0304286', 'fe0304311', 'fe0304335', 'fe0304346', 'fe0304347', 'fe0304357', 'fe0304367', 'fe0304391', 'fe0304415', 'fe0304437', 'fe0304440', 'fe0304489', 'fe0304523', 'fe0304525', 'fe0304538', 'fe0304543', 'fe0304547', 'fe0304552', 'fe0304579', 'fe0304585', 'fe0304593', 'fe0304601', 'fe0304651', 'fe0304685', 'fe0304705', 'fe0304708', 'fe0304716', 'fe0304733', 'fe0304737', 'fe0304738', 'fe0304739', 'fe0304748', 'fe0304766', 'fe0304773', 'fe0304794', 'fe0304818', 'fe0304825', 'fe0304877', 'fe0304887', 'fe0304894', 'fe0304896', 'fe0304899', 'fe0304905', 'fe0304910', 'fe0304927', 'fe0304939', 'fe0304950', 'fe0304959', 'fe0304977', 'fe0304979', 'fe0304994', 'fe0304998', 'fe0305045', 'fe0305051', 'fe0305062', 'fe0305092', 'fe0305117', 'fe0305222', 'fe0305248', 'fe0305255', 'fe0305270', 'fe0305278', 'fe0305281', 'fe0305284', 'fe0305285', 'fe0305290', 'fe0305292', 'fe0305294', 'fe0305301', 'fe0305302', 'fe0305307', 'fe0305308', 'fe0305313', 'fe0305326', 'fe0305341', 'fe0305342', 'fe0305348', 'fe0305358', 'fe0305374', 'fe0305377', 'fe0305383', 'fe0305385', 'fe0305395', 'fe0305396', 'fe0305398', 'fe0305442', 'fe0305460', 'fe0305487', 'fe0305503', 'fe0305509', 'fe0305513', 'fe0305538', 'fe0305543', 'fe0305546', 'fe0305549', 'fe0305551', 'fe0305567', 'fe0305572', 'fe0305600', 'fe0305621', 'fe0305626', 'fe0305627', 'fe0305657', 'fe0305662', 'fe0305668', 'fe0305671', 'fe0305674', 'fe0305678', 'fe0305711', 'fe0305737', 'fe0305795', 'fe0305798', 'fe0305815', 'fe0305844', 'fe0305869', 'fe0305874', 'fe0305968', 'fe0306108', 'fe0306190', 'fe0306203', 'fe0306251', 'fe0306302', 'fe0306343', 'fe0306344', 'fe0306414', 'fe0306463', 'fe0306469', 'fe0306475', 'fe0306500', 'fe0306501', 'fe0306570', 'fe0306781', 'fe0306783', 'fe0306789', 'fe0306794', 'fe0306836', 'fe0306838', 'fe0306855', 'fe0306857', 'fe0306881', 'fe0306960', 'fe0306978', 'fe0307020', 'fe0307025', 'fe0307031', 'fe0307047', 'fe0307049', 'fe0307050', 'fe0307065', 'fe0307066', 'fe0307072', 'fe0307075', 'fe0307156', 'fe0307159', 'fe0307161', 'fe0307183', 'fe0307198', 'fe0307242', 'fe0307248', 'fe0307252', 'fe0307266', 'fe0307268', 'fe0307273', 'fe0307277', 'fe0307299', 'fe0307301', 'fe0307351', 'fe0307425', 'fe0307445', 'fe0307458', 'fe0307497', 'fe0307505', 'fe0307509', 'fe0307517', 'fe0307549', 'fe0307572', 'fe0307601', 'fe0307642', 'fe0307698', 'fe0307708', 'fe0307712', 'fe0307733', 'fe0307742', 'fe0307752', 'fe0307753', 'fe0307761', 'fe0307774', 'fe0307801', 'fe0307810', 'fe0307830', 'fe0307864', 'fe0307872', 'fe0307894', 'fe0307902', 'fe0307943', 'fe0307949', 'fe0307988', 'fe0307993', 'fe0307999', 'fe0308001', 'fe0308050', 'fe0308066', 'fe0308069', 'fe0308079', 'fe0308081', 'fe0308116', 'fe0308156', 'fe0308160', 'fe0308189', 'fe0308202', 'fe0308267', 'fe0308306', 'fe0308309', 'fe0308329', 'fe0308343', 'fe0308375', 'fe0308377', 'fe0308408', 'fe0308409', 'fe0308411', 'fe0308433', 'fe0308441', 'fe0308451', 'fe0308472', 'fe0308479', 'fe0308483', 'fe0308491', 'fe0308502', 'fe0308518', 'fe0308586', 'fe0308591', 'fe0308610', 'fe0308614', 'fe0308654', 'fe0308688', 'fe0308704', 'fe0308816', 'fe0308834', 'fe0308839', 'fe0308842', 'fe0308857', 'fe0308864', 'fe0308886', 'fe0308935', 'fe0308942', 'fe0308969', 'fe0308975', 'fe0308998', 'fe0309042', 'fe0309101', 'fe0309104', 'fe0309108', 'fe0309134', 'fe0309138', 'fe0309174', 'fe0309183', 'fe0309223', 'fe0309237', 'fe0309242', 'fe0309275', 'fe0309323', 'fe0309333', 'fe0309373', 'fe0309395', 'fe0309400', 'fe0309409', 'fe0309411', 'fe0309412', 'fe0309415', 'fe0309440', 'fe0309442', 'fe0309462', 'fe0309464', 'fe0309471', 'fe0309474', 'fe0309479', 'fe0309493', 'fe0309496', 'fe0309499', 'fe0309517', 'fe0309531', 'fe0309541', 'fe0309549', 'fe0309553', 'fe0309577', 'fe0309586', 'fe0309589', 'fe0309594', 'fe0309595', 'fe0309619', 'fe0309644', 'fe0309652', 'fe0309656', 'fe0309662', 'fe0309679', 'fe0309683', 'fe0309684', 'fe0309691', 'fe0309706', 'fe0309712', 'fe0309715', 'fe0309736', 'fe0309811', 'fe0309869', 'fe0309877', 'fe0309889', 'fe0309896', 'fe0309940', 'fe0309957', 'fe0309985', 'fe0310000', 'fe0310001', 'fe0310004', 'fe0310017', 'fe0310020', 'fe0310024', 'fe0310027', 'fe0310038', 'fe0310065', 'fe0310107', 'fe0310199', 'fe0310237', 'fe0310249', 'fe0310265', 'fe0310266', 'fe0310278', 'fe0310285', 'fe0310303', 'fe0310311', 'fe0310329', 'fe0310333', 'fe0310342', 'fe0310344', 'fe0310368', 'fe0310373', 'fe0310424', 'fe0310428', 'fe0310431', 'fe0310443', 'fe0310445', 'fe0310457', 'fe0310467', 'fe0310468', 'fe0310472', 'fe0310489', 'fe0310495', 'fe0310497', 'fe0310501', 'fe0310508', 'fe0310510', 'fe0310533', 'fe0310539', 'fe0310549', 'fe0310553', 'fe0310554', 'fe0310562', 'fe0310576', 'fe0310578', 'fe0310594', 'fe0310599', 'fe0310612', 'fe0310617', 'fe0310619', 'fe0310622', 'fe0310626', 'fe0310634', 'fe0310636', 'fe0310639', 'fe0310640', 'fe0310643', 'fe0310658', 'fe0310674', 'fe0310693', 'fe0310707', 'fe0310716', 'fe0310724', 'fe0310749', 'fe0310751', 'fe0310774', 'fe0310784', 'fe0310794', 'fe0310843', 'fe0310861', 'fe0310862', 'fe0310865', 'fe0310881', 'fe0310893', 'fe0310895', 'fe0310898', 'fe0310908', 'fe0310950', 'fe0310956', 'fe0310961', 'fe0311002', 'fe0311003', 'fe0311013', 'fe0311019', 'fe0311031', 'fe0311032', 'fe0311055', 'fe0311069', 'fe0311074', 'fe0311075', 'fe0311095', 'fe0311101', 'fe0311107', 'fe0311119', 'fe0311150', 'fe0311159', 'fe0311162', 'fe0311164', 'fe0311168', 'fe0311177', 'fe0311182', 'fe0311188', 'fe0311198', 'fe0311199', 'fe0311202', 'fe0311213', 'fe0311264', 'fe0311269', 'fe0311288', 'fe0311317', 'fe0311336', 'fe0311360', 'fe0311403', 'fe0311422', 'fe0311426', 'fe0311432', 'fe0311441', 'fe0311455', 'fe0311458', 'fe0311474', 'fe0311479', 'fe0311481', 'fe0311482', 'fe0311491', 'fe0311541', 'fe0311549', 'fe0311582', 'fe0311584', 'fe0311634', 'fe0311638', 'fe0311654', 'fe0311658', 'fe0311671', 'fe0311682', 'fe0311690']","['1025-92814-0019', '1027-125140-0026', '1027-125147-0024', '103-1241-0027', '1051-133883-0037', '1051-133886-0028', '1061-152224-0014', '1061-152224-0023', '1061-152224-0026', '107-22885-0037', '107-22887-0031', '107-22887-0032', '107-22887-0034', '1100-135264-0011', '1100-135264-0021', '1121-176698-0015', '1121-176698-0016', '1265-135635-0023', '1265-135635-0051', '1265-135635-0060', '1265-135635-0066', '1445-139387-0006', '1445-139397-0012', '1445-139397-0013', '1469-163403-0003', '1469-163403-0004', '1469-163403-0005', '1469-163403-0006', '1469-163403-0008', '1469-163403-0011', '1469-163403-0016', '1498-140041-0025', '1578-140045-0003', '1578-140045-0004', '1746-143015-0033', '1746-143015-0067', '1750-135624-0038', '177-122839-0007', '1772-135621-0068', '1809-143025-0022', '1845-145083-0026', '1846-144458-0031', '1867-148436-0011', '1867-154071-0007', '1867-154071-0008', '1867-154071-0032', '1867-154071-0034', '1867-154075-0039', '188-136483-0019', '188-136483-0021', '188-136483-0023', '188-136483-0025', '188-136483-0028', '188-141613-0034', '1901-48014-0006', '1944-159227-0012', '1944-159228-0010', '1944-159228-0022', '1944-159230-0015', '1944-159230-0017', '1944-159230-0018', '1944-159230-0031', '1961-149739-0004', '1970-26100-0026', '1970-26100-0027', '1970-26100-0028', '1985-144468-0090', '1985-144468-0101', '1998-29454-0016', '1998-29454-0017', '1998-29454-0021', '1998-29454-0034', '1998-29455-0025', '1998-29455-0030', '1998-29455-0032', '2003-143254-0029', '2053-138901-0034', '2053-138901-0050', '207-131203-0018', '2085-147970-0017', '2085-147970-0018', '2085-147971-0007', '2085-147971-0008', '2085-147971-0015', '2085-147971-0016', '2085-147971-0046', '210-129396-0113', '2254-152826-0020', '226-122538-0014', '2285-163380-0029', '2285-163381-0031', '2285-163381-0034', '2297-28913-0021', '2297-28913-0031', '2309-167347-0015', '2341-163407-0027', '2341-163408-0039', '2341-163408-0051', '2341-163408-0058', '2341-163408-0066', '2393-144496-0059', '2405-148581-0022', '2445-148556-0035', '2445-148556-0057', '2532-163402-0002', '2532-163402-0013', '2532-163402-0014', '2532-163402-0015', '2532-163402-0016', '2532-163402-0028', '2532-163402-0029', '2532-163402-0031', '2532-163402-0038', '2532-163402-0046', '2532-163402-0049', '2544-27475-0005', '2552-132097-0110', '2573-178450-0006', '2573-178450-0008', '2573-178450-0017', '2573-178450-0024', '2606-132102-0079', '264-121332-0083', '264-121332-0084', '273-129288-0011', '2769-176256-0022', '2769-176256-0023', '2769-176256-0031', '2769-176256-0036', '2769-176263-0007', '283-130638-0046', '288-131218-0020', '288-131218-0022', '288-131218-0026', '288-131218-0031', '288-131218-0037', '288-131220-0004', '288-131220-0011', '29-130626-0051', '2946-163375-0012', '2946-163375-0037', '2946-163375-0058', '2946-163375-0078', '2946-163375-0090', '3005-163391-0009', '3005-163391-0017', '3005-163399-0025', '3033-130750-0063', '3045-163406-0027', '3045-163406-0031', '307-127535-0024', '3072-155948-0017', '3083-7944-0057', '3083-7944-0060', '3083-7944-0070', '3259-158083-0033', '3370-163384-0007', '3370-163384-0012', '3370-163384-0019', '3370-163384-0049', '3380-64298-0012', '3380-64298-0014', '3490-177641-0009', '3493-17615-0015', '3526-176653-0021', '3536-8226-0007', '3536-8226-0010', '3536-8226-0011', '3546-175390-0018', '3691-178109-0025', '3691-178118-0028', '3691-178118-0031', '3738-176680-0046', '3738-176682-0022', '3744-177438-0021', '3744-177438-0026', '3744-178590-0018', '3744-178590-0023', '377-129292-0029', '3780-177784-0017', '3780-177788-0006', '3783-176659-0009', '3783-176659-0015', '3783-176659-0026', '3783-176659-0044', '3783-176659-0045', '3783-176659-0059', '3792-176660-0013', '3792-176660-0026', '3792-176660-0037', '3792-176660-0042', '3792-176660-0043', '380-129064-0056', '3807-4923-0032', '3819-134146-0058', '3843-176663-0035', '3843-176666-0064', '3853-163249-0033', '3864-185126-0022', '3864-185126-0045', '392-131210-0011', '392-131210-0017', '392-131210-0022', '392-131210-0023', '392-131210-0033', '392-131210-0036', '392-131210-0045', '392-131210-0047', '3926-174988-0028', '3934-102415-0047', '3945-29110-0017', '3945-29110-0048', '3982-178459-0002', '3994-156757-0039', '4017-231846-0034', '4017-231846-0047', '4148-134149-0033', '4226-185488-0022', '4262-14486-0037', '4267-78186-0004', '4267-78186-0014', '4267-78186-0015', '4267-78186-0027', '4321-15217-0004', '4340-15220-0015', '4340-15220-0083', '4422-283730-0051', '4423-29083-0023', '4423-29084-0017', '4423-29084-0035', '4481-17499-0041', '4511-45512-0004', '4535-279852-0007', '4570-56594-0002', '4570-56594-0010', '4586-61758-0009', '4586-61776-0009', '4586-61776-0011', '4586-61776-0023', '460-172359-0042', '460-172359-0046', '4680-16026-0035', '4681-13056-0034', '4748-25901-0007', '4748-25901-0037', '4788-294466-0023', '483-125116-0036', '483-125116-0046', '483-125126-0074', '4841-26659-0060', '4848-29108-0009', '4848-29108-0014', '4848-29108-0020', '4899-32639-0035', '4936-65528-0001', '4936-65528-0005', '4936-65528-0013', '4936-65528-0026', '4936-65528-0040', '4957-30119-0010', '4957-30119-0011', '4957-30119-0018', '4957-30119-0038', '497-129325-0016', '497-129325-0060', '497-129325-0074', '4992-41797-0005', '4992-41806-0010', '501-125128-0011', '5039-1189-0050', '5093-29101-0020', '512-124549-0004', '512-124549-0023', '5126-27504-0008', '5139-30105-0038', '5172-29468-0004', '5189-56574-0025', '5190-87766-0023', '5246-30101-0025', '5246-30101-0031', '5304-55856-0011', '5321-53046-0044', '534-127538-0009', '534-127538-0016', '5361-27491-0013', '5361-27491-0056', '5361-27491-0065', '5386-4145-0021', '5390-30102-0025', '5445-21282-0053', '5463-39174-0004', '5480-41798-0010', '5506-69895-0005', '5506-69896-0010', '5506-69896-0017', '5635-58137-0014', '5636-41790-0014', '5653-46179-0041', '5653-46179-0054', '5660-101854-0006', '5660-101883-0026', '5725-48803-0040', '5731-50777-0023', '5731-50777-0029', '5731-50777-0031', '5789-57195-0034', '5837-39905-0021', '5837-39905-0058', '5860-72190-0033', '5883-59268-0016', '5886-27508-0050', '5886-27508-0087', '5886-27508-0088', '5894-64095-0007', '5894-64095-0013', '5909-111961-0032', '5910-53048-0004', '5910-53048-0011', '5910-53048-0065', '5918-46890-0017', '5918-46890-0081', '5918-46890-0087', '5949-65529-0000', '5949-65529-0037', '5949-65530-0013', '5949-65530-0017', '5949-65530-0018', '5949-65530-0019', '5949-65530-0020', '5949-65530-0021', '5949-65530-0022', '5952-54019-0017', '5952-54019-0019', '5968-61356-0029', '5984-63095-0017', '5984-63095-0036', '6035-74040-0034', '6051-54421-0019', '6051-54421-0020', '6051-54421-0026', '6051-54421-0027', '6051-61724-0020', '608-123193-0047', '6097-293621-0024', '6104-58845-0008', '6104-58845-0011', '6104-58845-0016', '6104-58845-0017', '6248-302581-0005', '6248-302581-0006', '6251-93270-0056', '6276-62021-0031', '6276-62021-0048', '6276-62021-0069', '6284-63091-0022', '6284-63091-0034', '6284-63091-0063', '6284-63091-0064', '6288-63101-0016', '6288-63101-0019', '6288-63101-0040', '6313-66125-0001', '6353-63255-0080', '6378-61780-0008', '6378-61781-0005', '64-76973-0023', '6406-88089-0027', '6426-64290-0046', '6446-78193-0008', '6446-78193-0015', '6446-78193-0035', '6482-98857-0032', '6488-66120-0015', '6505-231838-0011', '6505-231838-0030', '6506-10073-0021', '6519-231834-0023', '6519-231834-0032', '6519-231834-0033', '6534-71091-0048', '6538-81843-0008', '6544-67863-0015', '6614-67845-0011', '6636-74078-0013', '6643-67857-0004', '667-158816-0015', '667-158816-0041', '6687-119383-0015', '6687-119383-0025', '6687-119384-0041', '6687-119386-0042', '6687-119386-0044', '6695-252334-0036', '6695-71407-0039', '6701-71404-0019', '6733-97084-0006', '6733-97084-0020', '6746-72302-0085', '6747-76101-0033', '6841-88294-0024', '6841-88294-0060', '6875-76999-0093', '6895-92806-0029', '6902-89167-0045', '6902-89167-0057', '6904-262305-0012', '6904-262305-0013', '6904-262305-0016', '6904-262305-0042', '6913-80509-0023', '6913-80509-0064', '6913-80509-0070', '698-123197-0033', '698-123197-0034', '7026-86941-0017', '712-123615-0017', '712-123615-0058', '712-123615-0075', '712-123615-0092', '7128-84122-0054', '7131-92815-0020', '7140-72210-0028', '7188-107627-0017', '7188-107627-0040', '7198-80652-0023', '7198-80652-0032', '7198-80654-0010', '7198-80654-0012', '7205-64110-0006', '7220-77907-0011', '7220-77911-0033', '7220-77911-0037', '7220-77911-0041', '7226-86964-0052', '7226-86965-0008', '726-124445-0010', '726-124445-0011', '726-124445-0012', '726-124445-0023', '726-124445-0024', '7318-96151-0046', '7354-87667-0100', '7507-100660-0020', '753-150477-0039', '753-32846-0026', '753-32846-0049', '7556-103535-0010', '7556-103535-0040', '7584-101856-0024', '7584-101856-0026', '7597-101858-0021', '7597-101858-0043', '7597-101859-0011', '7597-101859-0012', '7597-101859-0013', '7597-101859-0015', '7597-101859-0018', '7597-101859-0029', '7597-101859-0031', '7597-101859-0039', '7597-101859-0043', '7597-101877-0020', '7640-104647-0021', '7640-104647-0040', '7683-103530-0011', '7704-106965-0028', '7705-101579-0008', '7705-101579-0033', '781-127518-0009', '781-127518-0058', '782-126738-0089', '7828-105179-0037', '7832-114468-0043', '7832-114468-0049', '7832-114468-0053', '7898-109860-0022', '7898-109860-0023', '7898-109860-0029', '7910-80534-0046', '792-127528-0033', '7939-120318-0009', '797-127183-0017', '797-127183-0018', '797-127183-0019', '8028-233382-0025', '8066-114256-0008', '810-130095-0066', '8195-117382-0058', '8195-117382-0066', '8195-117382-0090', '8197-278214-0030', '82-122859-0011', '82-122859-0012', '829-123190-0028', '829-123191-0024', '829-123192-0031', '8404-282926-0016', '8404-282926-0055', '8415-283469-0004', '8415-283469-0008', '8415-283469-0080', '8415-283469-0088', '8415-283469-0090', '8430-172387-0066', '8430-172388-0009', '8464-282934-0060', '8464-282934-0063', '8498-287359-0030', '8498-287359-0031', '8498-287359-0032', '8531-282933-0056', '8531-282933-0061', '8536-244441-0030', '8536-244441-0081', '8536-244441-0087', '8536-244442-0007', '8536-244442-0014', '8684-293663-0075', '876-126411-0101', '8778-246974-0021', '8791-291101-0046', '8825-292253-0039', '8838-298545-0031', '915-163369-0035', '915-163369-0043', '915-163370-0003', '915-163372-0014', '915-163372-0018', '915-163372-0034', '921-127933-0035', '921-127933-0050', '953-130625-0064', '978-125137-0054']","['sw2044B-ms98-a', 'sw2136A-ms98-a', 'sw2277A-ms98-a', 'sw2277B-ms98-a', 'sw2280A-ms98-a', 'sw2410B-ms98-a', 'sw2521B-ms98-a', 'sw2536A-ms98-a', 'sw2575A-ms98-a', 'sw2692A-ms98-a', 'sw2893B-ms98-a', 'sw2911A-ms98-a', 'sw2913B-ms98-a', 'sw2968B-ms98-a', 'sw3348A-ms98-a', 'sw3348B-ms98-a', 'sw3379A-ms98-a', 'sw3415A-ms98-a', 'sw3435A-ms98-a', 'sw3695B-ms98-a', 'sw3971B-ms98-a', 'sw3990B-ms98-a', 'sw4063A-ms98-a', 'sw4065B-ms98-a', 'sw4126B-ms98-a', 'sw4219A-ms98-a', 'sw_4577']",
SubjectWordTypeCount,79,97,89,15,
