,POSPatternRawCount,POSPatternNormalizedCount,POSPatternPercentTotal,POSPatternFileRawCount,POSPatternFilePercentTotal,POSPatternFileList
PronounPersonal_ain't_VerbBase,310,22.463,28.55,80,34.63,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_f_01_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_01_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag1_m_04_1', 'DCA_se1_ag1_m_05_1', 'DCA_se1_ag1_m_07_1', 'DCA_se1_ag3_f_01_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_01_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_m_01_1', 'DCA_se2_ag1_m_05_1', 'DCA_se2_ag3_m_02_1', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_f_04_1', 'DCA_se3_ag1_m_06_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_02_2', 'DCB_se1_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_02_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag2_f_02_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag3_f_02_1', 'DCB_se3_ag3_m_02_1', 'DCB_se3_ag4_m_01_1', 'LES_se0_ag3_m_01_1', 'LES_se0_ag3_m_01_2', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_f_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag2_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_01_2', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag1_m_03_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1', 'VLD_se0_ag4_f_02_1', 'VLD_se0_ag4_m_02_1']"
PronounPersonal_ain't_VerbPresentParticiple,126,9.13,11.6,46,19.91,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_f_01_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_04_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_01_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag1_f_01_1', 'DCB_se2_ag3_m_02_2', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_03_2', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag4_m_01_1', 'LES_se0_ag3_m_01_1', 'LES_se0_ag3_m_01_2', 'LES_se0_ag3_m_02_1', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
PronounPersonal_ain't_VerbPastParticiple,124,8.985,11.42,50,21.65,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_06_1', 'DCA_se1_ag1_m_07_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag3_m_02_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag3_f_02_1', 'LES_se0_ag2_f_01_2', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_02_2', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_f_04_3', 'PRV_se0_ag3_m_01_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag2_f_01_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_m_02_1']"
PronounPersonal_ain't_ConstituentBoundary,99,7.174,9.12,47,20.35,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_04_1', 'DCA_se1_ag1_m_06_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_04_1', 'DCA_se2_ag1_m_01_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag2_m_01_1', 'DCB_se2_ag3_m_02_2', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_m_02_1', 'LES_se0_ag2_f_02_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag3_f_02_2', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_02_3', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1']"
PronounPersonal_ain't_Adjective,57,4.13,5.25,31,13.42,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag3_m_02_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_01_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_3', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag4_f_02_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'LES_se0_ag3_m_01_1', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_f_02_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_m_02_1']"
PronounPersonal_ain't_Noun,37,2.681,3.41,27,11.69,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag4_m_02_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_m_02_1', 'DCB_se3_ag4_m_01_1', 'LES_se0_ag2_f_01_2', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag3_f_01_2', 'VLD_se0_ag3_m_01_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_02_1']"
PronounPersonal_ain't_PronounIndefinite,33,2.391,3.04,12,5.19,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag4_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_m_01_1', 'ROC_se0_ag2_f_02_1']"
PronounPersonal_ain't_Preposition,33,2.391,3.04,24,10.39,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag1_f_01_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_m_01_1', 'LES_se0_ag3_m_01_2', 'PRV_se0_ag1_f_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_02_1']"
ConstituentBoundary_ain't_PronounIndefinite,21,1.522,1.93,11,4.76,"['ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag4_m_01_1', 'PRV_se0_ag2_f_01_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag4_m_02_1']"
ConstituentBoundary_ain't_Noun,19,1.377,1.75,15,6.49,"['ATL_se0_ag1_m_04_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se2_ag1_f_02_1', 'DCA_se3_ag1_f_03_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_m_01_1', 'LES_se0_ag2_f_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_03_1', 'VLD_se0_ag3_m_01_1']"
