,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
constituentboundary,124,8.985,11.42,52,22.51,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_04_1', 'DCA_se1_ag1_m_06_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_04_1', 'DCA_se2_ag1_m_01_1', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_m_05_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag2_m_01_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_02_2', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_m_02_1', 'LES_se0_ag2_f_02_2', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_02_2', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_02_3', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1', 'VLD_se0_ag4_m_02_1']"
got,63,4.565,5.8,32,13.85,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_07_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag3_m_02_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_f_02_1', 'LES_se0_ag4_m_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_f_04_3', 'PRV_se0_ag3_m_01_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1']"
know,32,2.319,2.95,22,9.52,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag3_m_02_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_2', 'DCB_se1_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag2_f_02_1', 'DCB_se2_ag4_f_01_1', 'DCB_se3_ag3_f_02_1', 'DCB_se3_ag3_m_02_1', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1']"
nothing,31,2.246,2.85,18,7.79,"['ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_01_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_m_07_2', 'DCA_se1_ag4_m_02_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_01_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag4_m_02_1']"
have,27,1.956,2.49,19,8.23,"['ATL_se0_ag1_f_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se2_ag1_f_01_1', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_m_06_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag4_f_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag1_f_01_1', 'PRV_se0_ag1_m_02_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1']"
going,24,1.739,2.21,14,6.06,"['ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag4_m_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag1_m_01_2', 'LES_se0_ag3_m_01_1', 'PRV_se0_ag3_m_02_2', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag4_m_02_1']"
like,23,1.667,2.12,14,6.06,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag2_f_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_03_1', 'DCA_se1_ag1_f_05_1', 'DCA_se2_ag1_f_02_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'VLD_se0_ag4_f_02_1']"
do,22,1.594,2.03,20,8.66,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_m_02_1', 'DCA_se3_ag1_f_04_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag3_m_01_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_f_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_03_1', 'VLD_se0_ag3_m_01_1', 'VLD_se0_ag4_m_02_1']"
say,20,1.449,1.84,14,6.06,"['ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag3_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se2_ag3_f_02_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_f_02_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_03_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag2_f_02_1']"
had,19,1.377,1.75,15,6.49,"['DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_m_06_1', 'DCA_se1_ag4_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag3_m_02_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_f_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_03_1']"
