,POSPatternRawCount,POSPatternNormalizedCount,POSPatternPercentTotal,POSPatternFileRawCount,POSPatternFilePercentTotal,POSPatternFileList
PronounPersonal_ain't_VerbPastParticiple,149,0.66,14.1,118,1.01,"['fe0300515', 'fe0300655', 'fe0300898', 'fe0301112', 'fe0301574', 'fe0301695', 'fe0302048', 'fe0302278', 'fe0302344', 'fe0302458', 'fe0302471', 'fe0302576', 'fe0302997', 'fe0303020', 'fe0303160', 'fe0303337', 'fe0303466', 'fe0304247', 'fe0304311', 'fe0304335', 'fe0304346', 'fe0304347', 'fe0304367', 'fe0304415', 'fe0304585', 'fe0304593', 'fe0304738', 'fe0304794', 'fe0304887', 'fe0304950', 'fe0305062', 'fe0305222', 'fe0305248', 'fe0305285', 'fe0305302', 'fe0305307', 'fe0305341', 'fe0305348', 'fe0305385', 'fe0305395', 'fe0305460', 'fe0305549', 'fe0305572', 'fe0305626', 'fe0305815', 'fe0306251', 'fe0307020', 'fe0307242', 'fe0307301', 'fe0307458', 'fe0307497', 'fe0307572', 'fe0307601', 'fe0307742', 'fe0307774', 'fe0308050', 'fe0308160', 'fe0308202', 'fe0308343', 'fe0308377', 'fe0308409', 'fe0308483', 'fe0308688', 'fe0308816', 'fe0308942', 'fe0309242', 'fe0309412', 'fe0309440', 'fe0309462', 'fe0309499', 'fe0309531', 'fe0309549', 'fe0309586', 'fe0309656', 'fe0309706', 'fe0309736', 'fe0309877', 'fe0310020', 'fe0310024', 'fe0310027', 'fe0310038', 'fe0310065', 'fe0310107', 'fe0310237', 'fe0310266', 'fe0310303', 'fe0310329', 'fe0310344', 'fe0310368', 'fe0310445', 'fe0310501', 'fe0310508', 'fe0310533', 'fe0310539', 'fe0310549', 'fe0310578', 'fe0310594', 'fe0310599', 'fe0310626', 'fe0310639', 'fe0310862', 'fe0310895', 'fe0310898', 'fe0311002', 'fe0311019', 'fe0311069', 'fe0311164', 'fe0311177', 'fe0311188', 'fe0311199', 'fe0311264', 'fe0311288', 'fe0311317', 'fe0311441', 'fe0311455', 'fe0311458', 'fe0311549', 'fe0311658']"
PronounPersonal_ain't_VerbBase,145,0.642,13.72,121,1.03,"['fe0300644', 'fe0300966', 'fe0300972', 'fe0301112', 'fe0301239', 'fe0301562', 'fe0301599', 'fe0301919', 'fe0301984', 'fe0302003', 'fe0302342', 'fe0302350', 'fe0302522', 'fe0302655', 'fe0302673', 'fe0302958', 'fe0303177', 'fe0303183', 'fe0303416', 'fe0303436', 'fe0303450', 'fe0303535', 'fe0303552', 'fe0303575', 'fe0303648', 'fe0303720', 'fe0304159', 'fe0304247', 'fe0304346', 'fe0304347', 'fe0304415', 'fe0304579', 'fe0304685', 'fe0304705', 'fe0304716', 'fe0304894', 'fe0304979', 'fe0304998', 'fe0305222', 'fe0305255', 'fe0305374', 'fe0305385', 'fe0305442', 'fe0305546', 'fe0305549', 'fe0305874', 'fe0305968', 'fe0306794', 'fe0306855', 'fe0306881', 'fe0307047', 'fe0307065', 'fe0307072', 'fe0307445', 'fe0307733', 'fe0307742', 'fe0307810', 'fe0307864', 'fe0307894', 'fe0307902', 'fe0307993', 'fe0307999', 'fe0308377', 'fe0308408', 'fe0308411', 'fe0308483', 'fe0308591', 'fe0308857', 'fe0308864', 'fe0308886', 'fe0308975', 'fe0308998', 'fe0309138', 'fe0309183', 'fe0309237', 'fe0309275', 'fe0309400', 'fe0309409', 'fe0309412', 'fe0309415', 'fe0309442', 'fe0309493', 'fe0309496', 'fe0309553', 'fe0309595', 'fe0309619', 'fe0310004', 'fe0310065', 'fe0310249', 'fe0310266', 'fe0310278', 'fe0310303', 'fe0310329', 'fe0310333', 'fe0310431', 'fe0310489', 'fe0310533', 'fe0310549', 'fe0310578', 'fe0310622', 'fe0310658', 'fe0310693', 'fe0310707', 'fe0310749', 'fe0310861', 'fe0310895', 'fe0310908', 'fe0311019', 'fe0311031', 'fe0311069', 'fe0311107', 'fe0311119', 'fe0311168', 'fe0311188', 'fe0311202', 'fe0311432', 'fe0311458', 'fe0311582', 'fe0311634', 'fe0311638', 'fe0311654']"
PronounPersonal_ain't_VerbPresentParticiple,105,0.465,9.93,96,0.82,"['fe0300153', 'fe0300215', 'fe0300395', 'fe0301239', 'fe0301589', 'fe0302019', 'fe0302134', 'fe0302344', 'fe0302350', 'fe0302932', 'fe0303033', 'fe0303095', 'fe0303333', 'fe0303337', 'fe0303480', 'fe0303497', 'fe0303579', 'fe0303605', 'fe0303682', 'fe0303934', 'fe0303947', 'fe0304346', 'fe0304525', 'fe0304716', 'fe0304766', 'fe0304910', 'fe0304979', 'fe0304994', 'fe0304998', 'fe0305313', 'fe0305326', 'fe0305358', 'fe0305377', 'fe0305513', 'fe0305657', 'fe0305662', 'fe0305798', 'fe0305844', 'fe0306343', 'fe0306475', 'fe0306570', 'fe0306836', 'fe0306857', 'fe0307159', 'fe0307299', 'fe0307601', 'fe0307708', 'fe0307742', 'fe0307774', 'fe0307902', 'fe0307988', 'fe0308066', 'fe0308116', 'fe0308156', 'fe0308329', 'fe0308408', 'fe0308433', 'fe0308441', 'fe0308472', 'fe0308816', 'fe0308935', 'fe0309101', 'fe0309333', 'fe0309411', 'fe0309412', 'fe0309479', 'fe0309589', 'fe0309595', 'fe0309691', 'fe0309712', 'fe0309715', 'fe0310000', 'fe0310020', 'fe0310027', 'fe0310266', 'fe0310285', 'fe0310428', 'fe0310468', 'fe0310553', 'fe0310562', 'fe0310594', 'fe0310619', 'fe0310622', 'fe0310724', 'fe0311003', 'fe0311032', 'fe0311075', 'fe0311095', 'fe0311107', 'fe0311150', 'fe0311177', 'fe0311182', 'fe0311269', 'fe0311482', 'fe0311491', 'fe0311584']"
PronounPersonal_ain't_ConstituentBoundary,95,0.421,8.99,83,0.71,"['fe0300153', 'fe0300505', 'fe0300515', 'fe0300648', 'fe0300814', 'fe0300966', 'fe0301559', 'fe0301588', 'fe0301850', 'fe0301904', 'fe0301984', 'fe0302137', 'fe0302231', 'fe0302278', 'fe0302483', 'fe0302727', 'fe0302808', 'fe0302814', 'fe0303466', 'fe0303534', 'fe0303745', 'fe0303777', 'fe0304130', 'fe0304286', 'fe0304346', 'fe0304357', 'fe0304543', 'fe0304887', 'fe0304927', 'fe0304939', 'fe0304950', 'fe0305255', 'fe0305270', 'fe0305281', 'fe0305284', 'fe0305290', 'fe0305460', 'fe0305572', 'fe0305600', 'fe0305627', 'fe0305678', 'fe0305869', 'fe0306783', 'fe0307268', 'fe0307277', 'fe0307351', 'fe0308160', 'fe0308479', 'fe0308483', 'fe0308491', 'fe0308654', 'fe0308942', 'fe0308969', 'fe0309042', 'fe0309134', 'fe0309183', 'fe0309333', 'fe0309395', 'fe0309594', 'fe0309595', 'fe0309644', 'fe0309877', 'fe0310001', 'fe0310027', 'fe0310333', 'fe0310468', 'fe0310489', 'fe0310508', 'fe0310510', 'fe0310549', 'fe0310578', 'fe0310612', 'fe0310674', 'fe0310843', 'fe0310862', 'fe0310895', 'fe0310950', 'fe0311101', 'fe0311177', 'fe0311288', 'fe0311403', 'fe0311441', 'fe0311634']"
PronounPersonal_ain't_Adjective,90,0.399,8.51,84,0.72,"['fe0300021', 'fe0300744', 'fe0300748', 'fe0300750', 'fe0301307', 'fe0301588', 'fe0301685', 'fe0301904', 'fe0302184', 'fe0302192', 'fe0302963', 'fe0303048', 'fe0303215', 'fe0303480', 'fe0303540', 'fe0303545', 'fe0303584', 'fe0303601', 'fe0303852', 'fe0304346', 'fe0304391', 'fe0304437', 'fe0305292', 'fe0305301', 'fe0305302', 'fe0305341', 'fe0305348', 'fe0305358', 'fe0305385', 'fe0305398', 'fe0305442', 'fe0305538', 'fe0305543', 'fe0305626', 'fe0305627', 'fe0305815', 'fe0306190', 'fe0306475', 'fe0306794', 'fe0306978', 'fe0307049', 'fe0307075', 'fe0307156', 'fe0307273', 'fe0307458', 'fe0307752', 'fe0307753', 'fe0307774', 'fe0307872', 'fe0307902', 'fe0308069', 'fe0308375', 'fe0308614', 'fe0308834', 'fe0308842', 'fe0308935', 'fe0309042', 'fe0309104', 'fe0309462', 'fe0309464', 'fe0309531', 'fe0309549', 'fe0309683', 'fe0309684', 'fe0309736', 'fe0309940', 'fe0310020', 'fe0310027', 'fe0310266', 'fe0310329', 'fe0310373', 'fe0310424', 'fe0310428', 'fe0310497', 'fe0310501', 'fe0310510', 'fe0310784', 'fe0310862', 'fe0310950', 'fe0311069', 'fe0311288', 'fe0311422', 'fe0311481', 'fe0311690']"
PronounDemonstrative_ain't_Adjective,41,0.182,3.88,40,0.34,"['fe0300486', 'fe0301088', 'fe0301179', 'fe0301720', 'fe0302185', 'fe0302421', 'fe0302713', 'fe0302812', 'fe0303278', 'fe0303783', 'fe0303876', 'fe0303904', 'fe0304346', 'fe0304818', 'fe0304825', 'fe0305308', 'fe0305377', 'fe0306203', 'fe0306302', 'fe0307161', 'fe0307183', 'fe0307509', 'fe0307549', 'fe0307642', 'fe0307949', 'fe0308001', 'fe0308160', 'fe0308614', 'fe0309652', 'fe0309706', 'fe0310027', 'fe0310501', 'fe0310510', 'fe0310576', 'fe0310643', 'fe0310956', 'fe0311162', 'fe0311360', 'fe0311479', 'fe0311690']"
PronounNonReferential_ain't_PronounIndefinite,36,0.159,3.41,34,0.29,"['fe0300627', 'fe0301487', 'fe0301760', 'fe0302562', 'fe0304159', 'fe0304552', 'fe0305045', 'fe0305290', 'fe0305294', 'fe0305302', 'fe0305503', 'fe0305509', 'fe0305572', 'fe0305711', 'fe0306794', 'fe0306881', 'fe0307020', 'fe0307159', 'fe0307642', 'fe0307742', 'fe0308081', 'fe0308408', 'fe0308704', 'fe0309412', 'fe0309474', 'fe0309577', 'fe0309889', 'fe0309985', 'fe0310199', 'fe0310489', 'fe0310724', 'fe0310751', 'fe0310774', 'fe0310784']"
PronounPersonal_ain't_Preposition,35,0.155,3.31,30,0.26,"['fe0300720', 'fe0300860', 'fe0301239', 'fe0302283', 'fe0303257', 'fe0303359', 'fe0303384', 'fe0304716', 'fe0305285', 'fe0305290', 'fe0305348', 'fe0305358', 'fe0305383', 'fe0305543', 'fe0305572', 'fe0307072', 'fe0307642', 'fe0307712', 'fe0310001', 'fe0310027', 'fe0310107', 'fe0310303', 'fe0310467', 'fe0310472', 'fe0310539', 'fe0310640', 'fe0310784', 'fe0310862', 'fe0310895', 'fe0311634']"
PronounNonReferential_ain't_Noun,33,0.146,3.12,27,0.23,"['fe0300546', 'fe0300966', 'fe0301239', 'fe0301328', 'fe0302019', 'fe0302740', 'fe0302800', 'fe0303215', 'fe0303521', 'fe0304525', 'fe0304651', 'fe0305092', 'fe0305385', 'fe0305551', 'fe0306414', 'fe0307505', 'fe0307801', 'fe0307943', 'fe0308156', 'fe0308591', 'fe0309174', 'fe0309275', 'fe0310237', 'fe0310424', 'fe0310617', 'fe0310794', 'fe0311582']"
PronounDemonstrative_ain't_Noun,29,0.128,2.74,28,0.24,"['fe0300574', 'fe0301321', 'fe0301699', 'fe0302188', 'fe0302977', 'fe0304159', 'fe0304708', 'fe0304877', 'fe0305051', 'fe0305278', 'fe0307198', 'fe0307248', 'fe0307266', 'fe0307425', 'fe0307810', 'fe0308189', 'fe0308377', 'fe0308839', 'fe0308864', 'fe0309373', 'fe0309869', 'fe0310549', 'fe0310617', 'fe0310636', 'fe0310784', 'fe0310893', 'fe0310898', 'fe0311213']"
Noun_ain't_Adjective,24,0.106,2.27,22,0.19,"['fe0301361', 'fe0302543', 'fe0303783', 'fe0303947', 'fe0304286', 'fe0304977', 'fe0305222', 'fe0305572', 'fe0305668', 'fe0305737', 'fe0305795', 'fe0305798', 'fe0306108', 'fe0307198', 'fe0307252', 'fe0308189', 'fe0308586', 'fe0309223', 'fe0310445', 'fe0310881', 'fe0311288', 'fe0311541']"
PronounPersonal_ain't_Noun,23,0.102,2.18,22,0.19,"['fe0301087', 'fe0301559', 'fe0301562', 'fe0301699', 'fe0302184', 'fe0304998', 'fe0305117', 'fe0305284', 'fe0305795', 'fe0308267', 'fe0308451', 'fe0309541', 'fe0309656', 'fe0309662', 'fe0310266', 'fe0310428', 'fe0310495', 'fe0310724', 'fe0310861', 'fe0311288', 'fe0311584', 'fe0311658']"
Noun_ain't_VerbBase,20,0.089,1.89,19,0.16,"['fe0300618', 'fe0300684', 'fe0300717', 'fe0301599', 'fe0301640', 'fe0301960', 'fe0301968', 'fe0303514', 'fe0304346', 'fe0304547', 'fe0304737', 'fe0304773', 'fe0305671', 'fe0307031', 'fe0307050', 'fe0309275', 'fe0309679', 'fe0310017', 'fe0310961']"
PronounPersonal_ain't_Adverb,16,0.071,1.51,15,0.13,"['fe0302075', 'fe0302134', 'fe0302184', 'fe0305292', 'fe0305396', 'fe0308306', 'fe0308483', 'fe0309736', 'fe0310467', 'fe0310634', 'fe0310950', 'fe0311264', 'fe0311288', 'fe0311474', 'fe0311682']"
PronounPersonal_ain't_PronounIndefinite,15,0.066,1.42,13,0.11,"['fe0300581', 'fe0303575', 'fe0304440', 'fe0304601', 'fe0304896', 'fe0305513', 'fe0305572', 'fe0306463', 'fe0307572', 'fe0308586', 'fe0310027', 'fe0310199', 'fe0311671']"
PronounIndefinite_ain't_Adjective,13,0.058,1.23,13,0.11,"['fe0301291', 'fe0302972', 'fe0304748', 'fe0305051', 'fe0305383', 'fe0306469', 'fe0308079', 'fe0309183', 'fe0309412', 'fe0309706', 'fe0310004', 'fe0311075', 'fe0311481']"
Noun_ain't_VerbPresentParticiple,12,0.053,1.14,12,0.1,"['fe0301552', 'fe0304959', 'fe0305222', 'fe0305668', 'fe0307025', 'fe0309517', 'fe0309691', 'fe0309940', 'fe0309957', 'fe0311188', 'fe0311198', 'fe0311213']"
ConstituentBoundary_ain't_Noun,12,0.053,1.14,12,0.1,"['fe0300966', 'fe0302955', 'fe0305292', 'fe0305487', 'fe0305567', 'fe0308408', 'fe0309275', 'fe0309323', 'fe0310001', 'fe0310428', 'fe0310554', 'fe0310774']"
PronounDemonstrative_ain't_VerbBase,11,0.049,1.04,11,0.09,"['fe0300994', 'fe0301529', 'fe0301720', 'fe0302712', 'fe0303648', 'fe0304489', 'fe0304737', 'fe0307810', 'fe0309471', 'fe0310716', 'fe0311074']"
Noun_ain't_Noun,11,0.049,1.04,10,0.09,"['fe0300294', 'fe0302705', 'fe0304159', 'fe0304547', 'fe0305342', 'fe0306302', 'fe0307830', 'fe0309108', 'fe0309595', 'fe0311013']"
PronounDemonstrative_ain't_VerbPresentParticiple,11,0.049,1.04,10,0.09,"['fe0301087', 'fe0302137', 'fe0303278', 'fe0303564', 'fe0304766', 'fe0306344', 'fe0307698', 'fe0307752', 'fe0310724', 'fe0311159']"
ConstituentBoundary_ain't_VerbBase,10,0.044,0.95,10,0.09,"['fe0301548', 'fe0303095', 'fe0303642', 'fe0304737', 'fe0304739', 'fe0304950', 'fe0307761', 'fe0310443', 'fe0310865', 'fe0311336']"
