,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
constituentboundary,120,0.532,11.35,101,0.86,"['fe0300153', 'fe0300505', 'fe0300515', 'fe0300814', 'fe0300966', 'fe0301559', 'fe0301588', 'fe0301850', 'fe0301904', 'fe0301984', 'fe0302019', 'fe0302137', 'fe0302231', 'fe0302278', 'fe0302360', 'fe0302483', 'fe0302727', 'fe0302808', 'fe0302814', 'fe0303466', 'fe0303534', 'fe0303745', 'fe0303777', 'fe0304130', 'fe0304159', 'fe0304286', 'fe0304346', 'fe0304357', 'fe0304543', 'fe0304739', 'fe0304887', 'fe0304927', 'fe0304939', 'fe0304950', 'fe0305255', 'fe0305270', 'fe0305281', 'fe0305284', 'fe0305290', 'fe0305377', 'fe0305460', 'fe0305567', 'fe0305572', 'fe0305600', 'fe0305627', 'fe0305674', 'fe0305678', 'fe0305869', 'fe0306781', 'fe0306783', 'fe0307268', 'fe0307277', 'fe0307351', 'fe0307642', 'fe0307774', 'fe0308160', 'fe0308479', 'fe0308483', 'fe0308491', 'fe0308610', 'fe0308654', 'fe0308816', 'fe0308942', 'fe0308969', 'fe0309042', 'fe0309134', 'fe0309183', 'fe0309333', 'fe0309395', 'fe0309594', 'fe0309595', 'fe0309644', 'fe0309877', 'fe0310001', 'fe0310027', 'fe0310265', 'fe0310333', 'fe0310443', 'fe0310468', 'fe0310489', 'fe0310508', 'fe0310510', 'fe0310549', 'fe0310578', 'fe0310612', 'fe0310674', 'fe0310774', 'fe0310843', 'fe0310862', 'fe0310895', 'fe0310950', 'fe0311055', 'fe0311101', 'fe0311119', 'fe0311177', 'fe0311213', 'fe0311288', 'fe0311403', 'fe0311426', 'fe0311441', 'fe0311634']"
got,80,0.354,7.57,67,0.57,"['fe0300515', 'fe0300655', 'fe0300898', 'fe0301112', 'fe0301574', 'fe0302048', 'fe0302278', 'fe0302458', 'fe0302471', 'fe0302576', 'fe0302997', 'fe0303160', 'fe0303466', 'fe0304247', 'fe0304311', 'fe0304335', 'fe0304346', 'fe0304347', 'fe0304415', 'fe0304593', 'fe0304738', 'fe0304887', 'fe0305222', 'fe0305307', 'fe0305341', 'fe0305348', 'fe0305385', 'fe0305395', 'fe0305626', 'fe0306500', 'fe0307020', 'fe0307301', 'fe0307458', 'fe0307572', 'fe0307601', 'fe0308160', 'fe0308409', 'fe0308483', 'fe0308942', 'fe0309412', 'fe0309586', 'fe0309706', 'fe0310020', 'fe0310024', 'fe0310027', 'fe0310065', 'fe0310237', 'fe0310266', 'fe0310368', 'fe0310445', 'fe0310501', 'fe0310533', 'fe0310539', 'fe0310626', 'fe0310862', 'fe0310895', 'fe0311002', 'fe0311019', 'fe0311164', 'fe0311177', 'fe0311188', 'fe0311199', 'fe0311288', 'fe0311317', 'fe0311455', 'fe0311458', 'fe0311658']"
nothing,32,0.142,3.03,28,0.24,"['fe0300581', 'fe0300627', 'fe0300648', 'fe0301760', 'fe0302019', 'fe0302055', 'fe0302466', 'fe0304440', 'fe0304552', 'fe0304896', 'fe0304950', 'fe0305503', 'fe0305572', 'fe0306881', 'fe0306960', 'fe0307159', 'fe0307517', 'fe0307572', 'fe0307642', 'fe0308518', 'fe0308586', 'fe0309412', 'fe0309462', 'fe0309652', 'fe0309889', 'fe0309985', 'fe0310199', 'fe0310784']"
bad,28,0.124,2.65,27,0.23,"['fe0300486', 'fe0300560', 'fe0301088', 'fe0302185', 'fe0302543', 'fe0303048', 'fe0304286', 'fe0304818', 'fe0305222', 'fe0305301', 'fe0305308', 'fe0305627', 'fe0307752', 'fe0307949', 'fe0308160', 'fe0308586', 'fe0308614', 'fe0309736', 'fe0310027', 'fe0310497', 'fe0310501', 'fe0310510', 'fe0310956', 'fe0311162', 'fe0311288', 'fe0311422', 'fe0311481']"
like,20,0.089,1.89,17,0.15,"['fe0300860', 'fe0301562', 'fe0302184', 'fe0303359', 'fe0304950', 'fe0304998', 'fe0305290', 'fe0305383', 'fe0305385', 'fe0305395', 'fe0307642', 'fe0308998', 'fe0310303', 'fe0310467', 'fe0310472', 'fe0310862', 'fe0310895']"
going,19,0.084,1.8,17,0.15,"['fe0300153', 'fe0301239', 'fe0301552', 'fe0303337', 'fe0304959', 'fe0304979', 'fe0307601', 'fe0308156', 'fe0308502', 'fe0309691', 'fe0310000', 'fe0310027', 'fe0310285', 'fe0310724', 'fe0311095', 'fe0311107', 'fe0311269']"
much,18,0.08,1.7,18,0.15,"['fe0300787', 'fe0302089', 'fe0302959', 'fe0303575', 'fe0304601', 'fe0305294', 'fe0305302', 'fe0305572', 'fe0305711', 'fe0307020', 'fe0307742', 'fe0308081', 'fe0309577', 'fe0310311', 'fe0310489', 'fe0310749', 'fe0310751', 'fe0310774']"
happen,16,0.071,1.51,15,0.13,"['fe0300717', 'fe0301105', 'fe0301424', 'fe0301548', 'fe0302712', 'fe0303095', 'fe0303436', 'fe0303642', 'fe0303648', 'fe0304737', 'fe0305549', 'fe0305968', 'fe0309471', 'fe0310716', 'fe0310908']"
been,15,0.066,1.42,12,0.1,"['fe0304367', 'fe0305222', 'fe0305348', 'fe0305572', 'fe0305815', 'fe0309462', 'fe0309531', 'fe0309586', 'fe0309736', 'fe0309877', 'fe0310639', 'fe0310898']"
right,14,0.062,1.32,14,0.12,"['fe0300750', 'fe0301291', 'fe0302421', 'fe0302972', 'fe0303876', 'fe0305051', 'fe0305270', 'fe0305543', 'fe0305626', 'fe0307753', 'fe0309706', 'fe0310501', 'fe0310576', 'fe0311360']"
get,14,0.062,1.32,13,0.11,"['fe0302673', 'fe0303552', 'fe0303720', 'fe0304346', 'fe0304347', 'fe0305222', 'fe0305374', 'fe0306794', 'fe0308408', 'fe0309493', 'fe0310333', 'fe0310431', 'fe0310622']"
do,14,0.062,1.32,14,0.12,"['fe0301968', 'fe0302522', 'fe0304547', 'fe0307031', 'fe0307065', 'fe0307733', 'fe0307902', 'fe0310278', 'fe0310578', 'fe0310865', 'fe0311069', 'fe0311336', 'fe0311638', 'fe0311654']"
good,13,0.058,1.23,12,0.1,"['fe0301307', 'fe0301720', 'fe0303278', 'fe0303783', 'fe0303947', 'fe0304977', 'fe0307252', 'fe0307572', 'fe0308001', 'fe0309706', 'fe0310501', 'fe0310643']"
have,12,0.053,1.14,12,0.1,"['fe0302958', 'fe0304685', 'fe0304739', 'fe0305385', 'fe0307894', 'fe0308483', 'fe0308857', 'fe0309183', 'fe0309400', 'fe0309496', 'fe0309595', 'fe0310707']"
way,12,0.053,1.14,11,0.09,"['fe0302019', 'fe0302800', 'fe0302955', 'fe0305092', 'fe0305278', 'fe0305292', 'fe0305551', 'fe0310428', 'fe0310554', 'fe0310636', 'fe0310774']"
doing,12,0.053,1.14,12,0.1,"['fe0301589', 'fe0303480', 'fe0303682', 'fe0304766', 'fe0308066', 'fe0308116', 'fe0308329', 'fe0308816', 'fe0309517', 'fe0310468', 'fe0310553', 'fe0311032']"
getting,11,0.049,1.04,11,0.09,"['fe0302344', 'fe0304716', 'fe0305326', 'fe0305674', 'fe0307902', 'fe0308433', 'fe0309101', 'fe0309479', 'fe0311177', 'fe0311213', 'fe0311584']"
happening,11,0.049,1.04,9,0.08,"['fe0301087', 'fe0303278', 'fe0303497', 'fe0303564', 'fe0306344', 'fe0307698', 'fe0310562', 'fe0310622', 'fe0311159']"
truth,10,0.044,0.95,8,0.07,"['fe0301087', 'fe0301321', 'fe0301699', 'fe0302977', 'fe0307198', 'fe0307248', 'fe0307810', 'fe0308839']"
seen,9,0.04,0.85,9,0.08,"['fe0304585', 'fe0305285', 'fe0309242', 'fe0310027', 'fe0310038', 'fe0310303', 'fe0310549', 'fe0310578', 'fe0311264']"
far,9,0.04,0.85,8,0.07,"['fe0302075', 'fe0305396', 'fe0308306', 'fe0308483', 'fe0309811', 'fe0310467', 'fe0311288', 'fe0311474']"
telling,8,0.035,0.76,8,0.07,"['fe0300546', 'fe0302350', 'fe0303095', 'fe0305092', 'fe0309275', 'fe0309412', 'fe0310424', 'fe0310724']"
go,8,0.035,0.76,8,0.07,"['fe0303177', 'fe0304579', 'fe0304894', 'fe0305385', 'fe0310065', 'fe0311107', 'fe0311168', 'fe0311432']"
worth,8,0.035,0.76,8,0.07,"['fe0302963', 'fe0303480', 'fe0305737', 'fe0307075', 'fe0307642', 'fe0308834', 'fe0308842', 'fe0310881']"
heard,7,0.031,0.66,5,0.04,"['fe0305062', 'fe0305248', 'fe0305302', 'fe0307497', 'fe0308483']"
working,7,0.031,0.66,6,0.05,"['fe0302598', 'fe0305377', 'fe0307752', 'fe0309691', 'fe0309940', 'fe0311482']"
worry,6,0.027,0.57,6,0.05,"['fe0301599', 'fe0304159', 'fe0305255', 'fe0305874', 'fe0307047', 'fe0309442']"
