,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
it_ain't_constituentboundary,45,0.199,4.26,39,0.33,"['fe0300515', 'fe0301559', 'fe0301984', 'fe0302231', 'fe0302808', 'fe0302814', 'fe0303466', 'fe0303534', 'fe0303745', 'fe0303777', 'fe0304130', 'fe0304357', 'fe0304927', 'fe0304950', 'fe0305270', 'fe0305281', 'fe0305284', 'fe0305290', 'fe0305460', 'fe0305627', 'fe0305869', 'fe0307351', 'fe0308160', 'fe0308479', 'fe0308654', 'fe0308969', 'fe0309333', 'fe0309594', 'fe0309877', 'fe0310001', 'fe0310027', 'fe0310489', 'fe0310578', 'fe0310612', 'fe0310862', 'fe0310895', 'fe0311101', 'fe0311403', 'fe0311634']"
i_ain't_got,27,0.12,2.55,25,0.21,"['fe0300515', 'fe0300898', 'fe0302471', 'fe0302997', 'fe0303160', 'fe0304247', 'fe0304311', 'fe0304335', 'fe0304346', 'fe0304415', 'fe0304593', 'fe0304887', 'fe0307020', 'fe0307572', 'fe0307601', 'fe0308483', 'fe0309586', 'fe0310020', 'fe0310027', 'fe0310368', 'fe0310501', 'fe0310539', 'fe0311164', 'fe0311188', 'fe0311199']"
you_ain't_got,23,0.102,2.18,20,0.17,"['fe0301112', 'fe0302278', 'fe0303466', 'fe0304346', 'fe0304347', 'fe0305341', 'fe0305348', 'fe0305385', 'fe0305395', 'fe0308942', 'fe0309706', 'fe0310024', 'fe0310065', 'fe0310445', 'fe0310533', 'fe0310895', 'fe0311002', 'fe0311019', 'fe0311177', 'fe0311288']"
i_ain't_constituentboundary,21,0.093,1.99,20,0.17,"['fe0300153', 'fe0300505', 'fe0301588', 'fe0302727', 'fe0304286', 'fe0304346', 'fe0304543', 'fe0304887', 'fe0304939', 'fe0306783', 'fe0308483', 'fe0310333', 'fe0310468', 'fe0310508', 'fe0310510', 'fe0310549', 'fe0310843', 'fe0310862', 'fe0311288', 'fe0311441']"
there_ain't_nothing,14,0.062,1.32,13,0.11,"['fe0300627', 'fe0301760', 'fe0304552', 'fe0305503', 'fe0305572', 'fe0306881', 'fe0307159', 'fe0307642', 'fe0309412', 'fe0309889', 'fe0309985', 'fe0310199', 'fe0310784']"
you_ain't_constituentboundary,14,0.062,1.32,14,0.12,"['fe0300966', 'fe0301850', 'fe0302483', 'fe0305572', 'fe0305600', 'fe0307277', 'fe0309042', 'fe0309134', 'fe0309183', 'fe0309595', 'fe0309644', 'fe0310027', 'fe0310578', 'fe0311177']"
they_ain't_got,13,0.058,1.23,12,0.1,"['fe0300655', 'fe0301574', 'fe0302576', 'fe0304738', 'fe0305307', 'fe0307458', 'fe0308942', 'fe0309412', 'fe0310237', 'fe0310862', 'fe0311455', 'fe0311458']"
i_ain't_been,12,0.053,1.14,10,0.09,"['fe0305222', 'fe0305348', 'fe0305572', 'fe0305815', 'fe0309462', 'fe0309531', 'fe0309586', 'fe0309736', 'fe0309877', 'fe0310639']"
that_ain't_bad,11,0.049,1.04,11,0.09,"['fe0300486', 'fe0301088', 'fe0302185', 'fe0304818', 'fe0305308', 'fe0307949', 'fe0308160', 'fe0310027', 'fe0310510', 'fe0310956', 'fe0311162']"
it_ain't_like,11,0.049,1.04,8,0.07,"['fe0300860', 'fe0305290', 'fe0305383', 'fe0307642', 'fe0310467', 'fe0310472', 'fe0310862', 'fe0310895']"
there_ain't_much,10,0.044,0.95,10,0.09,"['fe0305294', 'fe0305302', 'fe0305711', 'fe0307020', 'fe0307742', 'fe0308081', 'fe0309577', 'fe0310489', 'fe0310751', 'fe0310774']"
we_ain't_got,10,0.044,0.95,8,0.07,"['fe0302458', 'fe0305222', 'fe0305626', 'fe0308160', 'fe0310626', 'fe0310895', 'fe0311317', 'fe0311658']"
it_ain't_bad,9,0.04,0.85,9,0.08,"['fe0303048', 'fe0305301', 'fe0305627', 'fe0307752', 'fe0308614', 'fe0309736', 'fe0310497', 'fe0310501', 'fe0311422']"
you_ain't_get,8,0.035,0.76,7,0.06,"['fe0303720', 'fe0304346', 'fe0304347', 'fe0305222', 'fe0306794', 'fe0310333', 'fe0310431']"
constituentboundary_ain't_constituentboundary,7,0.031,0.66,6,0.05,"['fe0305674', 'fe0306781', 'fe0308816', 'fe0310265', 'fe0310895', 'fe0311119']"
that_ain't_truth,7,0.031,0.66,7,0.06,"['fe0301321', 'fe0301699', 'fe0302977', 'fe0307198', 'fe0307248', 'fe0307810', 'fe0308839']"
i_ain't_doing,7,0.031,0.66,7,0.06,"['fe0303480', 'fe0303682', 'fe0308066', 'fe0308116', 'fe0308329', 'fe0310468', 'fe0310553']"
i_ain't_going,7,0.031,0.66,5,0.04,"['fe0300153', 'fe0303337', 'fe0304979', 'fe0309691', 'fe0310027']"
i_ain't_heard,7,0.031,0.66,5,0.04,"['fe0305062', 'fe0305248', 'fe0305302', 'fe0307497', 'fe0308483']"
i_ain't_seen,7,0.031,0.66,7,0.06,"['fe0304585', 'fe0305285', 'fe0309242', 'fe0310027', 'fe0310038', 'fe0310303', 'fe0310549']"
they_ain't_constituentboundary,6,0.027,0.57,6,0.05,"['fe0301904', 'fe0302137', 'fe0308491', 'fe0308942', 'fe0310674', 'fe0310950']"
there_ain't_constituentboundary,6,0.027,0.57,5,0.04,"['fe0300966', 'fe0305567', 'fe0307642', 'fe0310774', 'fe0311426']"
that_ain't_constituentboundary,6,0.027,0.57,6,0.05,"['fe0302360', 'fe0304739', 'fe0305377', 'fe0305678', 'fe0310489', 'fe0311213']"
i_ain't_into,6,0.027,0.57,6,0.05,"['fe0302283', 'fe0305348', 'fe0310001', 'fe0310027', 'fe0310107', 'fe0311634']"
it_ain't_nothing,6,0.027,0.57,4,0.03,"['fe0300581', 'fe0304440', 'fe0307572', 'fe0308586']"
there_ain't_peace,5,0.022,0.47,1,0.01,['fe0308591']
he_ain't_constituentboundary,5,0.022,0.47,5,0.04,"['fe0300814', 'fe0301850', 'fe0305255', 'fe0309395', 'fe0310674']"
it_ain't_worth,5,0.022,0.47,5,0.04,"['fe0302963', 'fe0303480', 'fe0307075', 'fe0308834', 'fe0308842']"
that_ain't_happening,5,0.022,0.47,4,0.03,"['fe0301087', 'fe0303564', 'fe0306344', 'fe0311159']"
they_ain't_find,5,0.022,0.47,3,0.03,"['fe0308591', 'fe0310329', 'fe0310622']"
you_ain't_getting,4,0.018,0.38,4,0.03,"['fe0308433', 'fe0309101', 'fe0311177', 'fe0311584']"
it_ain't_happening,4,0.018,0.38,3,0.03,"['fe0303497', 'fe0310562', 'fe0310622']"
it_ain't_happen,4,0.018,0.38,4,0.03,"['fe0303436', 'fe0305549', 'fe0305968', 'fe0310908']"
there_ain't_lot,4,0.018,0.38,4,0.03,"['fe0301239', 'fe0303521', 'fe0307801', 'fe0308156']"
constituentboundary_ain't_way,4,0.018,0.38,4,0.03,"['fe0302955', 'fe0305292', 'fe0310554', 'fe0310774']"
constituentboundary_ain't_happen,4,0.018,0.38,4,0.03,"['fe0301548', 'fe0303095', 'fe0303642', 'fe0304737']"
i_ain't_married,4,0.018,0.38,4,0.03,"['fe0302184', 'fe0305815', 'fe0307774', 'fe0310424']"
constituentboundary_ain't_nothing,4,0.018,0.38,4,0.03,"['fe0300648', 'fe0304950', 'fe0307517', 'fe0309652']"
i_ain't_running,4,0.018,0.38,2,0.02,"['fe0304994', 'fe0308329']"
that_ain't_something,4,0.018,0.38,4,0.03,"['fe0304773', 'fe0305621', 'fe0310303', 'fe0310342']"
there_ain't_way,4,0.018,0.38,3,0.03,"['fe0302019', 'fe0302800', 'fe0305551']"
they_ain't_found,4,0.018,0.38,3,0.03,"['fe0305248', 'fe0309499', 'fe0310329']"
something_ain't_right,4,0.018,0.38,4,0.03,"['fe0301291', 'fe0302972', 'fe0305051', 'fe0309706']"
you_ain't_worry,4,0.018,0.38,4,0.03,"['fe0304159', 'fe0305255', 'fe0307047', 'fe0309442']"
it_ain't_easy,3,0.013,0.28,3,0.03,"['fe0301685', 'fe0301904', 'fe0306978']"
there_ain't_none,3,0.013,0.28,2,0.02,"['fe0308408', 'fe0308704']"
it_ain't_for,3,0.013,0.28,3,0.03,"['fe0303384', 'fe0305543', 'fe0310784']"
we_ain't_like,3,0.013,0.28,3,0.03,"['fe0301562', 'fe0303359', 'fe0308998']"
i_ain't_sit,3,0.013,0.28,3,0.03,"['fe0302350', 'fe0309553', 'fe0311634']"
they_ain't_do,3,0.013,0.28,3,0.03,"['fe0307065', 'fe0311069', 'fe0311654']"
they_ain't_going,3,0.013,0.28,3,0.03,"['fe0307601', 'fe0310000', 'fe0311269']"
i_ain't_getting,3,0.013,0.28,3,0.03,"['fe0302344', 'fe0305326', 'fe0307902']"
i_ain't_lie,3,0.013,0.28,3,0.03,"['fe0305874', 'fe0309619', 'fe0311582']"
that_ain't_good,3,0.013,0.28,3,0.03,"['fe0301720', 'fe0309706', 'fe0310643']"
i_ain't_had,3,0.013,0.28,3,0.03,"['fe0308377', 'fe0308688', 'fe0311458']"
nothing_ain't_wrong,3,0.013,0.28,3,0.03,"['fe0304748', 'fe0305383', 'fe0310004']"
you_ain't_far,3,0.013,0.28,3,0.03,"['fe0302075', 'fe0305396', 'fe0310467']"
that_ain't_funny,3,0.013,0.28,3,0.03,"['fe0302713', 'fe0303783', 'fe0303904']"
it_ain't_matter,3,0.013,0.28,3,0.03,"['fe0300972', 'fe0303436', 'fe0305968']"
you_ain't_have,3,0.013,0.28,3,0.03,"['fe0302958', 'fe0305385', 'fe0309595']"
it_ain't_truth,3,0.013,0.28,2,0.02,"['fe0301087', 'fe0301699']"
that_ain't_nothing,3,0.013,0.28,3,0.03,"['fe0302466', 'fe0306960', 'fe0308518']"
it_ain't_pretty,3,0.013,0.28,2,0.02,"['fe0300744', 'fe0307872']"
that_ain't_happen,3,0.013,0.28,3,0.03,"['fe0302712', 'fe0303648', 'fe0309471']"
it_ain't_right,3,0.013,0.28,3,0.03,"['fe0305543', 'fe0305626', 'fe0307753']"
it_ain't_stop,3,0.013,0.28,2,0.02,"['fe0302003', 'fe0308591']"
that_ain't_right,3,0.013,0.28,3,0.03,"['fe0302421', 'fe0303876', 'fe0310501']"
they_ain't_have,2,0.009,0.19,2,0.02,"['fe0309496', 'fe0310707']"
i_ain't_paying,2,0.009,0.19,2,0.02,"['fe0304346', 'fe0307742']"
i_ain't_telling,2,0.009,0.19,2,0.02,"['fe0303095', 'fe0310724']"
i_ain't_go,2,0.009,0.19,2,0.02,"['fe0303177', 'fe0305385']"
this_ain't_right,2,0.009,0.19,2,0.02,"['fe0310576', 'fe0311360']"
this_ain't_happening,2,0.009,0.19,2,0.02,"['fe0303278', 'fe0307698']"
i_ain't_smart,2,0.009,0.19,2,0.02,"['fe0305302', 'fe0310862']"
i_ain't_having,2,0.009,0.19,2,0.02,"['fe0303947', 'fe0306836']"
i_ain't_liked,2,0.009,0.19,2,0.02,"['fe0310501', 'fe0310508']"
this_ain't_happen,2,0.009,0.19,2,0.02,"['fe0304737', 'fe0310716']"
this_ain't_good,2,0.009,0.19,2,0.02,"['fe0303278', 'fe0308001']"
i_ain't_poor,2,0.009,0.19,2,0.02,"['fe0303540', 'fe0304437']"
i_ain't_played,2,0.009,0.19,2,0.02,"['fe0308050', 'fe0309549']"
i_ain't_thought,2,0.009,0.19,2,0.02,"['fe0301695', 'fe0310599']"
i_ain't_planning,2,0.009,0.19,1,0.01,['fe0307774']
i_ain't_think,2,0.009,0.19,1,0.01,['fe0310278']
you_ain't_young,2,0.009,0.19,1,0.01,['fe0310027']
i_ain't_trying,2,0.009,0.19,2,0.02,"['fe0309411', 'fe0309712']"
it_ain't_hot,2,0.009,0.19,2,0.02,"['fe0308935', 'fe0310373']"
nothing_ain't_happen,2,0.009,0.19,2,0.02,"['fe0301105', 'fe0301424']"
that_ain't_call,2,0.009,0.19,1,0.01,['fe0308377']
that_ain't_cool,2,0.009,0.19,2,0.02,"['fe0307161', 'fe0309652']"
man_ain't_do,2,0.009,0.19,2,0.02,"['fe0304547', 'fe0307031']"
lakers_ain't_win,2,0.009,0.19,1,0.01,['fe0304737']
it_ain't_work,2,0.009,0.19,2,0.02,"['fe0303450', 'fe0308591']"
it_ain't_what,2,0.009,0.19,1,0.01,['fe0310895']
it_ain't_thing,2,0.009,0.19,2,0.02,"['fe0305795', 'fe0310861']"
that_ain't_reality,2,0.009,0.19,2,0.02,"['fe0300574', 'fe0307425']"
it_ain't_real,2,0.009,0.19,2,0.02,"['fe0310020', 'fe0311690']"
that_ain't_way,2,0.009,0.19,2,0.02,"['fe0305278', 'fe0310636']"
that_ain't_work,2,0.009,0.19,2,0.02,"['fe0301529', 'fe0311074']"
there_ain't_anybody,2,0.009,0.19,2,0.02,"['fe0305045', 'fe0309474']"
it_ain't_hurt,2,0.009,0.19,2,0.02,"['fe0309138', 'fe0310749']"
it_ain't_going,2,0.009,0.19,2,0.02,"['fe0301239', 'fe0311107']"
they_ain't_get,2,0.009,0.19,2,0.02,"['fe0308408', 'fe0310622']"
it_ain't_go,2,0.009,0.19,2,0.02,"['fe0311107', 'fe0311432']"
it_ain't_getting,2,0.009,0.19,2,0.02,"['fe0304716', 'fe0309479']"
it_ain't_funny,2,0.009,0.19,2,0.02,"['fe0305538', 'fe0307273']"
it_ain't_free,2,0.009,0.19,2,0.02,"['fe0303601', 'fe0307902']"
i_ain't_get,2,0.009,0.19,2,0.02,"['fe0302673', 'fe0309493']"
there_ain't_nobody,2,0.009,0.19,2,0.02,"['fe0305290', 'fe0306794']"
it_ain't_do,2,0.009,0.19,2,0.02,"['fe0307733', 'fe0311638']"
it_ain't_different,2,0.009,0.19,2,0.02,"['fe0305341', 'fe0309531']"
it_ain't_big,2,0.009,0.19,2,0.02,"['fe0308069', 'fe0310510']"
there_ain't_telling,2,0.009,0.19,2,0.02,"['fe0305092', 'fe0310424']"
there_ain't_tomorrow,2,0.009,0.19,2,0.02,"['fe0303215', 'fe0304525']"
i_ain't_worry,2,0.009,0.19,2,0.02,"['fe0301599', 'fe0305874']"
they_ain't_come,2,0.009,0.19,2,0.02,"['fe0304247', 'fe0310004']"
they_ain't_doing,2,0.009,0.19,2,0.02,"['fe0301589', 'fe0311032']"
there_ain't_many,2,0.009,0.19,2,0.02,"['fe0304159', 'fe0310724']"
i_ain't_say,2,0.009,0.19,2,0.02,"['fe0304979', 'fe0307072']"
constituentboundary_ain't_about,2,0.009,0.19,1,0.01,['fe0310895']
i_ain't_done,2,0.009,0.19,2,0.02,"['fe0304794', 'fe0308202']"
you_ain't_put,2,0.009,0.19,2,0.02,"['fe0305442', 'fe0311019']"
