,POSPatternRawCount,POSPatternNormalizedCount,POSPatternPercentTotal,POSPatternFileRawCount,POSPatternFilePercentTotal,POSPatternFileList
PronounPersonal_ain't_Adjective,80,0.824,13.82,78,1.34,"['1027-125140-0026', '1027-125147-0024', '1051-133883-0037', '1061-152224-0023', '107-22885-0037', '107-22887-0031', '107-22887-0032', '107-22887-0034', '1100-135264-0011', '1469-163403-0006', '1469-163403-0008', '1469-163403-0011', '1469-163403-0016', '1578-140045-0003', '1809-143025-0022', '1867-154075-0039', '188-136483-0021', '188-136483-0028', '1944-159230-0018', '1961-149739-0004', '1970-26100-0028', '1998-29455-0030', '1998-29455-0032', '2053-138901-0034', '2085-147971-0016', '2285-163381-0034', '2297-28913-0021', '2552-132097-0110', '264-121332-0083', '288-131218-0026', '288-131218-0037', '2946-163375-0078', '3380-64298-0012', '3536-8226-0011', '3744-178590-0018', '3780-177784-0017', '3792-176660-0013', '3843-176663-0035', '392-131210-0017', '392-131210-0023', '4340-15220-0083', '4586-61776-0009', '4936-65528-0013', '497-129325-0016', '4992-41806-0010', '512-124549-0023', '534-127538-0016', '5506-69896-0017', '5731-50777-0029', '5886-27508-0087', '5894-64095-0007', '5949-65529-0037', '5984-63095-0036', '6051-54421-0019', '6104-58845-0017', '6251-93270-0056', '6313-66125-0001', '6506-10073-0021', '6544-67863-0015', '667-158816-0041', '6695-252334-0036', '6841-88294-0024', '712-123615-0017', '7205-64110-0006', '7220-77911-0041', '753-150477-0039', '7556-103535-0010', '7597-101858-0021', '7597-101858-0043', '7597-101859-0029', '7640-104647-0021', '7705-101579-0033', '7898-109860-0022', '7910-80534-0046', '810-130095-0066', '8195-117382-0066', '8197-278214-0030', '8791-291101-0046']"
PronounPersonal_ain't_ConstituentBoundary,64,0.659,11.05,62,1.06,"['103-1241-0027', '1100-135264-0011', '1265-135635-0066', '1846-144458-0031', '188-136483-0019', '1985-144468-0101', '2285-163381-0034', '2341-163407-0027', '2532-163402-0031', '2606-132102-0079', '264-121332-0083', '273-129288-0011', '2946-163375-0058', '307-127535-0024', '3072-155948-0017', '3380-64298-0014', '3526-176653-0021', '3536-8226-0007', '3546-175390-0018', '3738-176682-0022', '377-129292-0029', '3783-176659-0015', '3792-176660-0026', '3792-176660-0042', '3792-176660-0043', '3853-163249-0033', '392-131210-0022', '4017-231846-0047', '4267-78186-0004', '4681-13056-0034', '4788-294466-0023', '483-125126-0074', '497-129325-0060', '5190-87766-0023', '5386-4145-0021', '5463-39174-0004', '5635-58137-0014', '5636-41790-0014', '5653-46179-0041', '5725-48803-0040', '5894-64095-0013', '5909-111961-0032', '5918-46890-0087', '5984-63095-0017', '608-123193-0047', '6104-58845-0016', '6284-63091-0064', '6406-88089-0027', '6426-64290-0046', '6534-71091-0048', '667-158816-0015', '6687-119383-0025', '6687-119386-0042', '6902-89167-0045', '698-123197-0034', '7198-80652-0032', '7556-103535-0040', '7597-101859-0011', '7597-101859-0015', '781-127518-0058', '8066-114256-0008', '8464-282934-0060']"
PronounPersonal_ain't_Noun,58,0.597,10.02,58,0.99,"['1051-133886-0028', '1265-135635-0051', '1469-163403-0004', '1469-163403-0016', '1867-148436-0011', '188-141613-0034', '1944-159227-0012', '1944-159228-0022', '2254-152826-0020', '2393-144496-0059', '2405-148581-0022', '2532-163402-0038', '2544-27475-0005', '2573-178450-0024', '264-121332-0084', '2769-176263-0007', '3083-7944-0070', '3370-163384-0007', '3691-178118-0028', '3864-185126-0045', '392-131210-0036', '392-131210-0045', '392-131210-0047', '4423-29084-0035', '4841-26659-0060', '4848-29108-0020', '4936-65528-0001', '4936-65528-0005', '4957-30119-0011', '512-124549-0004', '5189-56574-0025', '5883-59268-0016', '5918-46890-0017', '5949-65530-0019', '6284-63091-0022', '6446-78193-0008', '6505-231838-0011', '6519-231834-0023', '6733-97084-0020', '6747-76101-0033', '6913-80509-0023', '712-123615-0058', '7131-92815-0020', '7220-77911-0037', '7318-96151-0046', '7584-101856-0026', '782-126738-0089', '7832-114468-0043', '7832-114468-0049', '7898-109860-0029', '797-127183-0018', '8404-282926-0055', '8415-283469-0088', '8430-172387-0066', '8498-287359-0031', '915-163369-0035', '915-163372-0014', '915-163372-0018']"
PronounNonReferential_ain't_Noun,51,0.525,8.81,50,0.86,"['1025-92814-0019', '1265-135635-0060', '1498-140041-0025', '1578-140045-0004', '188-136483-0023', '188-136483-0025', '2285-163380-0029', '2341-163408-0039', '2532-163402-0002', '2532-163402-0014', '2532-163402-0015', '2769-176256-0022', '2769-176256-0023', '2946-163375-0012', '3083-7944-0057', '3370-163384-0012', '3370-163384-0049', '3945-29110-0048', '4148-134149-0033', '4422-283730-0051', '4570-56594-0010', '460-172359-0042', '4848-29108-0009', '4936-65528-0026', '4957-30119-0018', '497-129325-0074', '5093-29101-0020', '5660-101883-0026', '5731-50777-0023', '5837-39905-0021', '5886-27508-0088', '5949-65530-0017', '5949-65530-0021', '6276-62021-0069', '6284-63091-0034', '6378-61781-0005', '6446-78193-0035', '6538-81843-0008', '6904-262305-0013', '6904-262305-0042', '7226-86965-0008', '726-124445-0010', '726-124445-0011', '726-124445-0023', '7705-101579-0008', '7832-114468-0053', '792-127528-0033', '797-127183-0019', '8028-233382-0025', '8195-117382-0058']"
PronounPersonal_ain't_VerbPastParticiple,49,0.505,8.46,47,0.81,"['1469-163403-0005', '2053-138901-0050', '2085-147970-0018', '2085-147971-0046', '2297-28913-0031', '2445-148556-0035', '2946-163375-0058', '2946-163375-0090', '3493-17615-0015', '3526-176653-0021', '3536-8226-0010', '3744-177438-0021', '380-129064-0056', '3843-176666-0064', '3864-185126-0022', '392-131210-0022', '392-131210-0033', '3934-102415-0047', '3945-29110-0017', '460-172359-0046', '4992-41797-0005', '5126-27504-0008', '5506-69896-0010', '5860-72190-0033', '5886-27508-0050', '5949-65529-0000', '6051-54421-0020', '6051-54421-0026', '6097-293621-0024', '6104-58845-0008', '6248-302581-0006', '6353-63255-0080', '6614-67845-0011', '6687-119384-0041', '6841-88294-0060', '6875-76999-0093', '712-123615-0092', '7188-107627-0017', '7220-77907-0011', '753-32846-0049', '797-127183-0017', '8415-283469-0080', '8430-172388-0009', '8464-282934-0063', '8536-244441-0087', '8536-244442-0014', '921-127933-0050']"
PronounPersonal_ain't_VerbBase,34,0.35,5.87,34,0.58,"['1469-163403-0004', '1746-143015-0067', '1970-26100-0026', '1970-26100-0027', '2085-147971-0008', '2445-148556-0057', '2532-163402-0038', '2573-178450-0006', '29-130626-0051', '3005-163391-0017', '3033-130750-0063', '3045-163406-0027', '3691-178118-0031', '3783-176659-0009', '3792-176660-0037', '3926-174988-0028', '4748-25901-0007', '4899-32639-0035', '4936-65528-0040', '5361-27491-0013', '5952-54019-0017', '5952-54019-0019', '5984-63095-0017', '6051-54421-0027', '6284-63091-0063', '6288-63101-0016', '6701-71404-0019', '6875-76999-0093', '7026-86941-0017', '712-123615-0075', '726-124445-0012', '829-123192-0031', '921-127933-0035', '953-130625-0064']"
PronounPersonal_ain't_VerbPresentParticiple,23,0.237,3.97,22,0.38,"['1445-139387-0006', '1445-139397-0012', '1944-159230-0031', '2285-163381-0031', '3045-163406-0031', '3819-134146-0058', '4535-279852-0007', '5480-41798-0010', '5653-46179-0054', '5910-53048-0011', '6636-74078-0013', '712-123615-0075', '7140-72210-0028', '7198-80654-0010', '753-150477-0039', '753-32846-0026', '7828-105179-0037', '82-122859-0011', '82-122859-0012', '8415-283469-0008', '8531-282933-0061', '8778-246974-0021']"
Noun_ain't_Noun,20,0.206,3.45,20,0.34,"['2085-147971-0015', '2532-163402-0049', '2573-178450-0008', '288-131218-0020', '3259-158083-0033', '3780-177788-0006', '4267-78186-0015', '4481-17499-0041', '4586-61776-0011', '4957-30119-0038', '5321-53046-0044', '5361-27491-0056', '5949-65530-0022', '6505-231838-0030', '7128-84122-0054', '7640-104647-0040', '7704-106965-0028', '8498-287359-0032', '8838-298545-0031', '915-163369-0035']"
PronounNonReferential_ain't_PronounIndefinite,17,0.175,2.94,17,0.29,"['1944-159230-0015', '288-131220-0004', '3083-7944-0057', '3083-7944-0060', '3370-163384-0019', '3744-178590-0023', '392-131210-0011', '4267-78186-0027', '4586-61758-0009', '4586-61776-0023', '5039-1189-0050', '5789-57195-0034', '6276-62021-0048', '6643-67857-0004', '6904-262305-0012', '726-124445-0024', '915-163370-0003']"
Noun_ain't_Adjective,14,0.144,2.42,14,0.24,"['1061-152224-0014', '177-122839-0007', '2341-163408-0051', '2341-163408-0066', '2532-163402-0013', '288-131218-0022', '4848-29108-0014', '5390-30102-0025', '5949-65530-0013', '5949-65530-0020', '5968-61356-0029', '6904-262305-0016', '6913-80509-0070', '7597-101877-0020']"
