,PredicatePOSRawCount,PredicatePOSNormalizedCount,PredicatePOSPercentTotal,PredicatePOSFileRawCount,PredicatePOSFilePercentTotal,PredicatePOSFileList
Noun,145,1.493,25.04,142,2.44,"['1025-92814-0019', '1051-133886-0028', '1265-135635-0051', '1265-135635-0060', '1469-163403-0003', '1469-163403-0004', '1469-163403-0016', '1498-140041-0025', '1578-140045-0004', '1867-148436-0011', '188-136483-0023', '188-136483-0025', '188-141613-0034', '1944-159227-0012', '1944-159228-0010', '1944-159228-0022', '2085-147971-0007', '2085-147971-0015', '2254-152826-0020', '2285-163380-0029', '2341-163408-0039', '2393-144496-0059', '2405-148581-0022', '2532-163402-0002', '2532-163402-0014', '2532-163402-0015', '2532-163402-0038', '2532-163402-0049', '2544-27475-0005', '2573-178450-0008', '2573-178450-0024', '264-121332-0084', '2769-176256-0022', '2769-176256-0023', '2769-176263-0007', '288-131218-0020', '2946-163375-0012', '2946-163375-0037', '3083-7944-0057', '3083-7944-0070', '3259-158083-0033', '3370-163384-0007', '3370-163384-0012', '3370-163384-0049', '3691-178118-0028', '3780-177788-0006', '3783-176659-0059', '3807-4923-0032', '3864-185126-0045', '392-131210-0036', '392-131210-0045', '392-131210-0047', '3945-29110-0048', '4148-134149-0033', '4267-78186-0014', '4267-78186-0015', '4321-15217-0004', '4422-283730-0051', '4423-29084-0035', '4481-17499-0041', '4570-56594-0002', '4570-56594-0010', '4586-61776-0011', '460-172359-0042', '4841-26659-0060', '4848-29108-0009', '4848-29108-0020', '4936-65528-0001', '4936-65528-0005', '4936-65528-0026', '4957-30119-0011', '4957-30119-0018', '4957-30119-0038', '497-129325-0074', '5093-29101-0020', '512-124549-0004', '5189-56574-0025', '5321-53046-0044', '5361-27491-0056', '5361-27491-0065', '5660-101883-0026', '5731-50777-0023', '5837-39905-0021', '5883-59268-0016', '5886-27508-0088', '5918-46890-0017', '5949-65530-0017', '5949-65530-0019', '5949-65530-0021', '5949-65530-0022', '6035-74040-0034', '6276-62021-0031', '6276-62021-0069', '6284-63091-0022', '6284-63091-0034', '6378-61781-0005', '6446-78193-0008', '6446-78193-0035', '6505-231838-0011', '6505-231838-0030', '6519-231834-0023', '6538-81843-0008', '6733-97084-0020', '6747-76101-0033', '6904-262305-0013', '6904-262305-0042', '6913-80509-0023', '6913-80509-0064', '712-123615-0058', '7128-84122-0054', '7131-92815-0020', '7220-77911-0037', '7226-86965-0008', '726-124445-0010', '726-124445-0011', '726-124445-0023', '7318-96151-0046', '7584-101856-0026', '7597-101859-0039', '7640-104647-0040', '7704-106965-0028', '7705-101579-0008', '782-126738-0089', '7832-114468-0043', '7832-114468-0049', '7832-114468-0053', '7898-109860-0029', '792-127528-0033', '797-127183-0018', '797-127183-0019', '8028-233382-0025', '8195-117382-0058', '829-123190-0028', '8404-282926-0055', '8415-283469-0088', '8430-172387-0066', '8498-287359-0031', '8498-287359-0032', '8838-298545-0031', '915-163369-0035', '915-163372-0014', '915-163372-0018']"
Adjective,114,1.174,19.69,112,1.92,"['1027-125140-0026', '1027-125147-0024', '1051-133883-0037', '1061-152224-0014', '1061-152224-0023', '107-22885-0037', '107-22887-0031', '107-22887-0032', '107-22887-0034', '1100-135264-0011', '1469-163403-0006', '1469-163403-0008', '1469-163403-0011', '1469-163403-0016', '1578-140045-0003', '1746-143015-0033', '177-122839-0007', '1809-143025-0022', '1845-145083-0026', '1867-154071-0008', '1867-154075-0039', '188-136483-0021', '188-136483-0028', '1944-159230-0018', '1961-149739-0004', '1970-26100-0028', '1998-29454-0016', '1998-29454-0034', '1998-29455-0025', '1998-29455-0030', '1998-29455-0032', '2053-138901-0034', '207-131203-0018', '2085-147971-0016', '2285-163381-0034', '2297-28913-0021', '2341-163408-0051', '2341-163408-0066', '2532-163402-0013', '2552-132097-0110', '264-121332-0083', '288-131218-0022', '288-131218-0026', '288-131218-0037', '2946-163375-0078', '3380-64298-0012', '3536-8226-0011', '3738-176680-0046', '3744-178590-0018', '3780-177784-0017', '3783-176659-0044', '3783-176659-0045', '3792-176660-0013', '3843-176663-0035', '392-131210-0017', '392-131210-0023', '3982-178459-0002', '4340-15220-0083', '4511-45512-0004', '4586-61776-0009', '4680-16026-0035', '4848-29108-0014', '4936-65528-0013', '497-129325-0016', '4992-41806-0010', '512-124549-0023', '534-127538-0016', '5390-30102-0025', '5506-69896-0017', '5731-50777-0029', '5886-27508-0087', '5894-64095-0007', '5949-65529-0037', '5949-65530-0013', '5949-65530-0018', '5949-65530-0020', '5968-61356-0029', '5984-63095-0036', '6051-54421-0019', '6104-58845-0017', '6251-93270-0056', '6284-63091-0034', '6313-66125-0001', '6506-10073-0021', '6519-231834-0032', '6544-67863-0015', '667-158816-0041', '6695-252334-0036', '6841-88294-0024', '6895-92806-0029', '6904-262305-0016', '6913-80509-0070', '712-123615-0017', '7198-80652-0023', '7198-80654-0012', '7205-64110-0006', '7220-77911-0041', '753-150477-0039', '7556-103535-0010', '7597-101858-0021', '7597-101858-0043', '7597-101859-0029', '7597-101877-0020', '7640-104647-0021', '7705-101579-0033', '7898-109860-0022', '7910-80534-0046', '810-130095-0066', '8195-117382-0066', '8197-278214-0030', '8536-244441-0081', '8791-291101-0046']"
ConstituentBoundary,79,0.814,13.64,77,1.32,"['103-1241-0027', '107-22887-0031', '1100-135264-0011', '1100-135264-0021', '1265-135635-0066', '1772-135621-0068', '1846-144458-0031', '1867-154071-0032', '188-136483-0019', '1985-144468-0101', '2285-163381-0034', '2341-163407-0027', '2532-163402-0031', '2606-132102-0079', '264-121332-0083', '273-129288-0011', '2769-176256-0031', '283-130638-0046', '2946-163375-0058', '307-127535-0024', '3072-155948-0017', '3380-64298-0014', '3526-176653-0021', '3536-8226-0007', '3546-175390-0018', '3691-178109-0025', '3738-176682-0022', '377-129292-0029', '3783-176659-0015', '3792-176660-0026', '3792-176660-0042', '3792-176660-0043', '3853-163249-0033', '392-131210-0022', '4017-231846-0047', '4267-78186-0004', '4681-13056-0034', '4788-294466-0023', '483-125126-0074', '497-129325-0060', '5190-87766-0023', '5386-4145-0021', '5463-39174-0004', '5635-58137-0014', '5636-41790-0014', '5653-46179-0041', '5725-48803-0040', '5894-64095-0013', '5909-111961-0032', '5918-46890-0087', '5984-63095-0017', '608-123193-0047', '6104-58845-0016', '6248-302581-0005', '6284-63091-0064', '6406-88089-0027', '6426-64290-0046', '6446-78193-0015', '6534-71091-0048', '667-158816-0015', '6687-119383-0015', '6687-119383-0025', '6687-119386-0042', '6902-89167-0045', '698-123197-0034', '7198-80652-0032', '7507-100660-0020', '7556-103535-0040', '7584-101856-0024', '7597-101859-0011', '7597-101859-0012', '7597-101859-0015', '7597-101859-0018', '7597-101859-0043', '781-127518-0058', '8066-114256-0008', '8464-282934-0060']"
VerbPastParticiple,68,0.7,11.74,66,1.13,"['1469-163403-0005', '1469-163403-0011', '2053-138901-0050', '2085-147970-0018', '2085-147971-0046', '2297-28913-0031', '2309-167347-0015', '2445-148556-0035', '2532-163402-0016', '2532-163402-0028', '2532-163402-0029', '288-131218-0031', '2946-163375-0058', '2946-163375-0090', '3045-163406-0031', '3493-17615-0015', '3526-176653-0021', '3536-8226-0010', '3744-177438-0021', '3744-177438-0026', '3783-176659-0026', '380-129064-0056', '3843-176666-0064', '3864-185126-0022', '392-131210-0022', '392-131210-0033', '3934-102415-0047', '3945-29110-0017', '4511-45512-0004', '460-172359-0046', '483-125116-0036', '4957-30119-0010', '4992-41797-0005', '5126-27504-0008', '5506-69896-0010', '5860-72190-0033', '5886-27508-0050', '5910-53048-0065', '5949-65529-0000', '6051-54421-0020', '6051-54421-0026', '6051-61724-0020', '6097-293621-0024', '6104-58845-0008', '6248-302581-0006', '6353-63255-0080', '6482-98857-0032', '6614-67845-0011', '6687-119384-0041', '6746-72302-0085', '6841-88294-0060', '6875-76999-0093', '712-123615-0092', '7188-107627-0017', '7220-77907-0011', '7226-86964-0052', '753-32846-0049', '797-127183-0017', '8195-117382-0090', '8415-283469-0080', '8430-172388-0009', '8464-282934-0063', '8531-282933-0061', '8536-244441-0087', '8536-244442-0014', '921-127933-0050']"
VerbBase,43,0.443,7.43,43,0.74,"['1445-139397-0013', '1469-163403-0004', '1746-143015-0067', '1901-48014-0006', '1944-159230-0017', '1970-26100-0026', '1970-26100-0027', '2085-147970-0017', '2085-147971-0008', '2445-148556-0057', '2532-163402-0038', '2573-178450-0006', '29-130626-0051', '3005-163391-0017', '3033-130750-0063', '3045-163406-0027', '3691-178118-0031', '3783-176659-0009', '3792-176660-0037', '3926-174988-0028', '4340-15220-0015', '4748-25901-0007', '4899-32639-0035', '4936-65528-0040', '5139-30105-0038', '5361-27491-0013', '5909-111961-0032', '5910-53048-0004', '5952-54019-0017', '5952-54019-0019', '5984-63095-0017', '6051-54421-0027', '6284-63091-0063', '6288-63101-0016', '6701-71404-0019', '6875-76999-0093', '7026-86941-0017', '712-123615-0075', '726-124445-0012', '781-127518-0009', '829-123192-0031', '921-127933-0035', '953-130625-0064']"
PronounIndefinite,42,0.433,7.25,42,0.72,"['1121-176698-0016', '1750-135624-0038', '1867-154071-0034', '1944-159230-0015', '1944-159230-0018', '226-122538-0014', '2532-163402-0028', '2769-176256-0031', '288-131220-0004', '3005-163399-0025', '3083-7944-0057', '3083-7944-0060', '3370-163384-0019', '3744-178590-0023', '392-131210-0011', '3994-156757-0039', '4226-185488-0022', '4262-14486-0037', '4267-78186-0027', '4586-61758-0009', '4586-61776-0023', '483-125116-0046', '5039-1189-0050', '5246-30101-0025', '5789-57195-0034', '6276-62021-0048', '6378-61780-0008', '6488-66120-0015', '6643-67857-0004', '6695-71407-0039', '6733-97084-0006', '6904-262305-0012', '698-123197-0033', '7220-77911-0033', '726-124445-0024', '7597-101859-0013', '7898-109860-0023', '7939-120318-0009', '8536-244441-0030', '8825-292253-0039', '915-163370-0003', '915-163372-0034']"
VerbPresentParticiple,30,0.309,5.18,29,0.5,"['1445-139387-0006', '1445-139397-0012', '188-136483-0019', '188-136483-0023', '1944-159230-0031', '2285-163381-0031', '288-131220-0011', '3045-163406-0031', '3490-177641-0009', '3819-134146-0058', '4535-279852-0007', '5480-41798-0010', '5653-46179-0054', '5660-101854-0006', '5837-39905-0058', '5910-53048-0011', '6636-74078-0013', '712-123615-0075', '7140-72210-0028', '7198-80654-0010', '753-150477-0039', '753-32846-0026', '7597-101859-0031', '7828-105179-0037', '82-122859-0011', '82-122859-0012', '8415-283469-0008', '8531-282933-0061', '8778-246974-0021']"
Preposition,24,0.247,4.15,22,0.38,"['1061-152224-0026', '1121-176698-0015', '1265-135635-0023', '1746-143015-0067', '2003-143254-0029', '2532-163402-0046', '2769-176256-0036', '4423-29084-0017', '5304-55856-0011', '534-127538-0009', '5445-21282-0053', '5918-46890-0081', '6104-58845-0011', '6288-63101-0019', '6288-63101-0040', '64-76973-0023', '6519-231834-0033', '753-32846-0026', '829-123191-0024', '8415-283469-0090', '915-163369-0043', '978-125137-0054']"
Adverb,13,0.134,2.25,11,0.19,"['1867-154071-0007', '2341-163408-0058', '2769-176256-0031', '4423-29083-0023', '4748-25901-0037', '5172-29468-0004', '5246-30101-0031', '7188-107627-0040', '7354-87667-0100', '8415-283469-0004', '8684-293663-0075']"
PronounRelative,11,0.113,1.9,11,0.19,"['1985-144468-0090', '1998-29454-0017', '210-129396-0113', '2573-178450-0017', '4017-231846-0034', '5506-69895-0005', '5731-50777-0031', '6284-63091-0034', '6902-89167-0057', '8536-244442-0007', '978-125137-0054']"
