,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
constituentboundary,79,0.814,13.64,77,1.32,"['103-1241-0027', '107-22887-0031', '1100-135264-0011', '1100-135264-0021', '1265-135635-0066', '1772-135621-0068', '1846-144458-0031', '1867-154071-0032', '188-136483-0019', '1985-144468-0101', '2285-163381-0034', '2341-163407-0027', '2532-163402-0031', '2606-132102-0079', '264-121332-0083', '273-129288-0011', '2769-176256-0031', '283-130638-0046', '2946-163375-0058', '307-127535-0024', '3072-155948-0017', '3380-64298-0014', '3526-176653-0021', '3536-8226-0007', '3546-175390-0018', '3691-178109-0025', '3738-176682-0022', '377-129292-0029', '3783-176659-0015', '3792-176660-0026', '3792-176660-0042', '3792-176660-0043', '3853-163249-0033', '392-131210-0022', '4017-231846-0047', '4267-78186-0004', '4681-13056-0034', '4788-294466-0023', '483-125126-0074', '497-129325-0060', '5190-87766-0023', '5386-4145-0021', '5463-39174-0004', '5635-58137-0014', '5636-41790-0014', '5653-46179-0041', '5725-48803-0040', '5894-64095-0013', '5909-111961-0032', '5918-46890-0087', '5984-63095-0017', '608-123193-0047', '6104-58845-0016', '6248-302581-0005', '6284-63091-0064', '6406-88089-0027', '6426-64290-0046', '6446-78193-0015', '6534-71091-0048', '667-158816-0015', '6687-119383-0015', '6687-119383-0025', '6687-119386-0042', '6902-89167-0045', '698-123197-0034', '7198-80652-0032', '7507-100660-0020', '7556-103535-0040', '7584-101856-0024', '7597-101859-0011', '7597-101859-0012', '7597-101859-0015', '7597-101859-0018', '7597-101859-0043', '781-127518-0058', '8066-114256-0008', '8464-282934-0060']"
got,30,0.309,5.18,29,0.5,"['1469-163403-0005', '1469-163403-0011', '2085-147970-0018', '2085-147971-0046', '2309-167347-0015', '2532-163402-0016', '2532-163402-0028', '2532-163402-0029', '288-131218-0031', '3045-163406-0031', '3493-17615-0015', '3526-176653-0021', '3744-177438-0021', '3744-177438-0026', '3783-176659-0026', '380-129064-0056', '3864-185126-0022', '392-131210-0033', '4957-30119-0010', '6051-54421-0020', '6097-293621-0024', '6104-58845-0008', '6248-302581-0006', '6482-98857-0032', '6614-67845-0011', '7188-107627-0017', '7226-86964-0052', '797-127183-0017', '8536-244442-0014']"
like,9,0.093,1.55,8,0.14,"['1061-152224-0026', '1265-135635-0023', '4423-29084-0017', '5918-46890-0081', '712-123615-0075', '726-124445-0012', '829-123191-0024', '8415-283469-0090']"
what,9,0.093,1.55,9,0.15,"['1985-144468-0090', '1998-29454-0017', '210-129396-0113', '2573-178450-0017', '4017-231846-0034', '5506-69895-0005', '5731-50777-0031', '6902-89167-0057', '8536-244442-0007']"
seen,8,0.082,1.38,8,0.14,"['4511-45512-0004', '5506-69896-0010', '5860-72190-0033', '5886-27508-0050', '6687-119384-0041', '712-123615-0092', '8464-282934-0063', '8536-244441-0087']"
here,8,0.082,1.38,6,0.1,"['2341-163408-0058', '2769-176256-0031', '5172-29468-0004', '5246-30101-0031', '7188-107627-0040', '7354-87667-0100']"
use,7,0.072,1.21,7,0.12,"['1469-163403-0004', '1469-163403-0016', '2254-152826-0020', '3083-7944-0070', '4570-56594-0010', '4936-65528-0026', '6505-231838-0011']"
one,7,0.072,1.21,7,0.12,"['4267-78186-0027', '483-125116-0046', '6378-61780-0008', '6733-97084-0006', '7220-77911-0033', '7939-120318-0009', '8825-292253-0039']"
afraid,7,0.072,1.21,7,0.12,"['107-22887-0031', '2552-132097-0110', '288-131218-0026', '392-131210-0017', '4340-15220-0083', '6251-93270-0056', '7220-77911-0041']"
much,7,0.072,1.21,7,0.12,"['1944-159230-0015', '1944-159230-0018', '226-122538-0014', '3744-178590-0023', '4586-61758-0009', '5246-30101-0025', '7898-109860-0023']"
right,7,0.072,1.21,7,0.12,"['1469-163403-0006', '1867-154071-0008', '3536-8226-0011', '6519-231834-0032', '6895-92806-0029', '7705-101579-0033', '810-130095-0066']"
man,7,0.072,1.21,7,0.12,"['3945-29110-0048', '5949-65530-0017', '6276-62021-0069', '6913-80509-0023', '712-123615-0058', '8404-282926-0055', '915-163372-0014']"
nothing,6,0.062,1.04,6,0.1,"['2532-163402-0028', '288-131220-0004', '3083-7944-0060', '3370-163384-0019', '6643-67857-0004', '915-163370-0003']"
nobody,6,0.062,1.04,6,0.1,"['3083-7944-0057', '5039-1189-0050', '5789-57195-0034', '6276-62021-0048', '6904-262305-0012', '726-124445-0024']"
sure,6,0.062,1.04,6,0.1,"['1578-140045-0003', '1998-29455-0030', '4936-65528-0013', '6104-58845-0017', '6313-66125-0001', '7205-64110-0006']"
in,5,0.051,0.86,5,0.09,"['5304-55856-0011', '534-127538-0009', '5445-21282-0053', '6104-58845-0011', '915-163369-0043']"
time,5,0.051,0.86,5,0.09,"['1265-135635-0060', '2946-163375-0037', '3807-4923-0032', '4422-283730-0051', '797-127183-0019']"
going,5,0.051,0.86,5,0.09,"['1445-139397-0012', '5480-41798-0010', '5837-39905-0058', '6636-74078-0013', '7140-72210-0028']"
all,5,0.051,0.86,5,0.09,"['1121-176698-0016', '1750-135624-0038', '4262-14486-0037', '6488-66120-0015', '7597-101859-0013']"
so,4,0.041,0.69,4,0.07,"['3994-156757-0039', '6695-71407-0039', '8536-244441-0030', '915-163372-0034']"
good,4,0.041,0.69,4,0.07,"['1027-125140-0026', '3744-178590-0018', '534-127538-0016', '5949-65530-0020']"
for,4,0.041,0.69,3,0.05,"['6288-63101-0019', '6519-231834-0033', '978-125137-0054']"
thing,4,0.041,0.69,4,0.07,"['4148-134149-0033', '5361-27491-0056', '5949-65530-0019', '7704-106965-0028']"
that,4,0.041,0.69,4,0.07,"['501-125128-0011', '6284-63091-0034', '876-126411-0101', '978-125137-0054']"
it,3,0.031,0.52,3,0.05,"['1998-29454-0021', '8404-282926-0016', '8531-282933-0056']"
child,3,0.031,0.52,3,0.05,"['4267-78186-0014', '4267-78186-0015', '7318-96151-0046']"
done,3,0.031,0.52,3,0.05,"['392-131210-0022', '4992-41797-0005', '6875-76999-0093']"
him,3,0.031,0.52,2,0.03,"['3005-163391-0009', '8498-287359-0030']"
natural,3,0.031,0.52,3,0.05,"['2285-163381-0034', '5949-65530-0018', '5968-61356-0029']"
enough,3,0.031,0.52,3,0.05,"['207-131203-0018', '2532-163402-0013', '7198-80652-0023']"
folks,3,0.031,0.52,3,0.05,"['188-136483-0023', '1944-159228-0022', '3783-176659-0059']"
fit,3,0.031,0.52,3,0.05,"['288-131218-0037', '392-131210-0023', '6841-88294-0024']"
glad,3,0.031,0.52,3,0.05,"['1845-145083-0026', '6051-54421-0019', '6695-252334-0036']"
bad,3,0.031,0.52,3,0.05,"['1998-29454-0016', '4680-16026-0035', '8536-244441-0081']"
come,3,0.031,0.52,3,0.05,"['1944-159230-0017', '1970-26100-0027', '3792-176660-0037']"
had,3,0.031,0.52,3,0.05,"['2946-163375-0058', '2946-163375-0090', '3934-102415-0047']"
home,2,0.021,0.35,2,0.03,"['1578-140045-0004', '8498-287359-0032']"
say,2,0.021,0.35,2,0.03,"['5952-54019-0017', '921-127933-0035']"
doubt,2,0.021,0.35,2,0.03,"['2946-163375-0012', '4748-25901-0007']"
give,2,0.021,0.35,2,0.03,"['1901-48014-0006', '5984-63095-0017']"
talk,2,0.021,0.35,2,0.03,"['5139-30105-0038', '781-127518-0009']"
girl,2,0.021,0.35,2,0.03,"['1051-133886-0028', '3780-177788-0006']"
gone,2,0.021,0.35,2,0.03,"['5949-65529-0000', '7220-77907-0011']"
sense,2,0.021,0.35,2,0.03,"['2285-163380-0029', '726-124445-0011']"
same,2,0.021,0.35,2,0.03,"['2085-147971-0015', '8838-298545-0031']"
put,2,0.021,0.35,2,0.03,"['3783-176659-0009', '953-130625-0064']"
necessity,2,0.021,0.35,2,0.03,"['2532-163402-0014', '2532-163402-0015']"
question,2,0.021,0.35,2,0.03,"['2573-178450-0008', '7220-77911-0037']"
interfering,2,0.021,0.35,2,0.03,"['82-122859-0011', '82-122859-0012']"
dark,2,0.021,0.35,2,0.03,"['3780-177784-0017', '4848-29108-0014']"
said,2,0.021,0.35,2,0.03,"['2297-28913-0031', '6875-76999-0093']"
road,2,0.021,0.35,2,0.03,"['4848-29108-0020', '6035-74040-0034']"
telling,2,0.021,0.35,2,0.03,"['2341-163408-0039', '3370-163384-0049']"
kind,2,0.021,0.35,2,0.03,"['288-131218-0022', '7198-80654-0012']"
trusted,2,0.021,0.35,2,0.03,"['1061-152224-0023', '2085-147971-0016']"
young,2,0.021,0.35,2,0.03,"['5949-65530-0013', '7910-80534-0046']"
as,2,0.021,0.35,2,0.03,"['1121-176698-0015', '753-32846-0026']"
wife,2,0.021,0.35,2,0.03,"['1944-159227-0012', '3691-178118-0028']"
master,2,0.021,0.35,2,0.03,"['288-131218-0020', '8498-287359-0031']"
beatenest,2,0.021,0.35,2,0.03,"['3783-176659-0044', '3783-176659-0045']"
beautiful,2,0.021,0.35,2,0.03,"['264-121332-0083', '712-123615-0017']"
been,2,0.021,0.35,2,0.03,"['2053-138901-0050', '921-127933-0050']"
better,2,0.021,0.35,2,0.03,"['5949-65529-0037', '6506-10073-0021']"
boss,2,0.021,0.35,2,0.03,"['3864-185126-0045', '5660-101883-0026']"
particular,2,0.021,0.35,2,0.03,"['1469-163403-0008', '5731-50777-0029']"
boy,2,0.021,0.35,2,0.03,"['5883-59268-0016', '6904-262305-0042']"
lost,2,0.021,0.35,2,0.03,"['483-125116-0036', '6841-88294-0060']"
person,2,0.021,0.35,2,0.03,"['1498-140041-0025', '726-124445-0023']"
saying,2,0.021,0.35,2,0.03,"['3045-163406-0031', '5910-53048-0011']"
locked,2,0.021,0.35,2,0.03,"['2341-163408-0051', '2341-163408-0066']"
chance,2,0.021,0.35,2,0.03,"['5886-27508-0088', '7832-114468-0053']"
raised,1,0.01,0.17,1,0.02,['753-32846-0049']
not,1,0.01,0.17,1,0.02,['1998-29455-0025']
proud,1,0.01,0.17,1,0.02,['7898-109860-0022']
on,1,0.01,0.17,1,0.02,['1746-143015-0067']
playing,1,0.01,0.17,1,0.02,['7597-101859-0031']
now,1,0.01,0.17,1,0.02,['4423-29083-0023']
pride,1,0.01,0.17,1,0.02,['5949-65530-0021']
pretty,1,0.01,0.17,1,0.02,['3792-176660-0013']
none,1,0.01,0.17,1,0.02,['4586-61776-0023']
robbery,1,0.01,0.17,1,0.02,['915-163369-0035']
presuming,1,0.01,0.17,1,0.02,['8531-282933-0061']
nine,1,0.01,0.17,1,0.02,['7597-101877-0020']
poem,1,0.01,0.17,1,0.02,['6284-63091-0034']
nice,1,0.01,0.17,1,0.02,['4511-45512-0004']
neither,1,0.01,0.17,1,0.02,['2769-176256-0031']
popular,1,0.01,0.17,1,0.02,['107-22885-0037']
rustrained,1,0.01,0.17,1,0.02,['4586-61776-0009']
out,1,0.01,0.17,1,0.02,['64-76973-0023']
picks,1,0.01,0.17,1,0.02,['2532-163402-0038']
piece,1,0.01,0.17,1,0.02,['2085-147971-0007']
ready,1,0.01,0.17,1,0.02,['3843-176663-0035']
referring,1,0.01,0.17,1,0.02,['8415-283469-0008']
regular,1,0.01,0.17,1,0.02,['1469-163403-0016']
repeat,1,0.01,0.17,1,0.02,['4936-65528-0040']
responsible,1,0.01,0.17,1,0.02,['1100-135264-0011']
ridiculous,1,0.01,0.17,1,0.02,['3380-64298-0012']
possessed,1,0.01,0.17,1,0.02,['8531-282933-0061']
oyster,1,0.01,0.17,1,0.02,['392-131210-0045']
pity,1,0.01,0.17,1,0.02,['5361-27491-0013']
place,1,0.01,0.17,1,0.02,['7832-114468-0049']
risk,1,0.01,0.17,1,0.02,['5910-53048-0004']
particle,1,0.01,0.17,1,0.02,['792-127528-0033']
proved,1,0.01,0.17,1,0.02,['3536-8226-0010']
part,1,0.01,0.17,1,0.02,['2544-27475-0005']
patriotic,1,0.01,0.17,1,0.02,['512-124549-0023']
about,1,0.01,0.17,1,0.02,['6288-63101-0040']
see,1,0.01,0.17,1,0.02,['5952-54019-0019']
tenderfoot,1,0.01,0.17,1,0.02,['1867-148436-0011']
there,1,0.01,0.17,1,0.02,['8684-293663-0075']
thicker,1,0.01,0.17,1,0.02,['1961-149739-0004']
trifled,1,0.01,0.17,1,0.02,['3945-29110-0017']
trimmed,1,0.01,0.17,1,0.02,['8195-117382-0066']
tripe,1,0.01,0.17,1,0.02,['6904-262305-0013']
trouble,1,0.01,0.17,1,0.02,['2532-163402-0049']
true,1,0.01,0.17,1,0.02,['6284-63091-0034']
trumps,1,0.01,0.17,1,0.02,['6276-62021-0031']
try,1,0.01,0.17,1,0.02,['6284-63091-0063']
two,1,0.01,0.17,1,0.02,['3982-178459-0002']
understand,1,0.01,0.17,1,0.02,['1746-143015-0067']
undine,1,0.01,0.17,1,0.02,['2445-148556-0035']
unreasonable,1,0.01,0.17,1,0.02,['7556-103535-0010']
up,1,0.01,0.17,1,0.02,['2769-176256-0036']
vicious,1,0.01,0.17,1,0.02,['5390-30102-0025']
vrain,1,0.01,0.17,1,0.02,['6505-231838-0030']
wages,1,0.01,0.17,1,0.02,['6284-63091-0022']
wait,1,0.01,0.17,1,0.02,['3691-178118-0031']
watched,1,0.01,0.17,1,0.02,['5126-27504-0008']
watchman,1,0.01,0.17,1,0.02,['2532-163402-0002']
water,1,0.01,0.17,1,0.02,['7832-114468-0043']
way,1,0.01,0.17,1,0.02,['7898-109860-0029']
week,1,0.01,0.17,1,0.02,['5361-27491-0065']
well,1,0.01,0.17,1,0.02,['6904-262305-0016']
woman,1,0.01,0.17,1,0.02,['5321-53046-0044']
women,1,0.01,0.17,1,0.02,['8028-233382-0025']
work,1,0.01,0.17,1,0.02,['1469-163403-0004']
worth,1,0.01,0.17,1,0.02,['8791-291101-0046']
yonder,1,0.01,0.17,1,0.02,['1867-154071-0007']
terrible,1,0.01,0.17,1,0.02,['1867-154075-0039']
tell,1,0.01,0.17,1,0.02,['2573-178450-0006']
selfish,1,0.01,0.17,1,0.02,['6913-80509-0070']
taking,1,0.01,0.17,1,0.02,['7828-105179-0037']
shepherdson,1,0.01,0.17,1,0.02,['3370-163384-0007']
shepherdsons,1,0.01,0.17,1,0.02,['3370-163384-0012']
shield,1,0.01,0.17,1,0.02,['6701-71404-0019']
show,1,0.01,0.17,1,0.02,['6446-78193-0008']
sight,1,0.01,0.17,1,0.02,['6446-78193-0035']
sign,1,0.01,0.17,1,0.02,['6875-76999-0093']
sit,1,0.01,0.17,1,0.02,['8430-172387-0066']
slaves,1,0.01,0.17,1,0.02,['6538-81843-0008']
sleep,1,0.01,0.17,1,0.02,['4899-32639-0035']
slick,1,0.01,0.17,1,0.02,['7597-101858-0021']
slouch,1,0.01,0.17,1,0.02,['7640-104647-0040']
sociable,1,0.01,0.17,1,0.02,['1061-152224-0014']
sociate,1,0.01,0.17,1,0.02,['829-123192-0031']
somebody,1,0.01,0.17,1,0.02,['3005-163399-0025']
something,1,0.01,0.17,1,0.02,['1867-154071-0034']
sorry,1,0.01,0.17,1,0.02,['2297-28913-0021']
sort,1,0.01,0.17,1,0.02,['915-163369-0035']
splendid,1,0.01,0.17,1,0.02,['177-122839-0007']
starve,1,0.01,0.17,1,0.02,['29-130626-0051']
stealer,1,0.01,0.17,1,0.02,['6733-97084-0020']
straight,1,0.01,0.17,1,0.02,['1998-29455-0032']
strange,1,0.01,0.17,1,0.02,['107-22885-0037']
style,1,0.01,0.17,1,0.02,['5731-50777-0023']
suffer,1,0.01,0.17,1,0.02,['7026-86941-0017']
suffrager,1,0.01,0.17,1,0.02,['3259-158083-0033']
sunday,1,0.01,0.17,1,0.02,['2573-178450-0024']
supported,1,0.01,0.17,1,0.02,['6353-63255-0080']
surprised,1,0.01,0.17,1,0.02,['188-136483-0028']
suspicious,1,0.01,0.17,1,0.02,['107-22887-0034']
slave,1,0.01,0.17,1,0.02,['782-126738-0089']
lose,1,0.01,0.17,1,0.02,['2085-147970-0017']
murder,1,0.01,0.17,1,0.02,['797-127183-0018']
more,1,0.01,0.17,1,0.02,['2946-163375-0078']
carry,1,0.01,0.17,1,0.02,['2085-147971-0008']
change,1,0.01,0.17,1,0.02,['3033-130750-0063']
changed,1,0.01,0.17,1,0.02,['3843-176666-0064']
charge,1,0.01,0.17,1,0.02,['3926-174988-0028']
children,1,0.01,0.17,1,0.02,['8415-283469-0088']
circumstance,1,0.01,0.17,1,0.02,['4957-30119-0038']
classed,1,0.01,0.17,1,0.02,['8415-283469-0080']
clever,1,0.01,0.17,1,0.02,['667-158816-0041']
columbus,1,0.01,0.17,1,0.02,['5093-29101-0020']
compared,1,0.01,0.17,1,0.02,['8195-117382-0090']
confident,1,0.01,0.17,1,0.02,['5894-64095-0007']
content,1,0.01,0.17,1,0.02,['829-123190-0028']
coppers,1,0.01,0.17,1,0.02,['2769-176263-0007']
country,1,0.01,0.17,1,0.02,['4570-56594-0002']
coward,1,0.01,0.17,1,0.02,['7226-86965-0008']
craft,1,0.01,0.17,1,0.02,['5918-46890-0017']
criminal,1,0.01,0.17,1,0.02,['6519-231834-0023']
cunning,1,0.01,0.17,1,0.02,['497-129325-0016']
cupboard,1,0.01,0.17,1,0.02,['2769-176256-0023']
dandy,1,0.01,0.17,1,0.02,['915-163372-0018']
days,1,0.01,0.17,1,0.02,['4423-29084-0035']
dead,1,0.01,0.17,1,0.02,['5506-69896-0017']
demean,1,0.01,0.17,1,0.02,['6288-63101-0016']
developed,1,0.01,0.17,1,0.02,['460-172359-0046']
difference,1,0.01,0.17,1,0.02,['188-136483-0025']
different,1,0.01,0.17,1,0.02,['2053-138901-0034']
difficulty,1,0.01,0.17,1,0.02,['460-172359-0042']
disbelieving,1,0.01,0.17,1,0.02,['4535-279852-0007']
do,1,0.01,0.17,1,0.02,['6051-54421-0027']
careful,1,0.01,0.17,1,0.02,['5886-27508-0087']
calling,1,0.01,0.17,1,0.02,['2285-163381-0031']
call,1,0.01,0.17,1,0.02,['2393-144496-0059']
being,1,0.01,0.17,1,0.02,['1944-159230-0031']
accustomed,1,0.01,0.17,1,0.02,['6051-61724-0020']
allowed,1,0.01,0.17,1,0.02,['5910-53048-0065']
answering,1,0.01,0.17,1,0.02,['188-136483-0023']
anything,1,0.01,0.17,1,0.02,['4226-185488-0022']
ashamed,1,0.01,0.17,1,0.02,['1944-159230-0018']
ask,1,0.01,0.17,1,0.02,['1445-139397-0013']
asking,1,0.01,0.17,1,0.02,['1445-139387-0006']
asleep,1,0.01,0.17,1,0.02,['1027-125147-0024']
assessorship,1,0.01,0.17,1,0.02,['5189-56574-0025']
baby,1,0.01,0.17,1,0.02,['512-124549-0004']
be,1,0.01,0.17,1,0.02,['4340-15220-0015']
beauties,1,0.01,0.17,1,0.02,['4957-30119-0011']
beauty,1,0.01,0.17,1,0.02,['4321-15217-0004']
believing,1,0.01,0.17,1,0.02,['4535-279852-0007']
cabby,1,0.01,0.17,1,0.02,['392-131210-0036']
big,1,0.01,0.17,1,0.02,['7640-104647-0021']
bigger,1,0.01,0.17,1,0.02,['1746-143015-0033']
bit,1,0.01,0.17,1,0.02,['3083-7944-0057']
black,1,0.01,0.17,1,0.02,['6544-67863-0015']
blue,1,0.01,0.17,1,0.02,['8197-278214-0030']
bound,1,0.01,0.17,1,0.02,['7597-101859-0029']
bowed,1,0.01,0.17,1,0.02,['6051-54421-0026']
brave,1,0.01,0.17,1,0.02,['107-22887-0032']
breach,1,0.01,0.17,1,0.02,['4936-65528-0001']
broke,1,0.01,0.17,1,0.02,['5984-63095-0036']
bully,1,0.01,0.17,1,0.02,['7597-101859-0039']
burglars,1,0.01,0.17,1,0.02,['915-163369-0035']
buzzard,1,0.01,0.17,1,0.02,['6747-76101-0033']
dog,1,0.01,0.17,1,0.02,['2532-163402-0002']
doing,1,0.01,0.17,1,0.02,['288-131220-0011']
down,1,0.01,0.17,1,0.02,['8415-283469-0004']
above,1,0.01,0.17,1,0.02,['2003-143254-0029']
jamie,1,0.01,0.17,1,0.02,['188-141613-0034']
job,1,0.01,0.17,1,0.02,['1469-163403-0003']
jobs,1,0.01,0.17,1,0.02,['726-124445-0010']
john merrick,1,0.01,0.17,1,0.02,['4481-17499-0041']
judge,1,0.01,0.17,1,0.02,['2405-148581-0022']
kid,1,0.01,0.17,1,0.02,['264-121332-0084']
learned,1,0.01,0.17,1,0.02,['8430-172388-0009']
let,1,0.01,0.17,1,0.02,['3005-163391-0017']
likely,1,0.01,0.17,1,0.02,['4748-25901-0037']
line,1,0.01,0.17,1,0.02,['497-129325-0074']
liver,1,0.01,0.17,1,0.02,['7131-92815-0020']
living,1,0.01,0.17,1,0.02,['753-150477-0039']
looking,1,0.01,0.17,1,0.02,['188-136483-0019']
lot,1,0.01,0.17,1,0.02,['698-123197-0033']
interrupt,1,0.01,0.17,1,0.02,['2445-148556-0057']
luck,1,0.01,0.17,1,0.02,['1944-159228-0010']
lucky,1,0.01,0.17,1,0.02,['7597-101858-0043']
mad,1,0.01,0.17,1,0.02,['1809-143025-0022']
made,1,0.01,0.17,1,0.02,['6746-72302-0085']
maintaining,1,0.01,0.17,1,0.02,['712-123615-0075']
make,1,0.01,0.17,1,0.02,['3045-163406-0027']
manners,1,0.01,0.17,1,0.02,['4936-65528-0005']
many,1,0.01,0.17,1,0.02,['392-131210-0011']
married,1,0.01,0.17,1,0.02,['753-150477-0039']
maurice,1,0.01,0.17,1,0.02,['4586-61776-0011']
months,1,0.01,0.17,1,0.02,['4848-29108-0009']
moon,1,0.01,0.17,1,0.02,['4957-30119-0018']
moral,1,0.01,0.17,1,0.02,['1469-163403-0006']
jackson,1,0.01,0.17,1,0.02,['1265-135635-0051']
intending,1,0.01,0.17,1,0.02,['5653-46179-0054']
dreadnought,1,0.01,0.17,1,0.02,['7128-84122-0054']
ghost,1,0.01,0.17,1,0.02,['6378-61781-0005']
dreaming,1,0.01,0.17,1,0.02,['3819-134146-0058']
drug,1,0.01,0.17,1,0.02,['1025-92814-0019']
eat,1,0.01,0.17,1,0.02,['1970-26100-0026']
feather,1,0.01,0.17,1,0.02,['8195-117382-0058']
feeling,1,0.01,0.17,1,0.02,['753-32846-0026']
few,1,0.01,0.17,1,0.02,['3738-176680-0046']
flood,1,0.01,0.17,1,0.02,['7705-101579-0008']
fool,1,0.01,0.17,1,0.02,['5949-65530-0022']
fooling,1,0.01,0.17,1,0.02,['7198-80654-0010']
friend,1,0.01,0.17,1,0.02,['392-131210-0047']
from,1,0.01,0.17,1,0.02,['2532-163402-0046']
fussy,1,0.01,0.17,1,0.02,['1051-133883-0037']
getting,1,0.01,0.17,1,0.02,['5660-101854-0006']
glass,1,0.01,0.17,1,0.02,['2769-176256-0022']
ignorant,1,0.01,0.17,1,0.02,['1469-163403-0011']
gnaw,1,0.01,0.17,1,0.02,['2532-163402-0038']
greatest,1,0.01,0.17,1,0.02,['4992-41806-0010']
grumbling,1,0.01,0.17,1,0.02,['8778-246974-0021']
half,1,0.01,0.17,1,0.02,['1998-29454-0034']
handsome,1,0.01,0.17,1,0.02,['188-136483-0021']
have,1,0.01,0.17,1,0.02,['5909-111961-0032']
hisself,1,0.01,0.17,1,0.02,['7683-103530-0011']
horse,1,0.01,0.17,1,0.02,['4841-26659-0060']
house,1,0.01,0.17,1,0.02,['5837-39905-0021']
howling,1,0.01,0.17,1,0.02,['3490-177641-0009']
hungry,1,0.01,0.17,1,0.02,['1970-26100-0028']
husband,1,0.01,0.17,1,0.02,['7584-101856-0026']
idea,1,0.01,0.17,1,0.02,['6913-80509-0064']
yours,1,0.01,0.17,1,0.02,['6687-119386-0044']
