,SubjectRawCount,SubjectNormalizedCount,SubjectPercentTotal,SubjectFileCount,SubjectFilePercentTotal,SubjectFileList
i,96,0.989,16.58,91,1.56,"['1027-125140-0026', '103-1241-0027', '1051-133886-0028', '107-22887-0032', '1469-163403-0008', '1578-140045-0003', '1867-154075-0039', '188-136483-0028', '188-141613-0034', '1944-159230-0018', '1944-159230-0031', '1985-144468-0090', '1998-29454-0021', '1998-29455-0030', '2053-138901-0034', '2085-147970-0018', '2085-147971-0008', '2297-28913-0031', '2405-148581-0022', '2445-148556-0057', '2552-132097-0110', '2573-178450-0006', '2769-176256-0031', '2769-176256-0036', '2946-163375-0078', '3033-130750-0063', '3045-163406-0027', '3045-163406-0031', '3691-178118-0028', '3691-178118-0031', '3738-176682-0022', '3783-176659-0009', '3819-134146-0058', '3864-185126-0045', '392-131210-0022', '3934-102415-0047', '4340-15220-0083', '4535-279852-0007', '4748-25901-0007', '483-125116-0046', '4841-26659-0060', '4936-65528-0013', '4936-65528-0040', '497-129325-0016', '5445-21282-0053', '5480-41798-0010', '5731-50777-0029', '5860-72190-0033', '5886-27508-0050', '5910-53048-0011', '5949-65529-0037', '5952-54019-0017', '5952-54019-0019', '5984-63095-0017', '6051-54421-0019', '6051-54421-0026', '6051-54421-0027', '6104-58845-0008', '6248-302581-0006', '6251-93270-0056', '6313-66125-0001', '6378-61780-0008', '6446-78193-0008', '6506-10073-0021', '6614-67845-0011', '6636-74078-0013', '667-158816-0041', '6701-71404-0019', '6733-97084-0020', '6875-76999-0093', '7026-86941-0017', '712-123615-0075', '7198-80654-0010', '7205-64110-0006', '7220-77911-0041', '7318-96151-0046', '753-150477-0039', '7556-103535-0010', '7597-101859-0011', '7828-105179-0037', '7910-80534-0046', '82-122859-0011', '829-123192-0031', '8415-283469-0008', '8464-282934-0063', '8536-244441-0087', '8536-244442-0014', '8778-246974-0021', '915-163372-0014', '921-127933-0035', '921-127933-0050']"
it,90,0.927,15.54,83,1.42,"['107-22885-0037', '107-22887-0034', '1121-176698-0015', '1121-176698-0016', '1265-135635-0051', '1265-135635-0066', '1445-139387-0006', '1469-163403-0004', '1469-163403-0006', '1469-163403-0016', '1944-159230-0018', '1961-149739-0004', '2254-152826-0020', '2285-163381-0031', '2285-163381-0034', '2341-163407-0027', '2445-148556-0035', '2532-163402-0031', '2544-27475-0005', '2573-178450-0024', '2606-132102-0079', '3005-163391-0009', '3083-7944-0070', '3380-64298-0012', '3536-8226-0007', '3536-8226-0010', '3546-175390-0018', '3744-178590-0018', '392-131210-0033', '3994-156757-0039', '4423-29084-0017', '4748-25901-0037', '4848-29108-0009', '4848-29108-0020', '4899-32639-0035', '4936-65528-0001', '4936-65528-0005', '5189-56574-0025', '5190-87766-0023', '5246-30101-0025', '534-127538-0016', '5361-27491-0013', '5506-69895-0005', '5635-58137-0014', '5653-46179-0041', '5731-50777-0031', '5894-64095-0013', '5909-111961-0032', '5918-46890-0017', '5918-46890-0087', '5949-65530-0019', '608-123193-0047', '6426-64290-0046', '6505-231838-0011', '6519-231834-0033', '6687-119386-0042', '6687-119386-0044', '6733-97084-0006', '712-123615-0017', '7131-92815-0020', '7198-80652-0032', '7220-77911-0037', '753-32846-0026', '7556-103535-0040', '7705-101579-0033', '781-127518-0058', '7832-114468-0043', '7832-114468-0049', '7898-109860-0029', '7939-120318-0009', '797-127183-0018', '810-130095-0066', '8197-278214-0030', '82-122859-0012', '8498-287359-0030', '8498-287359-0031', '8531-282933-0056', '876-126411-0101', '8791-291101-0046', '8825-292253-0039', '915-163369-0043', '915-163372-0034', '978-125137-0054']"
there,73,0.752,12.61,70,1.2,"['1025-92814-0019', '1100-135264-0021', '1265-135635-0060', '1498-140041-0025', '1578-140045-0004', '1867-154071-0032', '188-136483-0023', '188-136483-0025', '1944-159230-0015', '2285-163380-0029', '2341-163408-0039', '2532-163402-0002', '2532-163402-0014', '2532-163402-0015', '2769-176256-0022', '2769-176256-0023', '288-131220-0004', '288-131220-0011', '2946-163375-0012', '3083-7944-0057', '3083-7944-0060', '3370-163384-0019', '3370-163384-0049', '3738-176680-0046', '3744-178590-0023', '392-131210-0011', '3945-29110-0048', '3982-178459-0002', '4148-134149-0033', '4267-78186-0027', '4422-283730-0051', '4570-56594-0010', '4586-61758-0009', '4586-61776-0023', '460-172359-0042', '4936-65528-0026', '4957-30119-0018', '497-129325-0074', '5039-1189-0050', '5093-29101-0020', '5660-101883-0026', '5731-50777-0023', '5789-57195-0034', '5837-39905-0021', '5886-27508-0088', '5949-65530-0017', '5949-65530-0021', '6276-62021-0048', '6276-62021-0069', '6284-63091-0034', '6378-61781-0005', '6446-78193-0035', '6538-81843-0008', '6643-67857-0004', '6687-119383-0015', '6904-262305-0012', '6904-262305-0013', '6904-262305-0042', '7198-80652-0023', '726-124445-0010', '726-124445-0011', '726-124445-0023', '726-124445-0024', '7507-100660-0020', '7705-101579-0008', '7832-114468-0053', '792-127528-0033', '797-127183-0019', '8028-233382-0025', '915-163370-0003']"
you,65,0.669,11.23,63,1.08,"['1027-125147-0024', '1051-133883-0037', '1100-135264-0011', '1445-139397-0012', '1809-143025-0022', '1985-144468-0101', '2297-28913-0021', '273-129288-0011', '288-131218-0026', '288-131218-0037', '2946-163375-0058', '2946-163375-0090', '3005-163391-0009', '3072-155948-0017', '3380-64298-0014', '3493-17615-0015', '3744-177438-0021', '3783-176659-0015', '3792-176660-0026', '3843-176663-0035', '3843-176666-0064', '392-131210-0017', '392-131210-0022', '392-131210-0023', '392-131210-0036', '4423-29083-0023', '4681-13056-0034', '483-125126-0074', '501-125128-0011', '512-124549-0004', '5386-4145-0021', '5506-69896-0010', '5636-41790-0014', '5725-48803-0040', '5883-59268-0016', '5949-65529-0000', '6097-293621-0024', '6104-58845-0011', '6104-58845-0016', '6284-63091-0063', '6284-63091-0064', '6288-63101-0016', '6353-63255-0080', '6544-67863-0015', '6687-119383-0025', '6687-119384-0041', '6695-252334-0036', '6841-88294-0024', '6841-88294-0060', '7140-72210-0028', '7198-80652-0032', '753-32846-0026', '7597-101858-0021', '7597-101858-0043', '7597-101859-0015', '7597-101859-0029', '782-126738-0089', '7898-109860-0022', '8066-114256-0008', '8430-172388-0009', '8531-282933-0061', '915-163372-0018', '953-130625-0064']"
he,48,0.494,8.29,47,0.81,"['1061-152224-0023', '107-22885-0037', '107-22887-0031', '1469-163403-0011', '1746-143015-0067', '1867-148436-0011', '1970-26100-0026', '1970-26100-0027', '1970-26100-0028', '1998-29455-0032', '2053-138901-0050', '2341-163408-0058', '3370-163384-0007', '3526-176653-0021', '3536-8226-0011', '377-129292-0029', '3792-176660-0037', '380-129064-0056', '3853-163249-0033', '392-131210-0045', '392-131210-0047', '3945-29110-0017', '4017-231846-0047', '4788-294466-0023', '4992-41797-0005', '5126-27504-0008', '5172-29468-0004', '5886-27508-0087', '5894-64095-0007', '6051-54421-0020', '64-76973-0023', '6519-231834-0023', '6747-76101-0033', '6902-89167-0045', '6913-80509-0023', '712-123615-0058', '712-123615-0075', '7188-107627-0040', '7220-77911-0033', '726-124445-0012', '753-32846-0049', '7584-101856-0026', '7640-104647-0021', '7683-103530-0011', '8404-282926-0055', '8415-283469-0090', '8464-282934-0060']"
that,34,0.35,5.87,34,0.58,"['1750-135624-0038', '1772-135621-0068', '1867-154071-0008', '1867-154071-0034', '188-136483-0023', '1998-29454-0017', '207-131203-0018', '2085-147971-0007', '2532-163402-0028', '2532-163402-0029', '283-130638-0046', '3005-163399-0025', '3045-163406-0031', '3691-178109-0025', '4267-78186-0014', '4511-45512-0004', '4680-16026-0035', '5246-30101-0031', '534-127538-0009', '5949-65530-0018', '6284-63091-0034', '6288-63101-0040', '6488-66120-0015', '6519-231834-0032', '6695-71407-0039', '6895-92806-0029', '6913-80509-0064', '698-123197-0033', '7198-80654-0012', '7597-101859-0013', '8415-283469-0004', '8536-244441-0030', '8536-244442-0007', '915-163369-0035']"
they,24,0.247,4.15,24,0.41,"['2085-147971-0016', '2769-176263-0007', '29-130626-0051', '3005-163391-0017', '307-127535-0024', '3370-163384-0012', '3780-177784-0017', '3864-185126-0022', '4262-14486-0037', '4267-78186-0004', '4423-29084-0035', '4586-61776-0009', '4957-30119-0011', '4992-41806-0010', '512-124549-0023', '5463-39174-0004', '5506-69896-0017', '6406-88089-0027', '667-158816-0015', '7226-86965-0008', '797-127183-0017', '8195-117382-0058', '8415-283469-0088', '8430-172387-0066']"
she,22,0.227,3.8,21,0.36,"['1100-135264-0011', '1867-154071-0007', '188-136483-0019', '188-136483-0021', '1944-159227-0012', '1944-159228-0022', '2393-144496-0059', '264-121332-0083', '264-121332-0084', '3792-176660-0013', '3792-176660-0042', '3792-176660-0043', '4226-185488-0022', '460-172359-0046', '497-129325-0060', '5653-46179-0054', '698-123197-0034', '712-123615-0092', '8195-117382-0066', '8415-283469-0080', '8684-293663-0075']"
we,13,0.134,2.25,12,0.21,"['1469-163403-0005', '1846-144458-0031', '2003-143254-0029', '2085-147971-0046', '2532-163402-0038', '3926-174988-0028', '6104-58845-0017', '6248-302581-0006', '6534-71091-0048', '7188-107627-0017', '7220-77907-0011', '915-163369-0035']"
constituentboundary,13,0.134,2.25,13,0.22,"['1746-143015-0033', '1998-29454-0016', '3783-176659-0026', '3783-176659-0059', '4340-15220-0015', '4511-45512-0004', '6035-74040-0034', '6288-63101-0019', '6446-78193-0015', '7226-86964-0052', '7584-101856-0024', '7597-101859-0018', '7597-101859-0039']"
this,11,0.113,1.9,11,0.19,"['1469-163403-0003', '1944-159228-0010', '1998-29455-0025', '2946-163375-0037', '3783-176659-0044', '3783-176659-0045', '3807-4923-0032', '4570-56594-0002', '5361-27491-0065', '5918-46890-0081', '8536-244441-0081']"
things,4,0.041,0.69,4,0.07,"['210-129396-0113', '4848-29108-0014', '4957-30119-0038', '915-163369-0035']"
jim,3,0.031,0.52,3,0.05,"['2532-163402-0016', '2532-163402-0028', '2532-163402-0046']"
master,3,0.031,0.52,3,0.05,"['288-131218-0020', '288-131218-0022', '6904-262305-0016']"
door,2,0.021,0.35,2,0.03,"['2341-163408-0051', '2341-163408-0066']"
name,2,0.021,0.35,2,0.03,"['4481-17499-0041', '8404-282926-0016']"
mother,2,0.021,0.35,2,0.03,"['3259-158083-0033', '3744-177438-0026']"
nothing,2,0.021,0.35,2,0.03,"['2769-176256-0031', '6276-62021-0031']"
gordons,2,0.021,0.35,2,0.03,"['1061-152224-0014', '1061-152224-0026']"
one,1,0.01,0.17,1,0.02,['4321-15217-0004']
way,1,0.01,0.17,1,0.02,['5139-30105-0038']
what,1,0.01,0.17,1,0.02,['2309-167347-0015']
necessity,1,0.01,0.17,1,0.02,['2532-163402-0013']
thing,1,0.01,0.17,1,0.02,['1746-143015-0067']
ones,1,0.01,0.17,1,0.02,['1998-29454-0034']
muscle,1,0.01,0.17,1,0.02,['5910-53048-0065']
murder,1,0.01,0.17,1,0.02,['4586-61776-0011']
much,1,0.01,0.17,1,0.02,['6248-302581-0005']
mountains,1,0.01,0.17,1,0.02,['3490-177641-0009']
minister,1,0.01,0.17,1,0.02,['5837-39905-0058']
mernside,1,0.01,0.17,1,0.02,['7354-87667-0100']
who,1,0.01,0.17,1,0.02,['829-123190-0028']
orders,1,0.01,0.17,1,0.02,['1944-159230-0017']
people,1,0.01,0.17,1,0.02,['1445-139397-0013']
plants,1,0.01,0.17,1,0.02,['1901-48014-0006']
training,1,0.01,0.17,1,0.02,['8838-298545-0031']
polly,1,0.01,0.17,1,0.02,['188-136483-0019']
profession,1,0.01,0.17,1,0.02,['6902-89167-0057']
man,1,0.01,0.17,1,0.02,['107-22887-0031']
raddle,1,0.01,0.17,1,0.02,['1265-135635-0023']
relationship,1,0.01,0.17,1,0.02,['7898-109860-0023']
sadie,1,0.01,0.17,1,0.02,['5660-101854-0006']
sara,1,0.01,0.17,1,0.02,['5949-65530-0013']
time,1,0.01,0.17,1,0.02,['483-125116-0036']
somebody,1,0.01,0.17,1,0.02,['7597-101859-0031']
squire,1,0.01,0.17,1,0.02,['781-127518-0009']
stuff,1,0.01,0.17,1,0.02,['226-122538-0014']
proposition,1,0.01,0.17,1,0.02,['5968-61356-0029']
an't,1,0.01,0.17,1,0.02,['6284-63091-0022']
lobstermen,1,0.01,0.17,1,0.02,['5910-53048-0004']
limberlost,1,0.01,0.17,1,0.02,['8195-117382-0090']
folks,1,0.01,0.17,1,0.02,['829-123191-0024']
fighting,1,0.01,0.17,1,0.02,['7704-106965-0028']
feller,1,0.01,0.17,1,0.02,['4267-78186-0015']
esther,1,0.01,0.17,1,0.02,['3780-177788-0006']
editor,1,0.01,0.17,1,0.02,['5304-55856-0011']
dermont,1,0.01,0.17,1,0.02,['7597-101877-0020']
dan,1,0.01,0.17,1,0.02,['5390-30102-0025']
church,1,0.01,0.17,1,0.02,['2573-178450-0017']
calhoun,1,0.01,0.17,1,0.02,['6051-61724-0020']
cab,1,0.01,0.17,1,0.02,['2769-176256-0031']
bucks,1,0.01,0.17,1,0.02,['6482-98857-0032']
brandy,1,0.01,0.17,1,0.02,['5361-27491-0056']
body,1,0.01,0.17,1,0.02,['1469-163403-0011']
blair,1,0.01,0.17,1,0.02,['7128-84122-0054']
berwin,1,0.01,0.17,1,0.02,['6505-231838-0030']
attitude,1,0.01,0.17,1,0.02,['7597-101859-0012']
any,1,0.01,0.17,1,0.02,['1845-145083-0026']
fool,1,0.01,0.17,1,0.02,['4957-30119-0010']
foreigners,1,0.01,0.17,1,0.02,['2085-147971-0015']
gee,1,0.01,0.17,1,0.02,['7597-101859-0043']
jackson,1,0.01,0.17,1,0.02,['8498-287359-0032']
letting,1,0.01,0.17,1,0.02,['2532-163402-0049']
angels,1,0.01,0.17,1,0.02,['5909-111961-0032']
labor,1,0.01,0.17,1,0.02,['2573-178450-0008']
kid,1,0.01,0.17,1,0.02,['7640-104647-0040']
john,1,0.01,0.17,1,0.02,['6913-80509-0070']
joel,1,0.01,0.17,1,0.02,['5321-53046-0044']
jeff,1,0.01,0.17,1,0.02,['5949-65530-0022']
irving,1,0.01,0.17,1,0.02,['177-122839-0007']
gents,1,0.01,0.17,1,0.02,['8531-282933-0061']
house,1,0.01,0.17,1,0.02,['2769-176256-0031']
horses,1,0.01,0.17,1,0.02,['288-131218-0031']
horse,1,0.01,0.17,1,0.02,['2769-176256-0031']
his,1,0.01,0.17,1,0.02,['5984-63095-0036']
head,1,0.01,0.17,1,0.02,['4017-231846-0034']
grandpa,1,0.01,0.17,1,0.02,['2085-147970-0017']
girls,1,0.01,0.17,1,0.02,['5949-65530-0020']
law,1,0.01,0.17,1,0.02,['6746-72302-0085']
