,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
you_ain't_constituentboundary,21,0.216,3.63,20,0.34,"['1100-135264-0011', '1985-144468-0101', '273-129288-0011', '2946-163375-0058', '3072-155948-0017', '3380-64298-0014', '3783-176659-0015', '3792-176660-0026', '392-131210-0022', '4681-13056-0034', '483-125126-0074', '5386-4145-0021', '5636-41790-0014', '5725-48803-0040', '6104-58845-0016', '6284-63091-0064', '6687-119383-0025', '7198-80652-0032', '7597-101859-0015', '8066-114256-0008']"
it_ain't_constituentboundary,19,0.196,3.28,19,0.33,"['1265-135635-0066', '2285-163381-0034', '2341-163407-0027', '2532-163402-0031', '2606-132102-0079', '3536-8226-0007', '3546-175390-0018', '5190-87766-0023', '5635-58137-0014', '5653-46179-0041', '5894-64095-0013', '5909-111961-0032', '5918-46890-0087', '608-123193-0047', '6426-64290-0046', '6687-119386-0042', '7198-80652-0032', '7556-103535-0040', '781-127518-0058']"
he_ain't_constituentboundary,7,0.072,1.21,7,0.12,"['3526-176653-0021', '377-129292-0029', '3853-163249-0033', '4017-231846-0047', '4788-294466-0023', '6902-89167-0045', '8464-282934-0060']"
there_ain't_nobody,6,0.062,1.04,6,0.1,"['3083-7944-0057', '5039-1189-0050', '5789-57195-0034', '6276-62021-0048', '6904-262305-0012', '726-124445-0024']"
she_ain't_constituentboundary,6,0.062,1.04,6,0.1,"['188-136483-0019', '264-121332-0083', '3792-176660-0042', '3792-176660-0043', '497-129325-0060', '698-123197-0034']"
i_ain't_sure,5,0.051,0.86,5,0.09,"['1578-140045-0003', '1998-29455-0030', '4936-65528-0013', '6313-66125-0001', '7205-64110-0006']"
i_ain't_got,5,0.051,0.86,5,0.09,"['2085-147970-0018', '6104-58845-0008', '6248-302581-0006', '6614-67845-0011', '8536-244442-0014']"
they_ain't_constituentboundary,5,0.051,0.86,5,0.09,"['307-127535-0024', '4267-78186-0004', '5463-39174-0004', '6406-88089-0027', '667-158816-0015']"
there_ain't_nothing,5,0.051,0.86,5,0.09,"['288-131220-0004', '3083-7944-0060', '3370-163384-0019', '6643-67857-0004', '915-163370-0003']"
it_ain't_use,5,0.051,0.86,5,0.09,"['1469-163403-0004', '1469-163403-0016', '2254-152826-0020', '3083-7944-0070', '6505-231838-0011']"
i_ain't_constituentboundary,4,0.041,0.69,4,0.07,"['103-1241-0027', '3738-176682-0022', '5984-63095-0017', '7597-101859-0011']"
i_ain't_seen,4,0.041,0.69,4,0.07,"['5860-72190-0033', '5886-27508-0050', '8464-282934-0063', '8536-244441-0087']"
there_ain't_constituentboundary,4,0.041,0.69,4,0.07,"['1100-135264-0021', '1867-154071-0032', '6687-119383-0015', '7507-100660-0020']"
i_ain't_afraid,4,0.041,0.69,4,0.07,"['2552-132097-0110', '4340-15220-0083', '6251-93270-0056', '7220-77911-0041']"
we_ain't_got,4,0.041,0.69,4,0.07,"['1469-163403-0005', '2085-147971-0046', '6248-302581-0006', '7188-107627-0017']"
he_ain't_like,3,0.031,0.52,3,0.05,"['712-123615-0075', '726-124445-0012', '8415-283469-0090']"
he_ain't_man,3,0.031,0.52,3,0.05,"['6913-80509-0023', '712-123615-0058', '8404-282926-0055']"
he_ain't_here,3,0.031,0.52,3,0.05,"['2341-163408-0058', '5172-29468-0004', '7188-107627-0040']"
he_ain't_got,3,0.031,0.52,3,0.05,"['3526-176653-0021', '380-129064-0056', '6051-54421-0020']"
it_ain't_right,3,0.031,0.52,3,0.05,"['1469-163403-0006', '7705-101579-0033', '810-130095-0066']"
that_ain't_constituentboundary,3,0.031,0.52,3,0.05,"['1772-135621-0068', '283-130638-0046', '3691-178109-0025']"
you_ain't_fit,3,0.031,0.52,3,0.05,"['288-131218-0037', '392-131210-0023', '6841-88294-0024']"
that_ain't_all,3,0.031,0.52,3,0.05,"['1750-135624-0038', '6488-66120-0015', '7597-101859-0013']"
there_ain't_time,3,0.031,0.52,3,0.05,"['1265-135635-0060', '4422-283730-0051', '797-127183-0019']"
you_ain't_got,3,0.031,0.52,3,0.05,"['3493-17615-0015', '3744-177438-0021', '6097-293621-0024']"
it_ain't_for,3,0.031,0.52,2,0.03,"['6519-231834-0033', '978-125137-0054']"
it_ain't_one,3,0.031,0.52,3,0.05,"['6733-97084-0006', '7939-120318-0009', '8825-292253-0039']"
constituentboundary_ain't_constituentboundary,3,0.031,0.52,3,0.05,"['6446-78193-0015', '7584-101856-0024', '7597-101859-0018']"
there_ain't_man,3,0.031,0.52,3,0.05,"['3945-29110-0048', '5949-65530-0017', '6276-62021-0069']"
that_ain't_right,3,0.031,0.52,3,0.05,"['1867-154071-0008', '6519-231834-0032', '6895-92806-0029']"
there_ain't_much,3,0.031,0.52,3,0.05,"['1944-159230-0015', '3744-178590-0023', '4586-61758-0009']"
there_ain't_chance,2,0.021,0.35,2,0.03,"['5886-27508-0088', '7832-114468-0053']"
it_ain't_him,2,0.021,0.35,2,0.03,"['3005-163391-0009', '8498-287359-0030']"
they_ain't_got,2,0.021,0.35,2,0.03,"['3864-185126-0022', '797-127183-0017']"
it_ain't_like,2,0.021,0.35,1,0.02,['4423-29084-0017']
that_ain't_so,2,0.021,0.35,2,0.03,"['6695-71407-0039', '8536-244441-0030']"
i_ain't_better,2,0.021,0.35,2,0.03,"['5949-65529-0037', '6506-10073-0021']"
we_ain't_constituentboundary,2,0.021,0.35,2,0.03,"['1846-144458-0031', '6534-71091-0048']"
it_ain't_that,2,0.021,0.35,2,0.03,"['876-126411-0101', '978-125137-0054']"
it_ain't_much,2,0.021,0.35,2,0.03,"['1944-159230-0018', '5246-30101-0025']"
that_ain't_what,2,0.021,0.35,2,0.03,"['1998-29454-0017', '8536-244442-0007']"
that_ain't_got,2,0.021,0.35,2,0.03,"['2532-163402-0029', '3045-163406-0031']"
it_ain't_so,2,0.021,0.35,2,0.03,"['3994-156757-0039', '915-163372-0034']"
i_ain't_going,2,0.021,0.35,2,0.03,"['5480-41798-0010', '6636-74078-0013']"
there_ain't_use,2,0.021,0.35,2,0.03,"['4570-56594-0010', '4936-65528-0026']"
this_ain't_time,2,0.021,0.35,2,0.03,"['2946-163375-0037', '3807-4923-0032']"
