,POSPatternRawCount,POSPatternNormalizedCount,POSPatternPercentTotal,POSPatternFileRawCount,POSPatternFilePercentTotal,POSPatternFileList
PronounPersonal_ain't_Adjective,4,0.122,13.33,4,0.08,"['sw2893B-ms98-a', 'sw2968B-ms98-a', 'sw3379A-ms98-a', 'sw4063A-ms98-a']"
ConstituentBoundary_ain't_ConstituentBoundary,3,0.092,10.0,3,0.06,"['sw3348A-ms98-a', 'sw3348B-ms98-a', 'sw_4577']"
PronounPersonal_ain't_VerbPastParticiple,3,0.092,10.0,3,0.06,"['sw2536A-ms98-a', 'sw2692A-ms98-a', 'sw2913B-ms98-a']"
PronounDemonstrative_ain't_Adjective,2,0.061,6.67,2,0.04,"['sw2277B-ms98-a', 'sw2280A-ms98-a']"
Noun_ain't_Noun,2,0.061,6.67,2,0.04,"['sw2575A-ms98-a', 'sw2911A-ms98-a']"
PronounNonReferential_ain't_PronounIndefinite,2,0.061,6.67,2,0.04,"['sw2044B-ms98-a', 'sw3990B-ms98-a']"
PronounPersonal_ain't_ConstituentBoundary,2,0.061,6.67,2,0.04,"['sw2277A-ms98-a', 'sw2692A-ms98-a']"
PronounPersonal_ain't_Noun,2,0.061,6.67,2,0.04,"['sw3348A-ms98-a', 'sw4065B-ms98-a']"
PronounPersonal_ain't_VerbBase,2,0.061,6.67,2,0.04,"['sw3435A-ms98-a', 'sw3695B-ms98-a']"
Noun_ain't_VerbBase,1,0.031,3.33,1,0.02,['sw3415A-ms98-a']
Noun_ain't_VerbPastParticiple,1,0.031,3.33,1,0.02,['sw2136A-ms98-a']
PronounDemonstrative_ain't_PronounRelative,1,0.031,3.33,1,0.02,['sw2410B-ms98-a']
PronounDemonstrative_ain't_VerbBase,1,0.031,3.33,1,0.02,['sw4219A-ms98-a']
PronounNonReferential_ain't_Noun,1,0.031,3.33,1,0.02,['sw3415A-ms98-a']
PronounNonReferential_ain't_VerbPresentParticiple,1,0.031,3.33,1,0.02,['sw4126B-ms98-a']
Noun_ain't_Preposition,1,0.031,3.33,1,0.02,['sw3971B-ms98-a']
PronounIndefinite_ain't_VerbBase,1,0.031,3.33,1,0.02,['sw2521B-ms98-a']
