,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
constituentboundary,5,0.153,16.67,5,0.1,"['sw2277A-ms98-a', 'sw2692A-ms98-a', 'sw3348A-ms98-a', 'sw3348B-ms98-a', 'sw_4577']"
able,2,0.061,6.67,2,0.04,"['sw3379A-ms98-a', 'sw4063A-ms98-a']"
got,2,0.061,6.67,2,0.04,"['sw2536A-ms98-a', 'sw2913B-ms98-a']"
right,2,0.061,6.67,2,0.04,"['sw2277B-ms98-a', 'sw2280A-ms98-a']"
on,1,0.031,3.33,1,0.02,['sw3971B-ms98-a']
went,1,0.031,3.33,1,0.02,['sw2136A-ms98-a']
way,1,0.031,3.33,1,0.02,['sw2575A-ms98-a']
tetris,1,0.031,3.33,1,0.02,['sw3348A-ms98-a']
stop,1,0.031,3.33,1,0.02,['sw3415A-ms98-a']
raining,1,0.031,3.33,1,0.02,['sw4126B-ms98-a']
problem,1,0.031,3.33,1,0.02,['sw4065B-ms98-a']
poor,1,0.031,3.33,1,0.02,['sw2968B-ms98-a']
nobody,1,0.031,3.33,1,0.02,['sw2044B-ms98-a']
nothing,1,0.031,3.33,1,0.02,['sw3990B-ms98-a']
bad,1,0.031,3.33,1,0.02,['sw2893B-ms98-a']
impress,1,0.031,3.33,1,0.02,['sw3695B-ms98-a']
how,1,0.031,3.33,1,0.02,['sw2410B-ms98-a']
home,1,0.031,3.33,1,0.02,['sw2911A-ms98-a']
happen,1,0.031,3.33,1,0.02,['sw3435A-ms98-a']
broke,1,0.031,3.33,1,0.02,['sw2692A-ms98-a']
bedrooms,1,0.031,3.33,1,0.02,['sw3415A-ms98-a']
beat,1,0.031,3.33,1,0.02,['sw2521B-ms98-a']
work,1,0.031,3.33,1,0.02,['sw4219A-ms98-a']
