,SubjectRawCount,SubjectNormalizedCount,SubjectPercentTotal,SubjectFileCount,SubjectFilePercentTotal,SubjectFileList
it,7,0.214,23.33,6,0.12,"['sw2277A-ms98-a', 'sw2692A-ms98-a', 'sw2893B-ms98-a', 'sw3348A-ms98-a', 'sw3435A-ms98-a', 'sw4065B-ms98-a']"
that,4,0.122,13.33,4,0.08,"['sw2277B-ms98-a', 'sw2280A-ms98-a', 'sw2410B-ms98-a', 'sw4219A-ms98-a']"
there,4,0.122,13.33,4,0.08,"['sw2044B-ms98-a', 'sw3415A-ms98-a', 'sw3990B-ms98-a', 'sw4126B-ms98-a']"
constituentboundary,3,0.092,10.0,3,0.06,"['sw3348A-ms98-a', 'sw3348B-ms98-a', 'sw_4577']"
you,2,0.061,6.67,2,0.04,"['sw2913B-ms98-a', 'sw3695B-ms98-a']"
control,1,0.031,3.33,1,0.02,['sw3415A-ms98-a']
football,1,0.031,3.33,1,0.02,['sw3971B-ms98-a']
he,1,0.031,3.33,1,0.02,['sw2968B-ms98-a']
i,1,0.031,3.33,1,0.02,['sw2536A-ms98-a']
mother,1,0.031,3.33,1,0.02,['sw2911A-ms98-a']
nobody,1,0.031,3.33,1,0.02,['sw2521B-ms98-a']
people,1,0.031,3.33,1,0.02,['sw2136A-ms98-a']
they,1,0.031,3.33,1,0.02,['sw3379A-ms98-a']
things,1,0.031,3.33,1,0.02,['sw2575A-ms98-a']
we,1,0.031,3.33,1,0.02,['sw4063A-ms98-a']
