,coraal,fisher,librispeech,switchboardhub5,timit
TotalCorpusWordCount,1380054.0,22573523.0,9708777.0,3269582.0,23012.0
TotalWordInstancesCount,5608.0,106934.0,54963.0,14378.0,57.0
NormalizedWordInstancesCount,406.36,473.71,566.12,439.75,247.7
TotalFileCount,231.0,11699.0,5831.0,4916.0,2463.0
FeatureCount,436,161,8,,
FeatureCountNormalized,31.593,0.713,0.082,,
FilesWithFeatureCount,101,116,8,,
PercentTotalFilesWithFeature,43.72,0.99,0.14,,
FilesWithFeatureList,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_f_03_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_01_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_04_1', 'DCA_se1_ag1_m_05_1', 'DCA_se1_ag1_m_07_1', 'DCA_se1_ag1_m_08_1', 'DCA_se2_ag1_f_01_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_03_1', 'DCA_se2_ag1_f_04_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_f_07_1', 'DCA_se2_ag1_m_01_1', 'DCA_se2_ag1_m_03_1', 'DCA_se2_ag1_m_04_1', 'DCA_se3_ag1_f_01_1', 'DCA_se3_ag1_f_02_1', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_f_04_1', 'DCA_se3_ag1_m_02_1', 'DCA_se3_ag1_m_05_1', 'DCA_se3_ag1_m_06_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_02_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_02_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_01_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_02_1', 'DCB_se1_ag3_f_02_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag1_m_01_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag3_m_02_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag1_m_01_1', 'DCB_se3_ag1_m_01_2', 'DCB_se3_ag3_f_02_1', 'DCB_se3_ag3_m_02_1', 'DCB_se3_ag3_m_02_2', 'LES_se0_ag2_f_01_1', 'LES_se0_ag2_f_01_2', 'LES_se0_ag3_m_01_2', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_f_01_2', 'PRV_se0_ag1_f_02_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_01_4', 'PRV_se0_ag2_f_02_2', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_f_04_1', 'PRV_se0_ag3_f_04_3', 'PRV_se0_ag3_m_01_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_01_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'ROC_se0_ag2_f_04_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1']","['fe0300492', 'fe0300505', 'fe0300558', 'fe0300598', 'fe0300693', 'fe0300860', 'fe0300967', 'fe0301323', 'fe0301431', 'fe0301485', 'fe0301544', 'fe0301997', 'fe0302048', 'fe0302163', 'fe0302192', 'fe0302283', 'fe0302344', 'fe0302805', 'fe0302848', 'fe0303030', 'fe0303247', 'fe0303253', 'fe0303435', 'fe0303794', 'fe0303809', 'fe0303901', 'fe0304382', 'fe0304440', 'fe0304524', 'fe0304610', 'fe0304618', 'fe0305053', 'fe0305062', 'fe0305068', 'fe0305097', 'fe0305218', 'fe0305321', 'fe0305451', 'fe0305572', 'fe0305757', 'fe0305779', 'fe0305874', 'fe0305877', 'fe0305880', 'fe0305883', 'fe0305927', 'fe0306508', 'fe0306522', 'fe0306643', 'fe0306733', 'fe0306857', 'fe0307151', 'fe0307153', 'fe0307156', 'fe0307219', 'fe0307255', 'fe0307601', 'fe0307794', 'fe0307810', 'fe0307954', 'fe0307956', 'fe0308026', 'fe0308050', 'fe0308322', 'fe0308472', 'fe0308483', 'fe0308864', 'fe0308935', 'fe0309117', 'fe0309152', 'fe0309183', 'fe0309205', 'fe0309335', 'fe0309336', 'fe0309522', 'fe0309531', 'fe0309549', 'fe0309553', 'fe0309595', 'fe0309687', 'fe0309778', 'fe0309957', 'fe0310000', 'fe0310001', 'fe0310114', 'fe0310237', 'fe0310266', 'fe0310277', 'fe0310286', 'fe0310306', 'fe0310309', 'fe0310332', 'fe0310354', 'fe0310428', 'fe0310489', 'fe0310492', 'fe0310495', 'fe0310570', 'fe0310574', 'fe0310592', 'fe0310630', 'fe0310753', 'fe0310756', 'fe0310784', 'fe0310861', 'fe0310883', 'fe0310921', 'fe0311071', 'fe0311212', 'fe0311281', 'fe0311468', 'fe0311476', 'fe0311497', 'fe0311518', 'fe0311635', 'fe0311687']","['1460-138289-0003', '1649-150127-0042', '2201-160438-0033', '3479-153286-0038', '4712-93896-0036', '5894-64095-0014', '6060-58090-0004', '7134-67233-0006']",,
SubjectWordTypeCount,68,28,6,,
PredicateWordTypeCount,164,83,8,,
PossiblePOSPatternCount,45,45,45,,
OccuringPOSPatternCount,34,19,4,,
PercentTotalPOSPatternOccuringCount,75.56,42.22,8.89,,
