,POSPatternRawCount,POSPatternNormalizedCount,POSPatternPercentTotal,POSPatternFileRawCount,POSPatternFilePercentTotal,POSPatternFileList
PronounPersonal_be_VerbPresentParticiple,130,9.42,29.82,52,22.51,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_f_03_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_04_1', 'DCA_se1_ag1_m_08_1', 'DCA_se2_ag1_f_03_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_f_07_1', 'DCA_se2_ag1_m_01_1', 'DCA_se2_ag1_m_03_1', 'DCA_se2_ag1_m_04_1', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_f_04_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_02_1', 'DCB_se1_ag1_m_02_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_02_1', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag3_m_03_1', 'DCB_se3_ag1_f_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_02_2', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_01_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1']"
PronounPersonal_be_QuotativeLike,81,5.869,18.58,33,14.29,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_f_03_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_01_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag1_m_01_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag3_m_02_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag1_m_01_2', 'LES_se0_ag2_f_01_1', 'LES_se0_ag2_f_01_2', 'LES_se0_ag3_m_01_2', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag1_m_01_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'ROC_se0_ag2_f_04_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2']"
PronounPersonal_be_Adjective,34,2.464,7.8,24,10.39,"['ATL_se0_ag1_f_03_1', 'ATL_se0_ag1_m_04_2', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se2_ag1_f_02_1', 'DCA_se3_ag1_m_06_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_02_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag3_m_02_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag1_f_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_04_3', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1']"
Noun_be_VerbPresentParticiple,30,2.174,6.88,19,8.23,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_m_04_1', 'DCA_se2_ag1_f_05_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_m_02_1', 'ROC_se0_ag1_m_01_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag2_f_02_1']"
PronounPersonal_be_Preposition,27,1.956,6.19,20,8.66,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_04_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_m_05_1', 'DCA_se1_ag1_m_07_1', 'DCA_se2_ag1_f_01_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_f_07_1', 'DCA_se2_ag1_m_03_1', 'DCA_se3_ag1_f_02_1', 'DCB_se1_ag2_f_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag4_f_01_2', 'DCB_se3_ag3_m_02_2', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_f_01_1']"
Noun_be_Adjective,17,1.232,3.9,15,6.49,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_04_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag3_m_03_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag1_m_01_1']"
PronounPersonal_be_Adverb,15,1.087,3.44,14,6.06,"['ATL_se0_ag2_m_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_05_1', 'DCA_se2_ag1_f_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag4_f_01_2', 'DCB_se3_ag3_f_02_1', 'LES_se0_ag3_m_01_2', 'PRV_se0_ag3_f_04_1', 'PRV_se0_ag3_m_02_1']"
PronounNonReferential_be_QuotativeLike,14,1.014,3.21,7,3.03,"['ATL_se0_ag1_m_01_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_01_1', 'ROC_se0_ag1_m_01_1']"
Noun_be_QuotativeLike,13,0.942,2.98,12,5.19,"['ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag2_f_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se3_ag3_m_02_1', 'PRV_se0_ag1_f_01_2', 'PRV_se0_ag1_f_02_1', 'ROC_se0_ag1_m_01_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag2_f_02_1']"
Noun_be_Preposition,9,0.652,2.06,8,3.46,"['DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_m_03_1', 'DCA_se2_ag1_m_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se2_ag2_f_01_1']"
PronounNonReferential_be_Noun,9,0.652,2.06,7,3.03,"['ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_04_1', 'DCA_se2_ag1_f_03_1', 'DCA_se3_ag1_m_05_1', 'DCB_se3_ag1_f_01_1', 'ROC_se0_ag1_m_02_1']"
