,PredicatePOSRawCount,PredicatePOSNormalizedCount,PredicatePOSPercentTotal,PredicatePOSFileRawCount,PredicatePOSFilePercentTotal,PredicatePOSFileList
VerbPresentParticiple,169,12.246,38.76,58,25.11,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_f_03_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_f_02_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_02_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_04_1', 'DCA_se1_ag1_m_08_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_03_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_f_07_1', 'DCA_se2_ag1_m_01_1', 'DCA_se2_ag1_m_03_1', 'DCA_se2_ag1_m_04_1', 'DCA_se3_ag1_f_03_1', 'DCA_se3_ag1_f_04_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_02_1', 'DCB_se1_ag1_m_02_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_f_03_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_02_1', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag4_f_01_2', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag1_f_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag2_f_02_2', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_03_1', 'PRV_se0_ag3_m_01_1', 'PRV_se0_ag3_m_02_1', 'PRV_se0_ag3_m_03_1', 'ROC_se0_ag1_m_01_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1', 'VLD_se0_ag4_f_01_1']"
QuotativeLike,110,7.971,25.23,41,17.75,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_f_02_1', 'ATL_se0_ag1_f_03_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_01_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_01_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag1_m_01_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag3_m_02_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag1_m_01_2', 'DCB_se3_ag3_m_02_1', 'LES_se0_ag2_f_01_1', 'LES_se0_ag2_f_01_2', 'LES_se0_ag3_m_01_2', 'PRV_se0_ag1_f_01_1', 'PRV_se0_ag1_f_01_2', 'PRV_se0_ag1_f_02_1', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag1_m_01_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'ROC_se0_ag2_f_04_1', 'VLD_se0_ag2_f_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2']"
Adjective,60,4.348,13.76,39,16.88,"['ATL_se0_ag1_f_03_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag1_m_03_1', 'ATL_se0_ag1_m_04_2', 'ATL_se0_ag2_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_f_05_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_m_03_1', 'DCA_se3_ag1_m_06_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag2_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se1_ag2_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_01_1', 'DCB_se1_ag3_f_02_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag3_m_02_1', 'DCB_se2_ag3_m_03_1', 'DCB_se2_ag4_f_05_1', 'DCB_se3_ag1_f_01_1', 'DCB_se3_ag1_m_01_1', 'PRV_se0_ag1_m_02_1', 'PRV_se0_ag3_f_04_3', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag3_m_03_1']"
Preposition,42,3.043,9.63,26,11.26,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_04_1', 'DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_05_1', 'DCA_se1_ag1_m_07_1', 'DCA_se2_ag1_f_01_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_f_07_1', 'DCA_se2_ag1_m_03_1', 'DCA_se2_ag1_m_04_1', 'DCA_se3_ag1_f_02_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_f_01_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_f_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag2_f_01_1', 'DCB_se3_ag3_m_02_2', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag1_m_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_f_01_1']"
Adverb,21,1.522,4.82,18,7.79,"['ATL_se0_ag2_m_01_1', 'DCA_se1_ag1_f_02_1', 'DCA_se1_ag1_f_04_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag1_m_03_1', 'DCA_se1_ag1_m_05_1', 'DCA_se2_ag1_f_03_1', 'DCA_se2_ag1_m_03_1', 'DCB_se1_ag1_f_03_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag4_f_01_2', 'DCB_se1_ag4_m_02_1', 'DCB_se3_ag3_f_02_1', 'LES_se0_ag3_m_01_2', 'PRV_se0_ag2_f_03_1', 'PRV_se0_ag3_f_04_1', 'PRV_se0_ag3_m_02_1']"
Noun,16,1.159,3.67,13,5.63,"['ATL_se0_ag1_m_01_1', 'ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_f_05_1', 'DCA_se1_ag1_m_02_1', 'DCA_se1_ag1_m_04_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_03_1', 'DCA_se2_ag1_f_04_1', 'DCA_se3_ag1_m_05_1', 'DCB_se1_ag2_m_03_2', 'DCB_se3_ag1_f_01_1', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag1_m_02_1']"
PronounPersonal,7,0.507,1.61,5,2.16,"['DCA_se1_ag1_m_01_1', 'DCA_se1_ag1_m_02_1', 'DCA_se2_ag1_f_02_1', 'DCA_se2_ag1_f_05_1', 'DCA_se3_ag1_f_01_1']"
VerbPastParticiple,5,0.362,1.15,5,2.16,"['DCA_se1_ag1_f_04_1', 'DCA_se3_ag1_m_02_1', 'PRV_se0_ag2_f_01_4', 'PRV_se0_ag2_m_01_1', 'ROC_se0_ag2_f_04_1']"
PronounIndefinite,3,0.217,0.69,3,1.3,"['DCA_se1_ag1_m_01_1', 'DCB_se1_ag1_f_02_1', 'DCB_se1_ag3_m_02_1']"
Disfluency,2,0.145,0.46,2,0.87,"['DCA_se1_ag1_m_04_1', 'DCA_se2_ag1_f_03_1']"
