,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
they_be_like,34,2.464,7.8,21,9.09,"['ATL_se0_ag1_f_03_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'ATL_se0_ag2_m_01_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag1_m_01_1', 'DCB_se3_ag1_f_01_1', 'LES_se0_ag2_f_01_1', 'LES_se0_ag2_f_01_2', 'LES_se0_ag3_m_01_2', 'PRV_se0_ag1_m_02_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag2_m_01_1']"
it_be_like,19,1.377,4.36,7,3.03,"['ATL_se0_ag1_m_01_1', 'DCB_se1_ag1_f_01_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_01_1', 'ROC_se0_ag1_m_01_1']"
i_be_like,19,1.377,4.36,15,6.49,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_02_1', 'DCB_se1_ag1_m_01_1', 'DCB_se1_ag1_m_03_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag2_m_03_2', 'DCB_se1_ag3_m_02_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag3_m_02_1', 'LES_se0_ag3_m_01_2', 'ROC_se0_ag1_m_01_1', 'ROC_se0_ag2_f_04_1', 'VLD_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2']"
you_be_like,15,1.087,3.44,9,3.9,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag1_m_01_1', 'ATL_se0_ag1_m_03_1', 'DCB_se1_ag2_m_02_1', 'DCB_se1_ag3_m_03_1', 'DCB_se2_ag2_f_01_1', 'DCB_se2_ag4_f_05_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag2_f_02_1']"
i_be_playing,5,0.362,1.15,3,1.3,"['ATL_se0_ag1_f_01_1', 'DCA_se1_ag1_m_08_1', 'DCA_se2_ag1_m_04_1']"
she_be_like,5,0.362,1.15,4,1.73,"['ATL_se0_ag1_f_03_1', 'ATL_se0_ag1_m_03_1', 'DCB_se1_ag4_f_01_2', 'DCB_se2_ag2_f_01_1']"
i_be_trying,5,0.362,1.15,4,1.73,"['ATL_se0_ag1_f_01_1', 'ATL_se0_ag2_m_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_f_01_1']"
i_be_with,4,0.29,0.92,4,1.73,"['DCA_se1_ag1_f_01_1', 'DCA_se1_ag1_m_05_1', 'DCA_se2_ag1_f_05_1', 'DCA_se2_ag1_f_07_1']"
they_be_trying,4,0.29,0.92,3,1.3,"['ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_m_03_1', 'DCB_se1_ag1_f_02_1']"
people_be_like,4,0.29,0.92,4,1.73,"['DCB_se1_ag2_m_02_1', 'PRV_se0_ag1_f_01_2', 'ROC_se0_ag2_f_02_1', 'VLD_se0_ag2_f_02_1']"
