,SubjectRawCount,SubjectNormalizedCount,SubjectPercentTotal,SubjectFileCount,SubjectFilePercentTotal,SubjectFileList
they,54,0.239,33.54,45,0.38,"['fe0300967', 'fe0301323', 'fe0301485', 'fe0301544', 'fe0301997', 'fe0302192', 'fe0302344', 'fe0303253', 'fe0303435', 'fe0303901', 'fe0304610', 'fe0304618', 'fe0305053', 'fe0305068', 'fe0305097', 'fe0305321', 'fe0306508', 'fe0307255', 'fe0307601', 'fe0307794', 'fe0307810', 'fe0307954', 'fe0308050', 'fe0308472', 'fe0308483', 'fe0308864', 'fe0308935', 'fe0309183', 'fe0309549', 'fe0309553', 'fe0309595', 'fe0309687', 'fe0310000', 'fe0310114', 'fe0310237', 'fe0310306', 'fe0310309', 'fe0310332', 'fe0310354', 'fe0310428', 'fe0310630', 'fe0310756', 'fe0311476', 'fe0311518', 'fe0311635']"
i,35,0.155,21.74,29,0.25,"['fe0300492', 'fe0302283', 'fe0302344', 'fe0302805', 'fe0302848', 'fe0303809', 'fe0304618', 'fe0305451', 'fe0305779', 'fe0305874', 'fe0305880', 'fe0307151', 'fe0307153', 'fe0308472', 'fe0308935', 'fe0309117', 'fe0309152', 'fe0309205', 'fe0309335', 'fe0309531', 'fe0309549', 'fe0309957', 'fe0310001', 'fe0310266', 'fe0310492', 'fe0310495', 'fe0311212', 'fe0311281', 'fe0311687']"
you,19,0.084,11.8,16,0.14,"['fe0302048', 'fe0302163', 'fe0303794', 'fe0304382', 'fe0304440', 'fe0305062', 'fe0305572', 'fe0305883', 'fe0306522', 'fe0308322', 'fe0309522', 'fe0310266', 'fe0310574', 'fe0311071', 'fe0311497', 'fe0311518']"
it,13,0.058,8.07,11,0.09,"['fe0300598', 'fe0300693', 'fe0305218', 'fe0305927', 'fe0306733', 'fe0307601', 'fe0309778', 'fe0310266', 'fe0310570', 'fe0310592', 'fe0310753']"
people,9,0.04,5.59,9,0.08,"['fe0300860', 'fe0301431', 'fe0302192', 'fe0304524', 'fe0307956', 'fe0310286', 'fe0310592', 'fe0310883', 'fe0311468']"
he,5,0.022,3.11,4,0.03,"['fe0302048', 'fe0303247', 'fe0306857', 'fe0307810']"
y'all,3,0.013,1.86,2,0.02,"['fe0307255', 'fe0311071']"
we,2,0.009,1.24,2,0.02,"['fe0303030', 'fe0307219']"
she,2,0.009,1.24,2,0.02,"['fe0307810', 'fe0310921']"
motherboard,1,0.004,0.62,1,0.01,['fe0305757']
who,1,0.004,0.62,1,0.01,['fe0305877']
subjects,1,0.004,0.62,1,0.01,['fe0300558']
son,1,0.004,0.62,1,0.01,['fe0310277']
school,1,0.004,0.62,1,0.01,['fe0306643']
nephews,1,0.004,0.62,1,0.01,['fe0304618']
blood pressure,1,0.004,0.62,1,0.01,['fe0307156']
most,1,0.004,0.62,1,0.01,['fe0307794']
boyfriend,1,0.004,0.62,1,0.01,['fe0310495']
lot,1,0.004,0.62,1,0.01,['fe0310000']
kids,1,0.004,0.62,1,0.01,['fe0308026']
kid,1,0.004,0.62,1,0.01,['fe0310784']
husbands,1,0.004,0.62,1,0.01,['fe0308935']
houses,1,0.004,0.62,1,0.01,['fe0307601']
hours,1,0.004,0.62,1,0.01,['fe0310861']
everybody,1,0.004,0.62,1,0.01,['fe0311468']
dollars,1,0.004,0.62,1,0.01,['fe0300505']
city,1,0.004,0.62,1,0.01,['fe0309336']
men,1,0.004,0.62,1,0.01,['fe0310489']
