,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
they_be_like,8,0.035,4.97,8,0.07,"['fe0302344', 'fe0303253', 'fe0303435', 'fe0305053', 'fe0307601', 'fe0307810', 'fe0307954', 'fe0311635']"
they_be_doing,5,0.022,3.11,5,0.04,"['fe0301485', 'fe0301997', 'fe0303901', 'fe0310237', 'fe0310630']"
i_be_going,4,0.018,2.48,2,0.02,"['fe0302283', 'fe0309152']"
you_be_working,3,0.013,1.86,1,0.01,['fe0310266']
i_be_looking,3,0.013,1.86,3,0.03,"['fe0304618', 'fe0305779', 'fe0310001']"
they_be_trying,3,0.013,1.86,3,0.03,"['fe0304618', 'fe0309183', 'fe0310428']"
i_be_watching,3,0.013,1.86,2,0.02,"['fe0308472', 'fe0309205']"
i_be_bothered,2,0.009,1.24,2,0.02,"['fe0309117', 'fe0310492']"
they_be_showing,2,0.009,1.24,2,0.02,"['fe0307601', 'fe0310000']"
you_be_watching,2,0.009,1.24,2,0.02,"['fe0302048', 'fe0310266']"
they_be_playing,2,0.009,1.24,2,0.02,"['fe0304610', 'fe0309549']"
they_be_in,2,0.009,1.24,2,0.02,"['fe0305321', 'fe0310354']"
they_be_fighting,2,0.009,1.24,2,0.02,"['fe0308483', 'fe0311518']"
it_be_like,2,0.009,1.24,2,0.02,"['fe0307601', 'fe0310753']"
they_be_hit,2,0.009,1.24,1,0.01,['fe0309553']
people_be_doing,2,0.009,1.24,2,0.02,"['fe0300860', 'fe0302192']"
he_be_on,2,0.009,1.24,1,0.01,['fe0302048']
they_be_knocking,1,0.004,0.62,1,0.01,['fe0308483']
they_be_having,1,0.004,0.62,1,0.01,['fe0307255']
they_be_letting,1,0.004,0.62,1,0.01,['fe0308472']
they_be_on,1,0.004,0.62,1,0.01,['fe0308935']
they_be_one,1,0.004,0.62,1,0.01,['fe0301323']
they_be_making,1,0.004,0.62,1,0.01,['fe0300967']
they_be_funny,1,0.004,0.62,1,0.01,['fe0307794']
they_be_gone,1,0.004,0.62,1,0.01,['fe0311476']
they_be_going,1,0.004,0.62,1,0.01,['fe0310332']
they_be_fun,1,0.004,0.62,1,0.01,['fe0308472']
they_be_drinking,1,0.004,0.62,1,0.01,['fe0302344']
they_be_dodging,1,0.004,0.62,1,0.01,['fe0310309']
they_be_cooking,1,0.004,0.62,1,0.01,['fe0302192']
they_be_coming,1,0.004,0.62,1,0.01,['fe0308483']
they_be_calling,1,0.004,0.62,1,0.01,['fe0310000']
they_be_bothered,1,0.004,0.62,1,0.01,['fe0305097']
they_be_banging,1,0.004,0.62,1,0.01,['fe0310306']
they_be_asking,1,0.004,0.62,1,0.01,['fe0310756']
they_be_all right,1,0.004,0.62,1,0.01,['fe0307601']
subjects_be_really,1,0.004,0.62,1,0.01,['fe0300558']
they_be_out,1,0.004,0.62,1,0.01,['fe0301544']
they_be_running,1,0.004,0.62,1,0.01,['fe0309595']
they_be_pressing,1,0.004,0.62,1,0.01,['fe0308050']
you_be_behaving,1,0.004,0.62,1,0.01,['fe0306522']
you_be_wondering,1,0.004,0.62,1,0.01,['fe0304440']
you_be_trying,1,0.004,0.62,1,0.01,['fe0305572']
