,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
did,10,0.725,9.01,7,3.03,"['ATL_se0_ag1_m_05_1', 'DCA_se1_ag1_f_02_1', 'DCB_se1_ag2_m_01_1', 'DCB_se3_ag1_f_01_1', 'LES_se0_ag3_m_01_1', 'PRV_se0_ag2_m_01_1', 'VLD_se0_ag4_m_02_1']"
went,8,0.58,7.21,8,3.46,"['ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_03_1', 'DCB_se3_ag1_f_01_1', 'LES_se0_ag3_m_01_1', 'ROC_se0_ag3_f_01_1', 'VLD_se0_ag3_f_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_m_02_1']"
been,7,0.507,6.31,5,2.16,"['ATL_se0_ag1_m_04_1', 'ATL_se0_ag1_m_04_2', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag4_f_01_2', 'ROC_se0_ag1_m_01_1']"
had,7,0.507,6.31,7,3.03,"['ATL_se0_ag1_m_04_1', 'DCB_se1_ag2_m_02_2', 'PRV_se0_ag2_m_02_1', 'ROC_se0_ag1_m_02_1', 'ROC_se0_ag3_f_02_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_m_01_1']"
changed,5,0.362,4.5,5,2.16,"['DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_m_01_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_04_1', 'PRV_se0_ag3_m_02_1']"
got,5,0.362,4.5,5,2.16,"['ATL_se0_ag2_m_03_1', 'DCA_se1_ag1_m_03_1', 'DCB_se1_ag2_m_01_1', 'PRV_se0_ag2_m_01_1', 'PRV_se0_ag2_m_02_2']"
seen,4,0.29,3.6,4,1.73,"['ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_02_1', 'PRV_se0_ag2_m_01_1', 'ROC_se0_ag1_m_01_1']"
put,4,0.29,3.6,3,1.3,"['DCA_se1_ag1_m_03_1', 'DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_f_01_1']"
forgot,4,0.29,3.6,2,0.87,"['DCA_se1_ag4_m_01_1', 'DCA_se2_ag3_m_02_1']"
took,3,0.217,2.7,2,0.87,"['PRV_se0_ag3_m_03_1', 'VLD_se0_ag4_f_02_1']"
made,3,0.217,2.7,2,0.87,"['DCB_se1_ag4_m_02_1', 'VLD_se0_ag4_m_02_1']"
have,3,0.217,2.7,3,1.3,"['DCB_se1_ag4_m_01_1', 'DCB_se2_ag4_m_01_1', 'DCB_se3_ag3_f_02_1']"
worked,3,0.217,2.7,1,0.43,['PRV_se0_ag2_m_01_1']
killed,3,0.217,2.7,2,0.87,"['DCB_se1_ag2_f_02_1', 'DCB_se2_ag4_m_01_1']"
told,2,0.145,1.8,2,0.87,"['DCB_se1_ag4_m_02_1', 'PRV_se0_ag3_f_04_3']"
gave,2,0.145,1.8,2,0.87,"['DCB_se3_ag3_f_02_1', 'VLD_se0_ag3_m_01_2']"
gone,2,0.145,1.8,1,0.43,['PRV_se0_ag3_f_03_1']
hit,2,0.145,1.8,2,0.87,"['ATL_se0_ag2_m_02_1', 'ATL_se0_ag2_m_03_1']"
holler,2,0.145,1.8,2,0.87,"['DCA_se1_ag1_f_02_1', 'DCA_se3_ag1_f_04_1']"
picked,1,0.072,0.9,1,0.43,['DCB_se1_ag3_m_02_1']
order,1,0.072,0.9,1,0.43,['DCA_se2_ag3_m_01_1']
played,1,0.072,0.9,1,0.43,['ATL_se0_ag2_m_03_1']
popped,1,0.072,0.9,1,0.43,['ROC_se0_ag1_m_01_1']
survived,1,0.072,0.9,1,0.43,['DCB_se2_ag4_f_01_1']
said,1,0.072,0.9,1,0.43,['DCB_se1_ag4_m_02_1']
