,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
i_done_been,5,0.362,4.5,3,1.3,"['ATL_se0_ag1_m_04_1', 'DCB_se1_ag3_m_02_2', 'DCB_se1_ag4_f_01_2']"
you_done_did,4,0.29,3.6,3,1.3,"['DCA_se1_ag1_f_02_1', 'PRV_se0_ag2_m_01_1', 'VLD_se0_ag4_m_02_1']"
i_done_did,4,0.29,3.6,4,1.73,"['ATL_se0_ag1_m_05_1', 'DCB_se1_ag2_m_01_1', 'DCB_se3_ag1_f_01_1', 'LES_se0_ag3_m_01_1']"
i_done_forgot,4,0.29,3.6,2,0.87,"['DCA_se1_ag4_m_01_1', 'DCA_se2_ag3_m_02_1']"
i_done_went,3,0.217,2.7,3,1.3,"['ROC_se0_ag3_f_01_1', 'VLD_se0_ag3_m_01_2', 'VLD_se0_ag4_m_02_1']"
you_done_put,3,0.217,2.7,2,0.87,"['DCB_se1_ag4_m_02_1', 'DCB_se2_ag4_f_01_1']"
i_done_seen,3,0.217,2.7,3,1.3,"['ATL_se0_ag2_m_03_1', 'DCB_se1_ag2_m_02_1', 'ROC_se0_ag1_m_01_1']"
it_done_changed,3,0.217,2.7,3,1.3,"['PRV_se0_ag2_m_01_1', 'PRV_se0_ag3_f_04_1', 'PRV_se0_ag3_m_02_1']"
we_done_had,2,0.145,1.8,2,0.87,"['ROC_se0_ag1_m_02_1', 'VLD_se0_ag4_m_01_1']"
they_done_took,2,0.145,1.8,2,0.87,"['PRV_se0_ag3_m_03_1', 'VLD_se0_ag4_f_02_1']"
i_done_made,2,0.145,1.8,1,0.43,['DCB_se1_ag4_m_02_1']
i_done_killed,2,0.145,1.8,1,0.43,['DCB_se2_ag4_m_01_1']
i_done_got,2,0.145,1.8,2,0.87,"['ATL_se0_ag2_m_03_1', 'PRV_se0_ag2_m_01_1']"
i_done_had,2,0.145,1.8,2,0.87,"['ATL_se0_ag1_m_04_1', 'ROC_se0_ag3_f_02_1']"
everybody_done_gone,2,0.145,1.8,1,0.43,['PRV_se0_ag3_f_03_1']
you_done_went,2,0.145,1.8,2,0.87,"['ATL_se0_ag1_m_05_1', 'ATL_se0_ag2_m_03_1']"
they_done_got,1,0.072,0.9,1,0.43,['DCA_se1_ag1_m_03_1']
they_done_done,1,0.072,0.9,1,0.43,['DCA_se1_ag1_m_03_1']
they_done_had,1,0.072,0.9,1,0.43,['DCB_se1_ag2_m_02_2']
they_done_have,1,0.072,0.9,1,0.43,['DCB_se1_ag4_m_01_1']
they_done_made,1,0.072,0.9,1,0.43,['VLD_se0_ag4_m_02_1']
they_done_put,1,0.072,0.9,1,0.43,['DCA_se1_ag1_m_03_1']
they_done_cremate,1,0.072,0.9,1,0.43,['PRV_se0_ag3_m_02_2']
they_done_told,1,0.072,0.9,1,0.43,['DCB_se1_ag4_m_02_1']
they_done_changed,1,0.072,0.9,1,0.43,['DCB_se1_ag4_m_02_1']
that_done_influenced,1,0.072,0.9,1,0.43,['ATL_se0_ag2_m_03_1']
they_done_tore,1,0.072,0.9,1,0.43,['DCB_se1_ag4_f_01_1']
they_done_went,1,0.072,0.9,1,0.43,['VLD_se0_ag3_f_01_1']
