,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
did,6,0.027,9.38,5,0.04,"['fe0303448', 'fe0306333', 'fe0307151', 'fe0307458', 'fe0310716']"
been,4,0.018,6.25,4,0.03,"['fe0304308', 'fe0305348', 'fe0306190', 'fe0308797']"
had,3,0.013,4.69,3,0.03,"['fe0304229', 'fe0307301', 'fe0307910']"
killed,2,0.009,3.12,2,0.02,"['fe0305302', 'fe0309409']"
got,2,0.009,3.12,2,0.02,"['fe0310371', 'fe0311634']"
gone,2,0.009,3.12,2,0.02,"['fe0308941', 'fe0309753']"
forgot,2,0.009,3.12,2,0.02,"['fe0300441', 'fe0308377']"
went,2,0.009,3.12,2,0.02,"['fe0300972', 'fe0303451']"
confused,2,0.009,3.12,2,0.02,"['fe0306070', 'fe0307364']"
cooked,1,0.004,1.56,1,0.01,['fe0309084']
seen,1,0.004,1.56,1,0.01,['fe0310645']
passed,1,0.004,1.56,1,0.01,['fe0309957']
picked,1,0.004,1.56,1,0.01,['fe0311357']
played,1,0.004,1.56,1,0.01,['fe0304707']
quiet,1,0.004,1.56,1,0.01,['fe0310239']
registered,1,0.004,1.56,1,0.01,['fe0301176']
ridiculous,1,0.004,1.56,1,0.01,['fe0310640']
ripped,1,0.004,1.56,1,0.01,['fe0305829']
sold,1,0.004,1.56,1,0.01,['fe0304688']
older,1,0.004,1.56,1,0.01,['fe0311468']
spent,1,0.004,1.56,1,0.01,['fe0302649']
taken,1,0.004,1.56,1,0.01,['fe0303309']
taught,1,0.004,1.56,1,0.01,['fe0305476']
throw,1,0.004,1.56,1,0.01,['fe0308322']
trained,1,0.004,1.56,1,0.01,['fe0302457']
tried,1,0.004,1.56,1,0.01,['fe0310572']
used,1,0.004,1.56,1,0.01,['fe0309129']
participated,1,0.004,1.56,1,0.01,['fe0310553']
old,1,0.004,1.56,1,0.01,['fe0306070']
divorced,1,0.004,1.56,1,0.01,['fe0305348']
changed,1,0.004,1.56,1,0.01,['fe0310237']
doing,1,0.004,1.56,1,0.01,['fe0308420']
done,1,0.004,1.56,1,0.01,['fe0308797']
finished,1,0.004,1.56,1,0.01,['fe0308273']
followed,1,0.004,1.56,1,0.01,['fe0311117']
forget,1,0.004,1.56,1,0.01,['fe0305358']
fought,1,0.004,1.56,1,0.01,['fe0305469']
completed,1,0.004,1.56,1,0.01,['fe0307047']
graduated,1,0.004,1.56,1,0.01,['fe0310445']
moved,1,0.004,1.56,1,0.01,['fe0302112']
grew,1,0.004,1.56,1,0.01,['fe0311468']
broke,1,0.004,1.56,1,0.01,['fe0308322']
heard,1,0.004,1.56,1,0.01,['fe0310000']
blown,1,0.004,1.56,1,0.01,['fe0310608']
bent,1,0.004,1.56,1,0.01,['fe0300323']
met,1,0.004,1.56,1,0.01,['fe0306857']
missed,1,0.004,1.56,1,0.01,['fe0300505']
made,1,0.004,1.56,1,0.01,['fe0300783']
