,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
you_done_did,2,0.009,3.12,2,0.02,"['fe0306333', 'fe0310716']"
i_done_got,2,0.009,3.12,2,0.02,"['fe0310371', 'fe0311634']"
i_done_forgot,2,0.009,3.12,2,0.02,"['fe0300441', 'fe0308377']"
i_done_confused,2,0.009,3.12,2,0.02,"['fe0306070', 'fe0307364']"
i_done_did,2,0.009,3.12,2,0.02,"['fe0303448', 'fe0307151']"
i_done_there,2,0.009,3.12,2,0.02,"['fe0304308', 'fe0308797']"
you_done_had,2,0.009,3.12,2,0.02,"['fe0304229', 'fe0307301']"
all_done_did,1,0.004,1.56,1,0.01,['fe0307458']
we_done_did,1,0.004,1.56,1,0.01,['fe0307458']
we_done_followed,1,0.004,1.56,1,0.01,['fe0311117']
we_done_finished,1,0.004,1.56,1,0.01,['fe0308273']
they_done_tried,1,0.004,1.56,1,0.01,['fe0310572']
they_done_ripped,1,0.004,1.56,1,0.01,['fe0305829']
they_done_older,1,0.004,1.56,1,0.01,['fe0311468']
they_done_met,1,0.004,1.56,1,0.01,['fe0306857']
they_done_killed,1,0.004,1.56,1,0.01,['fe0309409']
they_done_fought,1,0.004,1.56,1,0.01,['fe0305469']
we_done_graduated,1,0.004,1.56,1,0.01,['fe0310445']
you_done_broke,1,0.004,1.56,1,0.01,['fe0308322']
we_done_played,1,0.004,1.56,1,0.01,['fe0304707']
we_done_taught,1,0.004,1.56,1,0.01,['fe0305476']
we_done_went,1,0.004,1.56,1,0.01,['fe0300972']
they_done_blown,1,0.004,1.56,1,0.01,['fe0310608']
you_done_doing,1,0.004,1.56,1,0.01,['fe0308420']
you_done_made,1,0.004,1.56,1,0.01,['fe0300783']
you_done_participated,1,0.004,1.56,1,0.01,['fe0310553']
you_done_quiet,1,0.004,1.56,1,0.01,['fe0310239']
you_done_seen,1,0.004,1.56,1,0.01,['fe0310645']
you_done_spent,1,0.004,1.56,1,0.01,['fe0302649']
you_done_throw,1,0.004,1.56,1,0.01,['fe0308322']
they_done_cooked,1,0.004,1.56,1,0.01,['fe0309084']
she_done_picked,1,0.004,1.56,1,0.01,['fe0311357']
they_done_been,1,0.004,1.56,1,0.01,['fe0306190']
i_done_missed,1,0.004,1.56,1,0.01,['fe0300505']
everything_done_gone,1,0.004,1.56,1,0.01,['fe0309753']
he_done_trained,1,0.004,1.56,1,0.01,['fe0302457']
he_done_went,1,0.004,1.56,1,0.01,['fe0303451']
i_done_been,1,0.004,1.56,1,0.01,['fe0305348']
i_done_completed,1,0.004,1.56,1,0.01,['fe0307047']
i_done_divorced,1,0.004,1.56,1,0.01,['fe0305348']
i_done_done,1,0.004,1.56,1,0.01,['fe0308797']
i_done_forget,1,0.004,1.56,1,0.01,['fe0305358']
i_done_had,1,0.004,1.56,1,0.01,['fe0307910']
i_done_heard,1,0.004,1.56,1,0.01,['fe0310000']
i_done_old,1,0.004,1.56,1,0.01,['fe0306070']
society_done_changed,1,0.004,1.56,1,0.01,['fe0310237']
i_done_registered,1,0.004,1.56,1,0.01,['fe0301176']
it_done_killed,1,0.004,1.56,1,0.01,['fe0305302']
it_done_passed,1,0.004,1.56,1,0.01,['fe0309957']
it_done_ridiculous,1,0.004,1.56,1,0.01,['fe0310640']
people_done_sold,1,0.004,1.56,1,0.01,['fe0304688']
she_done_bent,1,0.004,1.56,1,0.01,['fe0300323']
she_done_gone,1,0.004,1.56,1,0.01,['fe0308941']
she_done_grew,1,0.004,1.56,1,0.01,['fe0311468']
she_done_moved,1,0.004,1.56,1,0.01,['fe0302112']
constituentbounday_done_taken,1,0.004,1.56,1,0.01,['fe0303309']
you_done_used,1,0.004,1.56,1,0.01,['fe0309129']
