,PredicateRawCount,PredicateNormalizedCount,PredicatePercentTotal,PredicateFileCount,PredicateFilePercentTotal,PredicateFileList
brung,2,0.021,14.29,2,0.03,"['4841-26659-0060', '5653-46266-0004']"
come,2,0.021,14.29,2,0.03,"['238-122530-0008', '5456-62014-0010']"
broke,1,0.01,7.14,1,0.02,['4841-26659-0071']
fly,1,0.01,7.14,1,0.02,['3997-182399-0006']
get,1,0.01,7.14,1,0.02,['3997-182399-0018']
got,1,0.01,7.14,1,0.02,['1363-135842-0039']
hit,1,0.01,7.14,1,0.02,['8066-114256-0006']
lifted,1,0.01,7.14,1,0.02,['7320-93280-0022']
spoil,1,0.01,7.14,1,0.02,['4860-13185-0062']
thought,1,0.01,7.14,1,0.02,['1363-135842-0027']
tol,1,0.01,7.14,1,0.02,['5296-26679-0026']
tole,1,0.01,7.14,1,0.02,['2691-156750-0022']
