,SubjectRawCount,SubjectNormalizedCount,SubjectPercentTotal,SubjectFileCount,SubjectFilePercentTotal,SubjectFileList
he,2,0.021,14.29,2,0.03,"['1363-135842-0039', '5456-62014-0010']"
i,2,0.021,14.29,2,0.03,"['4841-26659-0060', '7320-93280-0022']"
we,2,0.021,14.29,2,0.03,"['1363-135842-0027', '8066-114256-0006']"
buzzard,1,0.01,7.14,1,0.02,['3997-182399-0006']
captian,1,0.01,7.14,1,0.02,['2691-156750-0022']
constituentboundary,1,0.01,7.14,1,0.02,['4860-13185-0062']
duchess,1,0.01,7.14,1,0.02,['238-122530-0008']
it,1,0.01,7.14,1,0.02,['3997-182399-0018']
she,1,0.01,7.14,1,0.02,['4841-26659-0071']
they,1,0.01,7.14,1,0.02,['5653-46266-0004']
you,1,0.01,7.14,1,0.02,['5296-26679-0026']
