,WordPatternRawCount,WordPatternNormalizedCount,WordPatternPercentTotal,WordPatternFileRawCount,WordPatternFilePercentTotal,WordPatternFileList
buzzard_done_fly,1,0.01,7.14,1,0.02,['3997-182399-0006']
captian_done_tole,1,0.01,7.14,1,0.02,['2691-156750-0022']
constituentboundary_done_spoil,1,0.01,7.14,1,0.02,['4860-13185-0062']
duchess_done_come,1,0.01,7.14,1,0.02,['238-122530-0008']
he_done_come,1,0.01,7.14,1,0.02,['5456-62014-0010']
he_done_got,1,0.01,7.14,1,0.02,['1363-135842-0039']
i_done_brung,1,0.01,7.14,1,0.02,['4841-26659-0060']
i_done_lifted,1,0.01,7.14,1,0.02,['7320-93280-0022']
it_done_get,1,0.01,7.14,1,0.02,['3997-182399-0018']
she_done_broke,1,0.01,7.14,1,0.02,['4841-26659-0071']
they_done_brung,1,0.01,7.14,1,0.02,['5653-46266-0004']
we_done_hit,1,0.01,7.14,1,0.02,['8066-114256-0006']
we_done_thought,1,0.01,7.14,1,0.02,['1363-135842-0027']
you_done_tol,1,0.01,7.14,1,0.02,['5296-26679-0026']
