,Noun_be_Adjective,Noun_be_Adjective,Noun_be_Adverb,Noun_be_Adverb,Noun_be_Preposition,Noun_be_Preposition,Noun_be_QuotativeLike,Noun_be_QuotativeLike,Noun_be_VerbPresentParticiple,Noun_be_VerbPresentParticiple,PronounIndefinite_be_Adverb,PronounIndefinite_be_Adverb,PronounNonReferential_be_Adjective,PronounNonReferential_be_Adjective,PronounNonReferential_be_ConstituentBoundary,PronounNonReferential_be_ConstituentBoundary,PronounNonReferential_be_Noun,PronounNonReferential_be_Noun,PronounNonReferential_be_QuotativeLike,PronounNonReferential_be_QuotativeLike,PronounNonReferential_be_VerbPresentParticiple,PronounNonReferential_be_VerbPresentParticiple,PronounPersonal_be_Adjective,PronounPersonal_be_Adjective,PronounPersonal_be_Adverb,PronounPersonal_be_Adverb,PronounPersonal_be_Noun,PronounPersonal_be_Noun,PronounPersonal_be_Preposition,PronounPersonal_be_Preposition,PronounPersonal_be_PronounIndefinite,PronounPersonal_be_PronounIndefinite,PronounPersonal_be_QuotativeLike,PronounPersonal_be_QuotativeLike,PronounPersonal_be_VerbPastParticiple,PronounPersonal_be_VerbPastParticiple,PronounPersonal_be_VerbPresentParticiple,PronounPersonal_be_VerbPresentParticiple,PronounRelative_be_QuotativeLike,PronounRelative_be_QuotativeLike
,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized,Raw,Normalized
all right,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004429968684994363,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
arguing,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004429968684994363,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004429968684994363,0,0.0
around,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.008859937369988725,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
asking,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004429968684994363,0,0.0
at,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004429968684994363,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
banging,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004429968684994363,0,0.0
beeping,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004429968684994363,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
behaving,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004429968684994363,0,0.0
bored,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.004429968684994363,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
