File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,AintVariation,InstancesCountPerLine,FeatureCountPerLine
ATL_se0_ag1_f_01_1,59,ATL_int_01,67.5942,69.1056,1.5114,You ain't gonna claim nothing else?,ain't,1,1
ATL_se0_ag1_f_01_1,87,ATL_int_01,96.7672,100.1664,3.3992,"if you didn't know already, my name is RD-NAME-3 and I will be,",didn't,1,0
ATL_se0_ag1_f_01_1,169,ATL_se0_ag1_f_01,199.399,200.8753,1.4763,A lot of people didn't really show up.,didn't,1,0
ATL_se0_ag1_f_01_1,273,ATL_se0_ag1_f_01,338.4564,340.6358,2.1794,"Um, I'm not really a friend person.",I'm not,1,0
ATL_se0_ag1_f_01_1,432,ATL_int_01,526.584,529.2264,2.6424,"Oh, okay. I- I see. I ain't did economics til",ain't,1,1
ATL_se0_ag1_f_01_1,473,ATL_se0_ag1_f_01,577.5818,580.7058,3.124,I ain't really go for all that cause I got a real weak stomach.,ain't,1,1
ATL_se0_ag1_f_01_1,542,ATL_se0_ag1_f_01,689.9566,691.4577,1.5011," Oh, that ain't even yours.",ain't,1,1
ATL_se0_ag1_f_01_1,607,ATL_int_01,794.6876,797.7961,3.1085,"Ain't gonna lie, I was like, oh man I forgot how to say this word.",ain't,1,1
ATL_se0_ag1_f_01_1,616,ATL_se0_ag1_f_01,807.432,810.2791,2.8471,"I'm like, I ain't never seen that when I was in school RD-NAME-3.",ain't,1,1
ATL_se0_ag1_f_01_1,657,ATL_int_01,881.8883,884.6318,2.7435,"My bro does this shit too, bruh, I'm not even doing that anymore.",I'm not,1,0
ATL_se0_ag1_f_01_1,776,ATL_se0_ag1_f_01,1066.2328,1068.7946,2.5618,"It's not- I'm not gonna say it ain't good parenting,",ain't,1,1
ATL_se0_ag1_f_01_1,776,ATL_se0_ag1_f_01,1066.2328,1068.7946,2.5618,"It's not- I'm not gonna say it ain't good parenting,",I'm not,1,0
ATL_se0_ag1_f_01_1,808,ATL_int_01,1142.6029,1143.6684,1.0655,I'm not judging nobody.,I'm not,1,0
ATL_se0_ag1_f_01_1,849,ATL_se0_ag1_f_01,1199.4362,1200.4224,0.9862,That didn't work out.,didn't,1,0
ATL_se0_ag1_f_01_1,857,ATL_int_01,1209.3309,1215.7217,6.3908,I ain't gonna lie. I knew a couple of little notes on the recorder too. I was turnt for a second and then it just started getting advanced.,ain't,1,1
ATL_se0_ag1_f_01_1,891,ATL_int_01,1279.8298,1282.0318,2.202,"trying, I'm like, maybe he ain't gonna do",ain't,1,1
ATL_se0_ag1_f_01_1,984,ATL_int_01,1425.9485,1428.9445,2.996,"You know they gonna say something about that, but it ain't that big of a deal.",ain't,1,1
ATL_se0_ag1_f_01_1,1119,ATL_se0_ag1_f_01,1654.5945,1657.3734,2.7789, I don't know. I ain't even have no girl names in my head.,ain't,1,1
ATL_se0_ag1_f_01_1,1155,ATL_int_01,1707.2219,1708.8718,1.6499,Didn't even think about that stuff.,didn't,1,0
ATL_se0_ag1_f_01_1,1188,ATL_int_01,1763.6428,1766.5147,2.8719,"I didn't think it was like that. That's saying that, you know,",didn't,1,0
ATL_se0_ag1_f_02_1,89,ATL_se0_ag1_f_02,78.9122,80.3712,1.459,It really didn't work out too well.,didn't,1,0
ATL_se0_ag1_f_02_1,207,ATL_se0_ag1_f_02,195.6341,196.5467,0.9126,people who ain't white.,ain't,1,1
ATL_se0_ag1_f_02_1,572,ATL_se0_ag1_f_02,576.5994,578.6565,2.0571,"He didn't look extra white, but he looked white. When you looked at him,",didn't,1,0
ATL_se0_ag1_f_02_1,582,ATL_se0_ag1_f_02,587.627,590.178,2.551,"He ain't got green or blue eyes. His eyes is brown,",ain't,1,1
ATL_se0_ag1_f_02_1,596,ATL_int_01,609.5121,612.4257,2.9136,"I didn't really check for him yet, but he definitely give me that,",didn't,1,0
ATL_se0_ag1_f_02_1,644,ATL_se0_ag1_f_02,661.2596,665.5492,4.2896,"Absolutely. No, I d- I didn't need a crew when I walked. What I- did I have a crew at school? Yeah, but",didn't,1,0
ATL_se0_ag1_f_02_1,646,ATL_se0_ag1_f_02,666.0596,666.7491,0.6895,I didn't need a crew.,didn't,1,0
ATL_se0_ag1_f_02_1,647,ATL_int_01,667.0533,668.9558,1.9025,Just for walking you didn't need that. You was good-,didn't,1,0
ATL_se0_ag1_f_02_1,755,ATL_se0_ag1_f_02,791.5286,792.4257,0.8971,They didn't wanna fight me.,didn't,1,0
ATL_se0_ag1_f_02_1,756,ATL_int_01,792.5958,795.3889,2.7931,They didn't wanna fight you. They wanted to be best friends with you after that.,didn't,1,0
ATL_se0_ag1_f_02_1,820,ATL_se0_ag1_f_02,856.7119,859.1114,2.3995,I haven't been rocking with nobody else but y'all. ,haven't,1,0
ATL_se0_ag1_f_02_1,836,ATL_se0_ag1_f_02,873.7462,874.1386,0.3924,I'm not a,I'm not,1,0
ATL_se0_ag1_f_02_1,892,ATL_se0_ag1_f_02,930.6673,933.07,2.4027,"cousins I haven't seen in forever, everybody",haven't,1,0
ATL_se0_ag1_f_02_1,910,ATL_se0_ag1_f_02,952.4455,957.8072,5.3617,"That was the time where everybody caught up with each other. Everybody linked up, seen family members they ain't seen in years,",ain't,1,1
ATL_se0_ag1_f_02_1,1071,ATL_se0_ag1_f_02,1144.6565,1145.7671,1.1106,I didn't know. When we were,didn't,1,0
ATL_se0_ag1_f_02_1,1141,ATL_se0_ag1_f_02,1243.3022,1244.0292,0.727,there isn't that.,isn't,1,0
ATL_se0_ag1_f_02_1,1152,ATL_se0_ag1_f_02,1253.6214,1256.0587,2.4373,"because just cause you don't see it, that don't mean it ain't happening.",ain't,1,1
ATL_se0_ag1_f_02_1,1419,ATL_se0_ag1_f_02,1547.0058,1551.4333,4.4275,"Down here y'all see somebody pull in the neighborhood, y'all ain't pay attention. Y'all like, oh that's such and such. You live up the street.",ain't,1,1
ATL_se0_ag1_f_02_1,1466,ATL_int_01,1606.7875,1609.4221,2.6346,See I haven't been in that situation ,haven't,1,0
ATL_se0_ag1_f_02_1,1490,ATL_se0_ag1_f_02,1638.9581,1641.9161,2.958,"And they like, nah, nah, nah, he ain't call you a bitch.",ain't,1,1
ATL_se0_ag1_f_02_1,1491,ATL_se0_ag1_f_02,1642.1791,1644.3651,2.186,He- he ain't call you a bitch. He just-,ain't,1,1
ATL_se0_ag1_f_02_1,1493,ATL_se0_ag1_f_02,1644.9787,1648.0192,3.0405,"he just said the word bitch, but he ain't call you a bitch. And I'm like,",ain't,1,1
ATL_se0_ag1_f_02_1,1504,ATL_int_01,1659.679,1662.6848,3.0058,I didn't even understand what the hell Future was talking about,didn't,1,0
ATL_se0_ag1_f_02_1,1507,ATL_se0_ag1_f_02,1665.1854,1666.8596,1.6742,"I had to read the lyrics though, I'm not gonna lie to you.",I'm not,1,0
ATL_se0_ag1_f_02_1,1551,ATL_se0_ag1_f_02,1723.5304,1724.8967,1.3663,we didn't play the,didn't,1,0
ATL_se0_ag1_f_02_1,1588,ATL_se0_ag1_f_02,1767.9831,1768.6424,0.6593,really didn't-,didn't,1,0
ATL_se0_ag1_f_02_1,1599,ATL_int_01,1777.123,1778.1645,1.0415,"Didn't you say you, um,",didn't,1,0
ATL_se0_ag1_f_02_1,1703,ATL_se0_ag1_f_02,1895.0981,1898.6388,3.5407,I'm more of a players type of person. I'm not really a team anymore.,I'm not,1,0
ATL_se0_ag1_f_02_1,1711,ATL_se0_ag1_f_02,1904.7677,1907.4178,2.6501,player type. I'm not- I don't really like teams anymore.,I'm not,1,0
ATL_se0_ag1_f_02_1,1718,ATL_se0_ag1_f_02,1915.917,1919.0002,3.0832,it ain't even about the team no more. It's about the individual player at this point.,ain't,1,1
ATL_se0_ag1_f_02_1,1719,ATL_int_01,1917.3116,1917.7249,0.4133,It ain't.,ain't,1,1
ATL_se0_ag1_f_02_1,1723,ATL_se0_ag1_f_02,1920.3407,1922.6027,2.262,I'm more of a players fan. I'm not more of a,I'm not,1,0
ATL_se0_ag1_f_02_1,1758,ATL_se0_ag1_f_02,1954.5516,1958.8863,4.3347,"everybody else is drinking. Why? Cause they built up a tolerance for it. I'm pretty sure at one point in time, they didn't drink either.",didn't,1,0
ATL_se0_ag1_f_02_1,1801,ATL_se0_ag1_f_02,2016.2523,2018.8096,2.5573,it ain't nothing but worldwide big ass shadow.,ain't,1,1
ATL_se0_ag1_f_02_1,1822,ATL_se0_ag1_f_02,2039.0768,2041.1237,2.0469,"If another one comes in a few years, I'm not going outside.",I'm not,1,0
ATL_se0_ag1_f_02_1,1830,ATL_se0_ag1_f_02,2046.438,2046.972,0.534,"Yeah, it ain't.",ain't,1,1
ATL_se0_ag1_f_02_1,1901,ATL_int_01,2137.2268,2139.1551,1.9283,Still didn't go to the ferris wheel yet.,didn't,1,0
ATL_se0_ag1_f_03_1,222,ATL_se0_ag1_f_03,293.1633,296.3392,3.1759,I didn't like it at first because I didn't know anybody and I didn't wanna be here.,didn't,3,0
ATL_se0_ag1_f_03_1,320,ATL_se0_ag1_f_03,424.4616,427.5214,3.0598,"Fights? I didn't get in a lot of fights, um,",didn't,1,0
ATL_se0_ag1_f_03_1,324,ATL_se0_ag1_f_03,430.0522,436.4181,6.3659,"When I was in New York I got into maybe two? I'm not like a bad kid. So I didn't really get into a lot of fights. I mean a lot of people don't like me, but-",didn't,1,0
ATL_se0_ag1_f_03_1,324,ATL_se0_ag1_f_03,430.0522,436.4181,6.3659,"When I was in New York I got into maybe two? I'm not like a bad kid. So I didn't really get into a lot of fights. I mean a lot of people don't like me, but-",I'm not,1,0
ATL_se0_ag1_f_03_1,350,ATL_int_01,480.0931,482.8245,2.7314,We need to figure that out one day. I- I haven't either.,haven't,1,0
ATL_se0_ag1_f_03_1,447,ATL_se0_ag1_f_03,612.2269,616.6513,4.4244,"that you didn't see for a while come around. And it would just be like- you know, old times. It would be fun.",didn't,1,0
ATL_se0_ag1_f_03_1,620,ATL_int_01,852.4145,858.0868,5.6723,"got chicks in some type of dungeon situation and I'm not sure how true that is, but",I'm not,1,0
ATL_se0_ag1_f_03_1,678,ATL_se0_ag1_f_03,929.1658,931.196,2.0302,And I just thought it was about to rain. I didn't-,didn't,1,0
ATL_se0_ag1_f_03_1,680,ATL_se0_ag1_f_03,931.4441,932.387,0.9429,I didn't remember-,didn't,1,0
ATL_se0_ag1_f_03_1,794,ATL_se0_ag1_f_03,1071.1575,1073.4172,2.2597,I haven't really even been watching TV like that.,haven't,1,0
ATL_se0_ag1_f_03_1,860,ATL_int_01,1164.3467,1168.8145,4.4678,"I really wanna speak on Power some more, but I haven't watched it enough lately.",haven't,1,0
ATL_se0_ag1_f_03_1,881,ATL_se0_ag1_f_03,1185.4251,1187.6734,2.2483,"I like anything that looks nice. I mean, I'm not",I'm not,1,0
ATL_se0_ag1_f_03_1,916,ATL_se0_ag1_f_03,1236.1217,1239.9507,3.829,"if it's like- I'm not gonna go extravagant, like get red bottoms, or something. If it's just",I'm not,1,0
ATL_se0_ag1_f_03_1,1226,ATL_se0_ag1_f_03,1629.6575,1630.4762,0.8187,I didn't- I didn't-,didn't,2,0
ATL_se0_ag1_f_03_1,1340,ATL_int_01,1770.0084,1773.0186,3.0102," That's interesting. I'm sorry I didn't realize that. Um,",didn't,1,0
ATL_se0_ag1_m_01_1,461,ATL_se0_ag1_m_01,643.0631,645.4679,2.4048,It ain't take too long for me to start getting in shit up there.,ain't,1,1
ATL_se0_ag1_m_01_1,463,ATL_se0_ag1_m_01,645.5799,648.2157,2.6358,I found out these niggas didn't have cameras in the school.,didn't,1,0
ATL_se0_ag1_m_01_1,483,ATL_se0_ag1_m_01,679.7257,682.0335,2.3078,"I'm not going to class, like ",I'm not,1,0
ATL_se0_ag1_m_01_1,515,ATL_se0_ag1_m_01,729.6218,734.1488,4.527,"Real deal, I- I swear to god, bruh. I didn't understand it either, bruh. That's it, I guess.",didn't,1,0
ATL_se0_ag1_m_01_1,531,ATL_se0_ag1_m_01,749.1887,750.6779,1.4892,"they don't got cameras, they ain't gonna know.",ain't,1,1
ATL_se0_ag1_m_01_1,591,ATL_se0_ag1_m_01,832.7156,833.9545,1.2389,You ain't been here all week.,ain't,1,1
ATL_se0_ag1_m_01_1,608,ATL_se0_ag1_m_01,850.2618,851.2678,1.006,I ain't taking no notes.,ain't,1,1
ATL_se0_ag1_m_01_1,621,ATL_se0_ag1_m_01,871.0085,874.3442,3.3357,"I don't- I didn't either, bruh. And then I learned it. I didn't want to, bruh.",didn't,2,0
ATL_se0_ag1_m_01_1,664,ATL_se0_ag1_m_01,941.3659,945.9037,4.5378,they didn't tell me how long I was suspended. They just said don't come back to school til we sort shit out.,didn't,1,0
ATL_se0_ag1_m_01_1,877,ATL_se0_ag1_m_01,1237.9545,1239.3161,1.3616,"I'm not, bruh, or",I'm not,1,0
ATL_se0_ag1_m_01_1,921,ATL_se0_ag1_m_01,1308.0051,1310.8765,2.8714,"we didn't clock out for breaks. But they didn't pay me shit, so",didn't,2,0
ATL_se0_ag1_m_01_1,942,ATL_se0_ag1_m_01,1333.6616,1335.9312,2.2696,"a bitch. Like I just didn't fuck with him, like,",didn't,1,0
ATL_se0_ag1_m_01_1,944,ATL_se0_ag1_m_01,1336.559,1339.3925,2.8335,"you know what I'm saying. I just didn't fuck with him so I- after a while,",didn't,1,0
ATL_se0_ag1_m_01_1,1367,ATL_se0_ag1_m_01,1988.6944,1990.9055,2.2111,"you know what I'm saying, like I'm not big on pork.",I'm not,1,0
ATL_se0_ag1_m_01_1,1371,ATL_se0_ag1_m_01,1993.6048,1995.2723,1.6675,I'm not gonna sit here and lie to y'all.,I'm not,1,0
ATL_se0_ag1_m_01_1,1382,ATL_se0_ag1_m_01,2003.3539,2004.2017,0.8478,"I'm not gonna lie,",I'm not,1,0
ATL_se0_ag1_m_01_1,1525,ATL_se0_ag1_m_01,2191.8168,2192.81,0.9932,Ain't got that one.,ain't,1,1
ATL_se0_ag1_m_01_1,1547,ATL_se0_ag1_m_01,2211.0813,2214.8263,3.745,"And you know what I'm saying, RD-NAME-2 means man in charge. I ain't know if niggas knew that.",ain't,1,1
ATL_se0_ag1_m_01_1,1552,ATL_Int_01,2218.392,2219.0673,0.6753,I ain't heard that.,ain't,1,1
ATL_se0_ag1_m_01_1,1735,ATL_se0_ag1_m_01,2509.4242,2512.2746,2.8504,"like I'm not gonna just turn to Family Guy. Somebody turn that shit on,",I'm not,1,0
ATL_se0_ag1_m_01_1,1738,ATL_se0_ag1_m_01,2512.8381,2515.6136,2.7755,"I ain't gonna like, bruh what the fuck is this? You know what I'm saying, but",ain't,1,1
ATL_se0_ag1_m_01_1,1740,ATL_se0_ag1_m_01,2516.0892,2517.5673,1.4781,nah that ain't my- my choice.,ain't,1,1
ATL_se0_ag1_m_01_1,1889,ATL_Int_01,2745.0514,2745.9858,0.9344,"I ain't gonna lie though, I f-",ain't,1,1
ATL_se0_ag1_m_02_1,147,ATL_se0_ag1_m_02,147.7479,149.6452,1.8973,you know what I'm saying. You ain't even cocky at all.,ain't,1,1
ATL_se0_ag1_m_02_1,438,ATL_se0_ag1_m_02,445.4934,448.5082,3.0148,"So it was just like, you know, I had other siblings, but I didn't have",didn't,1,0
ATL_se0_ag1_m_02_1,577,ATL_se0_ag1_m_02,611.0881,613.7536,2.6655,it's like we didn't really actually communicate with each other.,didn't,1,0
ATL_se0_ag1_m_02_1,617,ATL_se0_ag1_m_02,660.6785,663.1192,2.4407,poets aren't like artists like rappers.,aren't,1,0
ATL_se0_ag1_m_02_1,771,ATL_se0_ag1_m_02,833.6291,836.0317,2.4026,Apple isn't far from the tree which means,isn't,1,0
ATL_se0_ag1_m_02_1,799,ATL_se0_ag1_m_02,868.0779,870.8981,2.8202,So from now on what we talk about ain't out the rectum.,ain't,1,1
ATL_se0_ag1_m_02_1,1001,ATL_int_01,1083.9502,1085.2855,1.3353,I'm not even good like that.,I'm not,1,0
ATL_se0_ag1_m_02_1,1139,ATL_se0_ag1_m_02,1237.9806,1240.4193,2.4387,"I like- I didn't- you know, they used to call me Shaq.",didn't,1,0
ATL_se0_ag1_m_02_1,1167,ATL_se0_ag1_m_02,1276.1564,1277.8578,1.7014,but they ain't wanna take that time,ain't,1,1
ATL_se0_ag1_m_02_1,1171,ATL_se0_ag1_m_02,1279.8981,1284.7498,4.8517,"And, you know, it is what it is, cause I don't really give a fuck. I ain't in school no more. What they gonna do, write me up?",ain't,1,1
ATL_se0_ag1_m_02_1,1177,ATL_se0_ag1_m_02,1289.1095,1292.4137,3.3042,"fuck you. Fuck you too. You ain't wanna take time, you know, to teach me,",ain't,1,1
ATL_se0_ag1_m_02_1,1189,ATL_se0_ag1_m_02,1301.4557,1302.6312,1.1755,RD-NAME-2 didn't make the cut.,didn't,1,0
ATL_se0_ag1_m_02_1,1222,ATL_se0_ag1_m_02,1332.9667,1334.911,1.9443,"like I ain't- I don't know nothing,",ain't,1,1
ATL_se0_ag1_m_02_1,1231,ATL_se0_ag1_m_02,1347.4266,1349.6075,2.1809,"you know what I'm saying. I'm not saying that I am a coach,",I'm not,1,0
ATL_se0_ag1_m_02_1,1284,ATL_int_01,1396.0216,1397.5394,1.5178,"apparently didn't, so.",didn't,1,0
ATL_se0_ag1_m_02_1,1315,ATL_se0_ag1_m_02,1432.5082,1433.9879,1.4797,"because basketball didn't do it,",didn't,1,0
ATL_se0_ag1_m_02_1,1473,ATL_se0_ag1_m_02,1612.2263,1613.8215,1.5952,automatically ain't gonna understand me,ain't,1,1
ATL_se0_ag1_m_02_1,1754,ATL_se0_ag1_m_02,1923.7046,1925.1843,1.4797,Too bad they ain't paying me for this.,ain't,1,1
ATL_se0_ag1_m_02_1,1768,ATL_se0_ag1_m_02,1937.5187,1938.586,1.0673,"I ain't gonna even,",ain't,1,1
ATL_se0_ag1_m_02_1,1944,ATL_se0_ag1_m_02,2115.8857,2118.0387,2.153,I ain't wanna say that. I ain't wanna go there.,ain't,2,2
ATL_se0_ag1_m_02_1,1946,ATL_se0_ag1_m_02,2118.3596,2120.1528,1.7932,I ain't wanna go to the hood days,ain't,1,1
