File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,AintVariation,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal
ATL_se0_ag1_f_01_1,59,ATL_int_01,67.5942,69.1056,1.5114,You ain't gonna claim nothing else?,ain't,1,1,4.652241578,4.59,3.5
ATL_se0_ag1_f_01_1,87,ATL_int_01,96.7672,100.1664,3.3992,"if you didn't know already, my name is RD-NAME-3 and I will be,",didn't,1,0,1.834382958,1.75,7
ATL_se0_ag1_f_01_1,169,ATL_se0_ag1_f_01,199.399,200.8753,1.4763,A lot of people didn't really show up.,didn't,1,0,13.36653303,13.33,8.25
ATL_se0_ag1_f_01_1,273,ATL_se0_ag1_f_01,338.4564,340.6358,2.1794,"Um, I'm not really a friend person.",I'm not,1,0,12.88118631,12.83,7.75
ATL_se0_ag1_f_01_1,432,ATL_int_01,526.584,529.2264,2.6424,"Oh, okay. I- I see. I ain't did economics til",ain't,1,1,10.36873824,8.61,7.75
ATL_se0_ag1_f_01_1,473,ATL_se0_ag1_f_01,577.5818,580.7058,3.124,I ain't really go for all that cause I got a real weak stomach.,ain't,1,1,15.1808149,14.85,4.5
ATL_se0_ag1_f_01_1,542,ATL_se0_ag1_f_01,689.9566,691.4577,1.5011," Oh, that ain't even yours.",ain't,1,1,10.98091082,10.71,26
ATL_se0_ag1_f_01_1,607,ATL_int_01,794.6876,797.7961,3.1085,"Ain't gonna lie, I was like, oh man I forgot how to say this word.",ain't,1,1,6.852842654,5.96,6
ATL_se0_ag1_f_01_1,616,ATL_se0_ag1_f_01,807.432,810.2791,2.8471,"I'm like, I ain't never seen that when I was in school RD-NAME-3.",ain't,1,1,5.18868389,4.94,22.25
ATL_se0_ag1_f_01_1,657,ATL_int_01,881.8883,884.6318,2.7435,"My bro does this shit too, bruh, I'm not even doing that anymore.",I'm not,1,0,17.49075184,16.8,18.25
ATL_se0_ag1_f_01_1,776,ATL_se0_ag1_f_01,1066.2328,1068.7946,2.5618,"It's not- I'm not gonna say it ain't good parenting,",I'm not,1,0,9.418147921,9.11,5.25
ATL_se0_ag1_f_01_1,776,ATL_se0_ag1_f_01,1066.2328,1068.7946,2.5618,"It's not- I'm not gonna say it ain't good parenting,",ain't,1,1,9.418147921,9.11,5.25
ATL_se0_ag1_f_01_1,808,ATL_int_01,1142.6029,1143.6684,1.0655,I'm not judging nobody.,I'm not,1,0,16.99381889,16.55,16.5
ATL_se0_ag1_f_01_1,849,ATL_se0_ag1_f_01,1199.4362,1200.4224,0.9862,That didn't work out.,didn't,1,0,8.541651837,8.23,2.25
ATL_se0_ag1_f_01_1,857,ATL_int_01,1209.3309,1215.7217,6.3908,I ain't gonna lie. I knew a couple of little notes on the recorder too. I was turnt for a second and then it just started getting advanced.,ain't,1,1,14.06972282,13.54,14
ATL_se0_ag1_f_01_1,891,ATL_int_01,1279.8298,1282.0318,2.202,"trying, I'm like, maybe he ain't gonna do",ain't,1,1,6.829298295,5.84,5.25
ATL_se0_ag1_f_01_1,984,ATL_int_01,1425.9485,1428.9445,2.996,"You know they gonna say something about that, but it ain't that big of a deal.",ain't,1,1,8.300576675,7.44,7.5
ATL_se0_ag1_f_01_1,1119,ATL_se0_ag1_f_01,1654.5945,1657.3734,2.7789, I don't know. I ain't even have no girl names in my head.,ain't,1,1,7.865719214,7.55,5.75
ATL_se0_ag1_f_01_1,1155,ATL_int_01,1707.2219,1708.8718,1.6499,Didn't even think about that stuff.,didn't,1,0,14.57110142,13.55,15.25
ATL_se0_ag1_f_01_1,1188,ATL_int_01,1763.6428,1766.5147,2.8719,"I didn't think it was like that. That's saying that, you know,",didn't,1,0,11.20806382,10.38,8.25
ATL_se0_ag1_f_02_1,89,ATL_se0_ag1_f_02,78.9122,80.3712,1.459,It really didn't work out too well.,didn't,1,0,10.6658988,10.2,2.25
ATL_se0_ag1_f_02_1,207,ATL_se0_ag1_f_02,195.6341,196.5467,0.9126,people who ain't white.,ain't,1,1,12.42391927,12.08,24.75
ATL_se0_ag1_f_02_1,572,ATL_se0_ag1_f_02,576.5994,578.6565,2.0571,"He didn't look extra white, but he looked white. When you looked at him,",didn't,1,0,19.29049063,19.04,6.25
ATL_se0_ag1_f_02_1,582,ATL_se0_ag1_f_02,587.627,590.178,2.551,"He ain't got green or blue eyes. His eyes is brown,",ain't,1,1,10.44478165,10.38,5.75
ATL_se0_ag1_f_02_1,596,ATL_int_01,609.5121,612.4257,2.9136,"I didn't really check for him yet, but he definitely give me that,",didn't,1,0,15.69340111,14.36,20
