File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate
ATL_se0_ag1_f_03_1,501,ATL_int_01,699.0259,700.099,1.0731,And you've done one,1,0,6.49828215,6.18,6.25,4,3.727518405
ATL_se0_ag1_m_01_1,214,ATL_se0_ag1_m_01,298.0746,300.0073,1.9327,N- you done came to find some more shit.,1,1,12.18978636,11.84,12.25,9,4.656697884
ATL_se0_ag1_m_01_1,1035,ATL_se0_ag1_m_01,1460.7124,1463.0019,2.2895,"like everything is done with a purpose, you know what I'm saying.",1,0,15.92376891,15.73,6.75,16,6.98842542
ATL_se0_ag1_m_01_1,1312,ATL_se0_ag1_m_01,1887.0193,1890.3135,3.2942,"I mean like, for my ultimate, like, I'm done, I can chill out,",1,0,22.42808279,22.17,32.75,15,4.553457592
ATL_se0_ag1_m_01_1,1893,ATL_Int_01,2748.194,2749.5789,1.3849,I'm done with it by the end though,1,0,15.79528676,14.35,13.25,8,5.776590368
ATL_se0_ag1_m_02_1,342,ATL_se0_ag1_m_02,345.6324,349.2195,3.5871,"You know, some- certain things my parents done, you know, right or wrong,",1,0,20.15393106,17.84,6.5,15,4.181650916
ATL_se0_ag1_m_03_1,1359,ATL_se0_ag1_m_03,1522.6987,1526.3569,3.6582,"matriculated for me like that cause I've gained a lot of experience. I've done a lot, but",1,0,25.66814939,24.06,19.25,24,6.560603576
ATL_se0_ag1_m_03_1,1596,ATL_int_01,1819.257,1822.1597,2.9027,"I gave up on live, man. I'm- I'm assuming they done for.",1,0,19.85925393,16.3,10.75,14,4.823095738
ATL_se0_ag1_m_03_1,1979,ATL_se0_ag1_m_03,2229.8313,2236.0118,6.1805,"you a slob. You a- we started going at it, and next thing you know, I was like, you know what, fuck it. I ain't f- get away from me, like stop talk- we- we done.",1,0,18.21773702,17.93,10.0,39,6.31016908
ATL_se0_ag1_m_03_1,2091,ATL_se0_ag1_m_03,2361.6825,2364.6302,2.9477,"I'm like, come on, man, not agai- y'all done already jumped- come on, man.",1,1,26.00092645,25.58,22.75,15,5.088713234
ATL_se0_ag1_m_04_1,518,ATL_se0_ag1_m_04,704.0631,711.1425,7.0794,"i- it's- it's- it's no- it's n- it's not like I'm going into it saying like, ay, you got to have this done, or you got to have this done. It's more so me saying like,",2,0,7.383063211,7.33,6.75,40,5.650196344
ATL_se0_ag1_m_04_1,650,ATL_se0_ag1_m_04,873.7069,877.2424,3.5355,before they even realize what you got. And a lot of people- I done had people,1,1,9.301511102,9.2,4.5,22,6.222599349
ATL_se0_ag1_m_04_1,686,ATL_int_01,930.7423,934.9223,4.18,Hold up now cause I- I done been to a couple your shows. I haven't been to all of 'em,1,1,17.35378875,17.31,8.0,22,5.263157895
ATL_se0_ag1_m_04_2,245,ATL_int_01,335.5831,338.732,3.1489,"I mean, nobody had done been, um, coming to you tryna push that",1,1,12.36156444,12.08,4.75,17,5.398710661
ATL_se0_ag1_m_05_1,237,ATL_se0_ag1_m_05,354.6723,358.4102,3.7379,"talent shows, and, um, I've actually done some things for the basketball team,",1,0,9.992649429,9.91,5.0,17,4.54800824
ATL_se0_ag1_m_05_1,659,ATL_int_01,1028.3039,1029.7061,1.4022,I done did a few folks,1,1,17.52899969,16.09,6.0,6,4.278990158
ATL_se0_ag1_m_05_1,1080,ATL_se0_ag1_m_05,1640.326,1643.3616,3.0356,"uh, you done went out let's say a night after that as well too,",1,1,7.263524981,7.2,4.75,15,4.941362498
ATL_se0_ag2_f_01_1,932,ATL_se0_ag2_f_01,1300.6843,1307.9252,7.2409,"cause you walking all the time, you gotta look fresh, you have to have your fresh sneaker on, your fresh outfit on. If you're a girl, your hair have to be done, your nails gotta be done.",2,0,17.41315648,17.1,33.25,42,5.80038393
ATL_se0_ag2_m_01_1,593,ATL_se0_ag2_m_01,766.4818,769.6417,3.1599,"It gets rogue because you done depressed yourself so much,",1,1,12.06385498,11.98,8.0,13,4.114054242
ATL_se0_ag2_m_02_1,2059,ATL_int_01,2344.8628,2345.7682,0.9054,"Nah, I'm done man.",1,0,7.65286806,7.54,8.5,4,4.417936824
ATL_se0_ag2_m_02_1,2088,ATL_int_01,2380.5215,2382.638,2.1165,you more than welcome. We pretty much done hit,1,1,8.608713436,8.39,10.75,11,5.197259627
ATL_se0_ag2_m_03_1,124,ATL_se0_ag2_m_03,147.3255,149.5105,2.185,"and the damage that was done to the levee,",1,0,12.82877169,12.68,5.75,11,5.034324943
ATL_se0_ag2_m_03_1,221,ATL_int_01,262.1497,264.047,1.8973,"you was done with, um, s-",1,0,16.16050594,15.59,7.25,6,3.162388658
ATL_se0_ag2_m_03_1,370,ATL_se0_ag2_m_03,447.8173,451.7859,3.9686,you feel me. It's- it's a lot of people that done got influenced from Atlanta cause Atlanta was like,1,1,16.82197249,16.68,22.5,26,6.551428715
ATL_se0_ag2_m_03_1,492,ATL_int_01,604.3692,608.3481,3.9789,the Migos kind of just really highlighting some shit we done already known.,1,1,14.8076209,14.56,6.5,14,3.518560406
ATL_se0_ag2_m_03_1,687,ATL_se0_ag2_m_03,877.0895,880.8481,3.7586,"that weed, I done- I done got a little edge on that shit, you know what I mean, unless I'm'a just blow it",2,1,10.76966551,10.61,8.5,26,6.91746927
ATL_se0_ag2_m_03_1,1514,ATL_se0_ag2_m_03,1906.3866,1910.9121,4.5255,"l- let me call your auntie. Nigga, you supposed to know this shit. Bitch, you done went to- to the- to the mother fucking",1,1,22.07948841,21.94,7.25,29,6.408131698
ATL_se0_ag2_m_03_1,1784,ATL_se0_ag2_m_03,2282.5681,2285.1203,2.5522,"I done hit the blunt, like I don't feel that shit right now.",1,1,18.32945948,17.84,10.25,13,5.093644699
ATL_se0_ag2_m_03_1,2007,ATL_se0_ag2_m_03,2561.3532,2563.2079,1.8547,"oh, this nigga done played me, bruh.",1,1,22.97109539,22.89,35.25,8,4.313366043
ATL_se0_ag2_m_03_1,2141,ATL_se0_ag2_m_03,2748.1853,2752.7328,4.5475,"The street grind is strong, you feel me, but it all depend on how your street grind is. Now I seen niggas done blew",1,1,12.92370689,12.85,8.5,26,5.717427158
ATL_se0_ag2_m_03_1,2142,ATL_se0_ag2_m_03,2753.1078,2756.6034,3.4956,"off of that street grind shit, you feel me. I done seen niggas like, you know what I mean,",1,1,15.05594352,14.82,7.25,20,5.72147843
ATL_se0_ag2_m_03_1,2190,ATL_se0_ag2_m_03,2828.1548,2833.7475,5.5927,"I done s- I done- I done s- I done seen- I done heard your shit on a couple of niggas' shit, and niggas really wasn't spitting shit.",5,1,17.48430423,17.26,21.25,34,6.079353443
DCA_se1_ag1_f_02_1,1073,DCA_se1_ag1_f_02,1129.5122,1130.5894,1.0772,"um, my teacher done-",1,0,12.78337841,12.75,24.75,5,4.641663572
DCA_se1_ag1_f_02_1,1274,DCA_se1_ag1_f_02,1388.5287,1389.7737,1.245,cause I done holler at her back.,1,1,8.464406261,8.25,6.75,8,6.425702811
DCA_se1_ag1_f_02_1,1323,DCA_se1_ag1_f_02,1460.2396,1465.2791,5.0395,You done did all the work like you said. I did this. I did this. She won't let you read your library books or nothing.,1,1,13.35992396,13.32,29.5,28,5.556106757
DCA_se1_ag1_f_02_1,1445,DCA_se1_ag1_f_02,1611.5313,1612.3146,0.7833,She done make us-,1,1,25.47424528,25.21,30.5,4,5.106600281
