File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,AintVariation,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate,amazon_transcription,deepspeech_transcription,deepspeech_ConfidenceLevel,google_transcription,google_ConfidenceLevel,IBMWatson_transcription,IBMWatson_ConfidenceLevel,microsoft_transcription
ATL_se0_ag1_f_01_1,59,ATL_int_01,67.5942,69.1056,1.5114,You ain't gonna claim nothing else?,ain't,1,1,4.652241578,4.59,3.5,8,5.29310573,Hang on claim nine mils.,i claim no,-28.49239731,Geico claims.,0.536010861,you know claim main mail ,0.45,And claim my nails.
ATL_se0_ag1_f_01_1,87,ATL_int_01,96.7672,100.1664,3.3992,"if you didn't know already, my name is RD-NAME-3 and I will be,",didnt,1,0,1.834382958,1.75,7,15,4.412803012,You didn't Know already My name then I will be.,now ready will be,-62.46075439,"Already, my name is and I will be.",0.92292577,and I will be ,0.79,You didn't know already. My name is.
ATL_se0_ag1_f_01_1,169,ATL_se0_ag1_f_01,199.399,200.8753,1.4763,A lot of people didn't really show up.,didnt,1,0,13.36653303,13.33,8.25,11,7.451060083,Lot of people didn't really show up.,they were so ,-25.37495613,"Black people, they really show up.",0.836651146,that's who they really show well ,0.56,A lot of people didn't really show up.
ATL_se0_ag1_f_01_1,273,ATL_se0_ag1_f_01,338.4564,340.6358,2.1794,"Um, I'm not really a friend person.",imnot,1,0,12.88118631,12.83,7.75,9,4.129576948,I'm not really a friend person.,not really a frame partisan,-46.05349731,Not really a friend person.,0.912026227,well not really %HESITATION Fran parsing ,0.41,I'm not really a friend person.
ATL_se0_ag1_f_01_1,432,ATL_int_01,526.584,529.2264,2.6424,"Oh, okay. I- I see. I ain't did economics til",ain't,1,1,10.36873824,8.61,7.75,14,5.298213745,"Well, yeah.",,-14.07651138,,0,,0,
ATL_se0_ag1_f_01_1,473,ATL_se0_ag1_f_01,577.5818,580.7058,3.124,I ain't really go for all that cause I got a real weak stomach.,ain't,1,1,15.1808149,14.85,4.5,16,5.121638924,I ain't really go for that because I got a real weak stomach.,really goricae i notoriety,-130.5830536,I really go for it cuz I got a real weak stomach.,0.90434128,I am really go off on it because I got a real weak stomach ,0.37,I'm really go for it 'cause I got a real weak stomach.
ATL_se0_ag1_f_01_1,542,ATL_se0_ag1_f_01,689.9566,691.4577,1.5011," Oh, that ain't even yours.",ain't,1,1,10.98091082,10.71,26,6,3.997068816,Oh don't even yours!,the,-8.289631844,Holiday Inn.,0.624439716,,0,"Anyway, yeah."
ATL_se0_ag1_f_01_1,607,ATL_int_01,794.6876,797.7961,3.1085,"Ain't gonna lie, I was like, oh man I forgot how to say this word.",ain't,1,1,6.852842654,5.96,6,17,5.468875664,Hang on Loves the Old Men Yes.,he ,-16.11807632,,0,or ,0.21,
ATL_se0_ag1_f_01_1,616,ATL_se0_ag1_f_01,807.432,810.2791,2.8471,"I'm like, I ain't never seen that when I was in school RD-NAME-3.",ain't,1,1,5.18868389,4.94,22.25,13,4.566049665,I'm like I ain't never seen that when I was in school.,i never see now when i was a school,-40.85074234,That when I was in school.,0.825665951,I never seen that when I was ,0.58,"Well, I ain't never seen that when I was at school."
ATL_se0_ag1_f_01_1,657,ATL_int_01,881.8883,884.6318,2.7435,"My bro does this shit too, bruh, I'm not even doing that anymore.",imnot,1,0,17.49075184,16.8,18.25,17,6.19646437,UM.,i am,-10.81464672,,0,%HESITATION to ,0.76,
ATL_se0_ag1_f_01_1,776,ATL_se0_ag1_f_01,1066.2328,1068.7946,2.5618,"It's not- I'm not gonna say it ain't good parenting,",ain't,1,1,9.418147921,9.11,5.25,13,5.074556952,It's not I'm not gonna say it ain't good parents.,revelation man's,-75.25898743,I'm not going to say. It ain't good.,0.816398859,I'm not listening to ,0.78,"No, I'm not gonna say it ain't good parents here."
ATL_se0_ag1_f_01_1,776,ATL_se0_ag1_f_01,1066.2328,1068.7946,2.5618,"It's not- I'm not gonna say it ain't good parenting,",imnot,1,0,9.418147921,9.11,5.25,13,5.074556952,It's not I'm not gonna say it ain't good parents.,revelation man's,-75.25898743,I'm not going to say it ain't good.,0.816401482,I'm not listening to ,0.78,"No, I'm not gonna say it ain't good parents here."
ATL_se0_ag1_f_01_1,808,ATL_int_01,1142.6029,1143.6684,1.0655,I'm not judging nobody.,imnot,1,0,16.99381889,16.55,16.5,7,6.569685594,Alba.,oh,-4.769939423,,0,%HESITATION ,0.62,Oh
ATL_se0_ag1_f_01_1,849,ATL_se0_ag1_f_01,1199.4362,1200.4224,0.9862,That didn't work out.,didnt,1,0,8.541651837,8.23,2.25,5,5.069965524,Didn't work out.,,-5.563230991,Didn't work out.,0.339632511,did it work ,0.77,Didn't work out.
ATL_se0_ag1_f_01_1,857,ATL_int_01,1209.3309,1215.7217,6.3908,I ain't gonna lie. I knew a couple of little notes on the recorder too. I was turnt for a second and then it just started getting advanced.,ain't,1,1,14.06972282,13.54,14,37,5.78957251,Flu couple of notes on the recording for a segment start getting banned.,codification,-139.3138123,,0,because %HESITATION you know some records to us time for saying and then you start again ,0.5,
ATL_se0_ag1_f_01_1,891,ATL_int_01,1279.8298,1282.0318,2.202,"trying, I'm like, maybe he ain't gonna do",ain't,1,1,6.829298295,5.84,5.25,11,4.995458674,Paint on the door.,maybe he ,-22.71610069,,0,%HESITATION maybe two ,0.57,Maybe?
ATL_se0_ag1_f_01_1,984,ATL_int_01,1425.9485,1428.9445,2.996,"You know they gonna say something about that, but it ain't that big of a deal.",ain't,1,1,8.300576675,7.44,7.5,19,6.341789052,"You know they're going to say something about that, but it ain't that.",you,-26.62065697,,0,you know what I mean that ,0.72,You know they got.
ATL_se0_ag1_f_01_1,1119,ATL_se0_ag1_f_01,1654.5945,1657.3734,2.7789, I don't know. I ain't even have no girl names in my head.,ain't,1,1,7.865719214,7.55,5.75,14,5.037964662,"I don't know, I knew had a girl names in my head.",you had a ornament,-65.45165253,"I don't know, I ain't even had a girl named to my head.",0.894638956,I don't know I mean you had a girl named ,0.39,"No, no, and you had a girl names in my head."
