File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate,amazon_transcription,deepspeech_transcription,deepspeech_ConfidenceLevel,google_transcription,google_ConfidenceLevel,IBMWatson_transcription,IBMWatson_ConfidenceLevel,microsoft_transcription
ATL_se0_ag1_f_03_1,501,ATL_int_01,699.0259,700.099,1.0731,And you've done one,1,0,6.49828215,6.18,6.25,4,3.727518405,You've done one.,,-7.906196594,Are you done one?,0.85054785,you've done one ,0.24,You dumb one.
ATL_se0_ag1_m_01_1,214,ATL_se0_ag1_m_01,298.0746,300.0073,1.9327,N- you done came to find some more shit.,1,1,12.18978636,11.84,12.25,9,4.656697884,And he came and found some more shit.,i can offer most,-51.54254913,You came in fast motion.,0.814914525,and %HESITATION it's mostly ,0.29,Came in fast motion.
ATL_se0_ag1_m_01_1,1035,ATL_se0_ag1_m_01,1460.7124,1463.0019,2.2895,"like everything is done with a purpose, you know what I'm saying.",1,0,15.92376891,15.73,6.75,16,6.98842542,"Like everything is done with a purpose, you know what I'm saying?",everything is done to propose nothing,-62.03549957,"My everything is done with the purpose, you don't understand.",0.804342926,I everything's down permission honors and ,0.51,Buy everything is done. The purpose. You know I'm saying.
ATL_se0_ag1_m_01_1,1312,ATL_se0_ag1_m_01,1887.0193,1890.3135,3.2942,"I mean like, for my ultimate, like, I'm done, I can chill out,",1,0,22.42808279,22.17,32.75,15,4.553457592,"I mean like from my ultimate like I'm done, I can chill out.",from ultimately i'm done i can sell,-67.03960419,Not for my ultimate. Like I'm done. I can chill out.,0.891404212,no %HESITATION from %HESITATION %HESITATION to meet light %HESITATION done next to low ,0.54,Email from my ultimate like I'm done. I could chill out.
ATL_se0_ag1_m_01_1,1893,ATL_Int_01,2748.194,2749.5789,1.3849,I'm done with it by the end though,1,0,15.79528676,14.35,13.25,8,5.776590368,no,,-3.143037796,Download.,0.643993378,though ,0.54,Download.
ATL_se0_ag1_m_02_1,342,ATL_se0_ag1_m_02,345.6324,349.2195,3.5871,"You know, some- certain things my parents done, you know, right or wrong,",1,0,20.15393106,17.84,6.5,15,4.181650916,"You know some certain things my parents done, you know right or wrong.",some certain things my parents done you know rita,-72.19302368,"Some certain things in my parents done. You. No, right or wrong.",0.854825914,some certain things my Perrin is done you know right or wrong ,0.69,"You know some certain things in my parents. Done, you know, right or wrong?"
ATL_se0_ag1_m_03_1,1359,ATL_se0_ag1_m_03,1522.6987,1526.3569,3.6582,"matriculated for me like that cause I've gained a lot of experience. I've done a lot, but",1,0,25.66814939,24.06,19.25,24,6.560603576,"Matriculated for me like that because I've gained a lot of experience, I've done a lot, but.",i like that because being a lot of experience i've done a lot but,-74.63088226,Matriculated for me like that cuz I've gained a lot of experience. I've done a lot.,0.932601154,it's regulated for me like that because I've gained a lot of experience I've done a lot but ,0.76,"Matriculate it for me. Like that 'cause I've gained a lot of experience. I've done a lot, but."
ATL_se0_ag1_m_03_1,1596,ATL_int_01,1819.257,1822.1597,2.9027,"I gave up on live, man. I'm- I'm assuming they done for.",1,0,19.85925393,16.3,10.75,14,4.823095738,"I gave up on Live Man, I'm assuming they're done for.",,-11.21729946,,0.0,%HESITATION and I'm I'm assuming they ,0.73,I gave up on live man.
ATL_se0_ag1_m_03_1,1979,ATL_se0_ag1_m_03,2229.8313,2236.0118,6.1805,"you a slob. You a- we started going at it, and next thing you know, I was like, you know what, fuck it. I ain't f- get away from me, like stop talk- we- we done.",1,0,18.21773702,17.93,10.0,39,6.31016908,"He would slide you really? We started going at it and next thing you know, I was like you know what fucking I ain't get away from me like stop talking, we've done.",we started going out and next thing you know i would like you know a getaway from me like to talk on,-156.7853699,"You are a Sly, you literally started going out in the next thing you know, I was like, you know, what's funny? I ain't get away from you like that song.",0.840420425,he was ,0.9,"He was sly. You really. We started going at it and next thing you know, I was like you know what? **** it I ain't get away from me like stop talking we we."
ATL_se0_ag1_m_03_1,2091,ATL_se0_ag1_m_03,2361.6825,2364.6302,2.9477,"I'm like, come on, man, not agai- y'all done already jumped- come on, man.",1,1,26.00092645,25.58,22.75,15,5.088713234,"Like come on man, not a garden already, just come on man.",come on not agnation,-84.30854797,"Come on, man. Come on, man.",0.93523401,come home and not again on not just come home and ,0.62,"I'm like come on man, not a gallon naughty joke come on man."
ATL_se0_ag1_m_04_1,518,ATL_se0_ag1_m_04,704.0631,711.1425,7.0794,"i- it's- it's- it's no- it's n- it's not like I'm going into it saying like, ay, you got to have this done, or you got to have this done. It's more so me saying like,",2,0,7.383063211,7.33,6.75,40,5.650196344,"It's not it's not like I'm going into and saying like, hey, you got to have this done or you got to have this done this more so than me saying like.",it is not not like i'm going to say got to head his eye got to have it in this more so headlike,-213.707489,Is it is not it is not like I'm going to a saying like you got to have this done or you got to have this done this more. So I mean sound like,0.880918145,is is is not is is not like I'm going to its and I you got to have it is done when you got that is that is more so I'm you saying like ,0.68,"Is is not is not like I'm going into it saying like, hey, you got the head is done or you got to have this done. It's more so I'm saying like."
ATL_se0_ag1_m_04_1,650,ATL_se0_ag1_m_04,873.7069,877.2424,3.5355,before they even realize what you got. And a lot of people- I done had people,1,1,9.301511102,9.2,4.5,22,6.222599349,"Before they even realize what you've got a lot of people, I don't have people.",in reality go on loyal,-122.03228,"Before they even realize what you got, a lot to be riding happy.",0.903121948,before %HESITATION they even realize what you've got a lot of the rod I have people ,0.54,"Before they even realize what you got, a lot of people, I don't have people."
ATL_se0_ag1_m_04_1,686,ATL_int_01,930.7423,934.9223,4.18,Hold up now cause I- I done been to a couple your shows. I haven't been to all of 'em,1,1,17.35378875,17.31,8.0,22,5.263157895,You wanna you wanna you wanna what year you graduate?,you want a new one when you your,-73.59070587,"Do you want to, you want to do, you want to hook up with you so that what year you grow?",0.742456615,%HESITATION you want you want ,0.79,You wanna you wanna you want to come here? So I mean what year you guys?
ATL_se0_ag1_m_04_2,245,ATL_int_01,335.5831,338.732,3.1489,"I mean, nobody had done been, um, coming to you tryna push that",1,1,12.36156444,12.08,4.75,17,5.398710661,I mean nobody hasn't been coming to you trying to push that.,by becoming a topic,-76.80197144,"I'm a nobody, haven't been coming to try to push that.",0.759405375,I mean nobody has been %HESITATION coming to try to push ,0.54,"I mean, nobody haven't been. I'm coming to you trying to push that."
ATL_se0_ag1_m_05_1,237,ATL_se0_ag1_m_05,354.6723,358.4102,3.7379,"talent shows, and, um, I've actually done some things for the basketball team,",1,0,9.992649429,9.91,5.0,17,4.54800824,Talent shows and um I've actually done something for the basketball team.,shows and i actually done some things for the basketball team,-56.76678085,"Talent shows in my backseat, done some things for the basketball team.",0.927665472,talent shows and %HESITATION I've actually done some things for the basketball team ,0.87,"Talent shows, and I've actually done some things for the basketball team."
ATL_se0_ag1_m_05_1,659,ATL_int_01,1028.3039,1029.7061,1.4022,I done did a few folks,1,1,17.52899969,16.09,6.0,6,4.278990158,Did A Few Folks?,,-12.85699081,,0.0,you folks ,0.46,I did a few folks.
ATL_se0_ag1_m_05_1,1080,ATL_se0_ag1_m_05,1640.326,1643.3616,3.0356,"uh, you done went out let's say a night after that as well too,",1,1,7.263524981,7.2,4.75,15,4.941362498,You don't want out let's say a night after that as well too.,you don't win out let's say a night after that is well to,-67.79585266,You don't want out. Let's stay a night after that as well too.,0.785125136,%HESITATION you don't win out let's say and I after that as well to ,0.71,"You don't want out, let's say a night after that as well too."
ATL_se0_ag2_f_01_1,932,ATL_se0_ag2_f_01,1300.6843,1307.9252,7.2409,"cause you walking all the time, you gotta look fresh, you have to have your fresh sneaker on, your fresh outfit on. If you're a girl, your hair have to be done, your nails gotta be done.",2,0,17.41315648,17.1,33.25,42,5.80038393,,walking all the time you got a look fresh you have that your fresh men on your fresh oenone grahame donnegan,-285.0726318,"I'm working all the time. You got to look fresh, you have that, refresh me, only a fresh outfit on. If your girl your hair have to be done, your nails, got to be none.",0.930571854,cause him walking all the time you got to look fresh you have that refreshed me going fresh out but on if you go you have to be done you know that would be nine ,0.55,"'cause you working all the time, you gotta look fresh. You have that refresh nikonian fresh outfit on if you have girl you have to be done. Your nail gotta be done."
