File,Line,Speaker,UttStartTime,UttEndTime,UttLength,InstancesCountPerLine,FeatureCountPerLine,IterationNumber,Content,SyllableCount,SpeechRate,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,Content_WordCount,Content_PreFeature,Content_PreFeature_WordCount,Content_PostFeature,Content_PostFeature_WordCount,Content_cleaned,Content_cleaned_WordCount,Content_cleaned_PreFeature,Content_cleaned_PreFeature_WordCount,Content_cleaned_PostFeature,Content_cleaned_PostFeature_WordCount,amazon_transcription,amazon_transcription_WordCount,amazon_transcription_cleaned,amazon_transcription_cleaned_WordCount,amazon_transcription_cleaned_TotalWER,deepspeech_transcription,deepspeech_transcription_WordCount,deepspeech_transcription_cleaned,deepspeech_transcription_cleaned_WordCount,deepspeech_transcription_cleaned_TotalWER,deepspeech_ConfidenceLevel,google_transcription,google_transcription_WordCount,google_transcription_cleaned,google_transcription_cleaned_WordCount,google_transcription_cleaned_TotalWER,google_ConfidenceLevel,IBMWatson_transcription,IBMWatson_transcription_WordCount,IBMWatson_transcription_cleaned,IBMWatson_transcription_cleaned_WordCount,IBMWatson_transcription_cleaned_TotalWER,IBMWatson_ConfidenceLevel,microsoft_transcription,microsoft_transcription_WordCount,microsoft_transcription_cleaned,microsoft_transcription_cleaned_WordCount,microsoft_transcription_cleaned_TotalWER
ATL_se0_ag1_f_03_1,501,ATL_int_01,699.0259,700.099,1.0731,1,0,1,And you've done one,4,3.727518405,6.49828215,6.18,6.25,4,And you've ,2,one,1,and you 've done one,5,and you 've ,3,one,1,You've done one.,3,you 've done one,4,0.2,,,,,,-7.906196594,Are you done one?,4,are you done one,4,0.4,0.85054785,you've done one ,3,you 've done one,4,0.2,0.24,You dumb one.,3,you dumb one,3,0.6
ATL_se0_ag1_m_01_1,214,ATL_se0_ag1_m_01,298.0746,300.0073,1.9327,1,1,1,N- you done came to find some more shit.,9,4.656697884,12.18978636,11.84,12.25,9,N- you ,2,came to find some more shit.,6,n you done came to find some more ****,9,n you ,2,came to find some more ****,6,And he came and found some more shit.,8,and he came and found some more ****,8,0.555555556,i can offer most,4,i can offer most,4,1,-51.54254913,You came in fast motion.,5,you came in fast motion,5,0.777777778,0.814914525,and %HESITATION it's mostly ,4,and it 's mostly,4,1,0.29,Came in fast motion.,4,came in fast motion,4,0.888888889
ATL_se0_ag1_m_01_1,1035,ATL_se0_ag1_m_01,1460.7124,1463.0019,2.2895,1,0,1,"like everything is done with a purpose, you know what I'm saying.",16,6.98842542,15.92376891,15.73,6.75,12,like everything is ,3,"with a purpose, you know what I'm saying.",8,like everything is done with a purpose you know what i 'm saying,13,like everything is ,3,with a purpose you know what i 'm saying,9,"Like everything is done with a purpose, you know what I'm saying?",12,like everything is done with a purpose you know what i 'm saying,13,0,everything is done to propose nothing,6,everything is done to propose nothing,6,0.769230769,-62.03549957,"My everything is done with the purpose, you don't understand.",10,my everything is done with the purpose you do n't understand,11,0.538461538,0.804342926,I everything's down permission honors and ,6,i everything 's down permission honors and,7,0.923076923,0.51,Buy everything is done. The purpose. You know I'm saying.,10,buy everything is done the purpose you know i 'm saying,11,0.307692308
ATL_se0_ag1_m_01_1,1312,ATL_se0_ag1_m_01,1887.0193,1890.3135,3.2942,1,0,1,"I mean like, for my ultimate, like, I'm done, I can chill out,",15,4.553457592,22.42808279,22.17,32.75,13,"I mean like, for my ultimate, like, I'm ",8," I can chill out,",4,i mean like for my ultimate like i 'm done i can chill out,14,i mean like for my ultimate like i 'm ,9,i can chill out,4,"I mean like from my ultimate like I'm done, I can chill out.",13,i mean like from my ultimate like i 'm done i can chill out,14,0.071428571,from ultimately i'm done i can sell,7,from ultimately i 'm done i can sell,8,0.642857143,-67.03960419,Not for my ultimate. Like I'm done. I can chill out.,11,not for my ultimate like i 'm done i can chill out,12,0.214285714,0.891404212,no %HESITATION from %HESITATION %HESITATION to meet light %HESITATION done next to low ,13,no from to meet light done next to low,9,0.928571429,0.54,Email from my ultimate like I'm done. I could chill out.,11,email from my ultimate like i 'm done i could chill out,12,0.357142857
ATL_se0_ag1_m_01_1,1893,ATL_Int_01,2748.194,2749.5789,1.3849,1,0,1,I'm done with it by the end though,8,5.776590368,15.79528676,14.35,13.25,8,I'm ,1,with it by the end though,6,i 'm done with it by the end though,9,i 'm ,2,with it by the end though,6,no,1,no,1,1,,,,,,-3.143037796,Download.,1,download,1,1,0.643993378,though ,1,though,1,0.888888889,0.54,Download.,1,download,1,1
ATL_se0_ag1_m_02_1,342,ATL_se0_ag1_m_02,345.6324,349.2195,3.5871,1,0,1,"You know, some- certain things my parents done, you know, right or wrong,",15,4.181650916,20.15393106,17.84,6.5,13,"You know, some- certain things my parents ",7," you know, right or wrong,",5,you know some certain things my parents done you know right or wrong,13,you know some certain things my parents ,7,you know right or wrong,5,"You know some certain things my parents done, you know right or wrong.",13,you know some certain things my parents done you know right or wrong,13,0,some certain things my parents done you know rita,9,some certain things my parents done you know rita,9,0.384615385,-72.19302368,"Some certain things in my parents done. You. No, right or wrong.",12,some certain things in my parents done you no right or wrong,12,0.307692308,0.854825914,some certain things my Perrin is done you know right or wrong ,12,some certain things my perrin is done you know right or wrong,12,0.307692308,0.69,"You know some certain things in my parents. Done, you know, right or wrong?",14,you know some certain things in my parents done you know right or wrong,14,0.076923077
ATL_se0_ag1_m_03_1,1359,ATL_se0_ag1_m_03,1522.6987,1526.3569,3.6582,1,0,1,"matriculated for me like that cause I've gained a lot of experience. I've done a lot, but",24,6.560603576,25.66814939,24.06,19.25,17,matriculated for me like that cause I've gained a lot of experience. I've ,13,"a lot, but",3,matriculated for me like that because i 've gained a lot of experience i 've done a lot but,19,matriculated for me like that because i 've gained a lot of experience i 've ,15,a lot but,3,"Matriculated for me like that because I've gained a lot of experience, I've done a lot, but.",17,matriculated for me like that because i 've gained a lot of experience i 've done a lot but,19,0,i like that because being a lot of experience i've done a lot but,14,i like that because being a lot of experience i 've done a lot but,15,0.315789474,-74.63088226,Matriculated for me like that cuz I've gained a lot of experience. I've done a lot.,16,matriculated for me like that cuz i 've gained a lot of experience i 've done a lot,18,0.105263158,0.932601154,it's regulated for me like that because I've gained a lot of experience I've done a lot but ,18,it 's regulated for me like that because i 've gained a lot of experience i 've done a lot but,21,0.157894737,0.76,"Matriculate it for me. Like that 'cause I've gained a lot of experience. I've done a lot, but.",18,matriculate it for me like that because i 've gained a lot of experience i 've done a lot but,20,0.105263158
ATL_se0_ag1_m_03_1,1596,ATL_int_01,1819.257,1822.1597,2.9027,1,0,1,"I gave up on live, man. I'm- I'm assuming they done for.",14,4.823095738,19.85925393,16.3,10.75,12,"I gave up on live, man. I'm- I'm assuming they ",10,for.,1,i gave up on live man i 'm i 'm assuming they done for,14,i gave up on live man i 'm i 'm assuming they ,12,for,1,"I gave up on Live Man, I'm assuming they're done for.",11,i gave up on live man i 'm assuming they 're done for,13,0.214285714,,,,,,-11.21729946,,,,,,0,%HESITATION and I'm I'm assuming they ,6,and i 'm i 'm assuming they,7,0.571428571,0.73,I gave up on live man.,6,i gave up on live man,6,0.571428571
ATL_se0_ag1_m_03_1,1979,ATL_se0_ag1_m_03,2229.8313,2236.0118,6.1805,1,0,1,"you a slob. You a- we started going at it, and next thing you know, I was like, you know what, fuck it. I ain't f- get away from me, like stop talk- we- we done.",39,6.31016908,18.21773702,17.93,10,36,"you a slob. You a- we started going at it, and next thing you know, I was like, you know what, fuck it. I ain't f- get away from me, like stop talk- we- we ",35,,0,you a slob you a we started going at it and next thing you know i was like you know what **** it i ai n't f get away from me like stop talk we we done,37,you a slob you a we started going at it and next thing you know i was like you know what **** it i ai n't f get away from me like stop talk we we ,36,,0,"He would slide you really? We started going at it and next thing you know, I was like you know what fucking I ain't get away from me like stop talking, we've done.",33,he would slide you really we started going at it and next thing you know i was like you know what **** i ai n't get away from me like stop talking we 've done,35,0.216216216,we started going out and next thing you know i would like you know a getaway from me like to talk on,22,we started going out and next thing you know i would like you know a getaway from me like to talk on,22,0.567567568,-156.7853699,"You are a Sly, you literally started going out in the next thing you know, I was like, you know, what's funny? I ain't get away from you like that song.",31,you are a sly you literally started going out in the next thing you know i was like you know what 's funny i ai n't get away from you like that song,33,0.432432432,0.840420425,he was ,2,he was,2,0.972972973,0.9,"He was sly. You really. We started going at it and next thing you know, I was like you know what? **** it I ain't get away from me like stop talking we we.",34,he was sly you really we started going at it and next thing you know i was like you know what it i ai n't get away from me like stop talking we we,34,0.216216216
ATL_se0_ag1_m_03_1,2091,ATL_se0_ag1_m_03,2361.6825,2364.6302,2.9477,1,1,1,"I'm like, come on, man, not agai- y'all done already jumped- come on, man.",15,5.088713234,26.00092645,25.58,22.75,14,"I'm like, come on, man, not agai- y'all ",8,"already jumped- come on, man.",5,i 'm like come on man not agai y'all done already jumped come on man,15,i 'm like come on man not agai y'all ,9,already jumped come on man,5,"Like come on man, not a garden already, just come on man.",12,like come on man not a garden already just come on man,12,0.4,come on not agnation,4,come on not agnation,4,0.8,-84.30854797,"Come on, man. Come on, man.",6,come on man come on man,6,0.6,0.93523401,come home and not again on not just come home and ,11,come home and not again on not just come home and,11,0.8,0.62,"I'm like come on man, not a gallon naughty joke come on man.",13,i 'm like come on man not a gallon naughty joke come on man,14,0.333333333
